Data Quality,risk,Profile,Capitalization mode,YEAR,Spread (total per trade),Slippage (total per trade),Commission,All-in round-trip cost (pips)
Stress,1%,Retail Standard,Fixed start 100k,2001,0.3,0.1,"$7 per round-turn per standard lot (100,000 EUR) ",1.1
,,,,2002,0.3,0.1,,1.1
Extended Baseline,1%,Retail Standard,Fixed start 100k,2003,0.3,0.1,"$7 per round-turn per standard lot (100,000 EUR)",1.1
,,,,2004,0.3,0.1,,1.1
,,,,2005,0.3,0.1,,1.1
,,,,2006,0.3,0.1,,1.1
,,,,2007,0.3,0.1,,1.1
Extended Baseline,1%,Retail Rebate,Fixed start 100k,2003,0.3,0.1,"$5 per round-turn per standard lot (100,000 EUR)",0.9
,,,,2004,0.3,0.1,,0.9
,,,,2005,0.3,0.1,,0.9
,,,,2006,0.3,0.1,,0.9
,,,,2007,0.3,0.1,,0.9
Extended Baseline,1%,Retail Standard,Compounding EoY-SoY base 100k,2003,0.3,0.1,"$7 per round-turn per standard lot (100,000 EUR) ",1.1
,,,,2004,0.3,0.1,,1.1
,,,,2005,0.3,0.1,,1.1
,,,,2006,0.3,0.1,,1.1
,,,,2007,0.3,0.1,,1.1
Extended Baseline,1%,Retail Rebate,Compounding EoY-SoY base 100k,2003,0.3,0.1,"$5 per round-turn per standard lot (100,000 EUR) ",0.9
,,,,2004,0.3,0.1,,0.9
,,,,2005,0.3,0.1,,0.9
,,,,2006,0.3,0.1,,0.9
,,,,2007,0.3,0.1,,0.9
Core Baseline,1%,Retail Standard,Fixed start 100k,2008,0.3,0.1,"$7 per round-turn per standard lot (100,000 EUR) ",1.1
,,,,2009,0.3,0.1,,1.1
,,,,2010,0.3,0.1,,1.1
,,,,2011,0.3,0.1,,1.1
,,,,2012,0.3,0.1,,1.1
,,,,2013,0.3,0.1,,1.1
,,,,2014,0.3,0.1,,1.1
,,,,2015,0.3,0.1,,1.1
,,,,2016,0.3,0.1,,1.1
,,,,2017,0.3,0.1,,1.1
,,,,2018,0.3,0.1,,1.1
,,,,2019,0.3,0.1,,1.1
,,,,2020,0.3,0.1,,1.1
,,,,2021,0.3,0.1,,1.1
,,,,2022,0.3,0.1,,1.1
,,,,2023,0.3,0.1,,1.1
,,,,2024,0.3,0.1,,1.1
,,,,2025-08,0.3,0.1,,1.1
Core Baseline,1%,Retail Rebate,Fixed start 100k,2008,0.3,0.1,"$5 per round-turn per standard lot (100,000 EUR) ",0.9
,,,,2009,0.3,0.1,,0.9
,,,,2010,0.3,0.1,,0.9
,,,,2011,0.3,0.1,,0.9
,,,,2012,0.3,0.1,,0.9
,,,,2013,0.3,0.1,,0.9
,,,,2014,0.3,0.1,,0.9
,,,,2015,0.3,0.1,,0.9
,,,,2016,0.3,0.1,,0.9
,,,,2017,0.3,0.1,,0.9
,,,,2018,0.3,0.1,,0.9
,,,,2019,0.3,0.1,,0.9
,,,,2020,0.3,0.1,,0.9
,,,,2021,0.3,0.1,,0.9
,,,,2022,0.3,0.1,,0.9
,,,,2023,0.3,0.1,,0.9
,,,,2024,0.3,0.1,,0.9
,,,,2025-08,0.3,0.1,,0.9
Core Baseline,1%,Retail Standard,Compounding EoY-SoY base 100k,2008,0.3,0.1,"$7 per round-turn per standard lot (100,000 EUR) ",1.1
,,,,2009,0.3,0.1,,1.1
,,,,2010,0.3,0.15,,1.15
,,,,2011,0.35,0.15,,1.2
,,,,2012,0.35,0.15,,1.2
,,,,2013,0.35,0.15,,1.2
,,,,2014,0.35,0.15,,1.2
,,,,2015,0.35,0.15,,1.2
,,,,2016,0.35,0.15,,1.2
,,,,2017,0.35,0.15,,1.2
,,,,2018,0.35,0.15,,1.2
,,,,2019,0.35,0.15,,1.2
,,,,2020,0.35,0.175,,1.225
,,,,2021,0.35,0.2,,1.25
,,,,2022,0.35,0.2,,1.25
,,,,2023,0.35,0.2,,1.25
,,,,2024,0.35,0.2,,1.25
,,,,2025-08,0.35,0.2,,1.25
Core Baseline,1%,Retail Rebate,Compounding EoY-SoY base 100k,2008,0.3,0.1,"$5 per-round turn per standard lot (100,000 EUR) ",0.9
,,,,2009,0.3,0.1,,0.9
,,,,2010,0.3,0.15,,0.95
,,,,2011,0.35,0.15,,1.0
,,,,2012,0.35,0.15,,1.0
,,,,2013,0.35,0.15,,1.0
,,,,2014,0.35,0.15,,1.0
,,,,2015,0.35,0.15,,1.0
,,,,2016,0.35,0.15,,1.0
,,,,2017,0.35,0.15,,1.0
,,,,2018,0.35,0.15,,1.0
,,,,2019,0.35,0.15,,1.0
,,,,2020,0.35,0.175,,1.025
,,,,2021,0.35,0.2,,1.05
,,,,2022,0.35,0.2,,1.05
,,,,2023,0.35,0.2,,1.05
,,,,2024,0.35,0.2,,1.05
,,,,2025-08,0.35,0.2,,1.05
Core Baseline,1%,Institutional,"Notional 1M-5M 1m, NAV 1m→1m500k, Annual-Lock",2008,0.3,0.35,"$5.5 per-round turn per standard lot (100,000 EUR) ",1.2
,,,,2009,0.3,0.35,,1.2
,,,,2010,0.3,0.35,,1.2
,,,,2011,0.3,0.35,,1.2
,,,,2012,0.3,0.35,,1.2
,,,,2013,0.3,0.35,,1.2
,,,,2014,0.3,0.35,,1.2
,,,,2015,0.3,0.35,,1.2
,,,,2016,0.3,0.35,,1.2
,,,,2017,0.3,0.35,,1.2
,,,,2018,0.3,0.35,,1.2
,,,,2019,0.3,0.35,,1.2
,,,,2020,0.3,0.35,,1.2
,,,,2021,0.3,0.35,,1.2
,,,,2022,0.3,0.35,,1.2
,,,,2023,0.3,0.35,,1.2
,,,,2024,0.3,0.35,,1.2
,,,,2025-08,0.3,0.35,,1.2
Core Baseline,1%,Institutional,"Notional 5M-10M 3m400k, NAV 3m400k→4m500k, Annual-Lock",2008,0.5,0.85,"$5.5 per-round turn per standard lot (100,000 EUR) ",1.9
,,,,2009,0.5,0.85,,1.9
,,,,2010,0.5,0.85,,1.9
,,,,2011,0.5,0.85,,1.9
,,,,2012,0.5,0.85,,1.9
,,,,2013,0.5,0.85,,1.9
,,,,2014,0.5,0.85,,1.9
,,,,2015,0.5,0.85,,1.9
,,,,2016,0.5,0.85,,1.9
,,,,2017,0.5,0.85,,1.9
,,,,2018,0.5,0.85,,1.9
,,,,2019,0.5,0.85,,1.9
,,,,2020,0.5,0.85,,1.9
,,,,2021,0.5,0.85,,1.9
,,,,2022,0.5,0.85,,1.9
,,,,2023,0.5,0.85,,1.9
,,,,2024,0.5,0.85,,1.9
,,,,2025-08,0.5,0.85,,1.9
Core Baseline,1%,Institutional,"Notional 15M-30M 7m900k, NAV 7.9m→9m, Annual-Lock",2008,0.55,1.65,"$5.5 per round-turn per standard lot (100,000 EUR) ",2.75
,,,,2009,0.55,1.65,,2.75
,,,,2010,0.55,1.65,,2.75
,,,,2011,0.55,1.65,,2.75
,,,,2012,0.55,1.65,,2.75
,,,,2013,0.55,1.65,,2.75
,,,,2014,0.55,1.65,,2.75
,,,,2015,0.55,1.65,,2.75
,,,,2016,0.55,1.65,,2.75
