year,month,monthly_return,active_month
2003,1,-0.0166,True
2003,2,0.0028,True
2003,3,-0.0021,True
2003,4,0.0348,True
2003,5,0.0145,True
2003,6,0.0284,True
2003,7,0.0059,True
2003,8,0.0320,True
2003,9,-0.0155,True
2003,10,0.0178,True
2003,11,0.0134,True
2003,12,0.0076,True
2004,1,-0.0128,True
2004,2,0.0453,True
2004,3,0.0258,True
2004,4,0.0180,True
2004,5,0.0123,True
2004,6,0.0071,True
2004,7,0.0074,True
2004,8,0.0070,True
2004,9,0.0127,True
2004,10,0.0145,True
2004,11,0.0023,True
2004,12,-0.0235,True
2005,1,0.0062,True
2005,2,-0.0176,True
2005,3,0.0241,True
2005,4,-0.0236,True
2005,5,-0.0105,True
2005,6,0.0330,True
2005,7,-0.0426,True
2005,8,-0.0044,True
2005,9,-0.0115,True
2005,10,-0.0029,True
2005,11,0.0031,True
2005,12,-0.0065,True
2006,1,0.0187,True
2006,2,0.0000,False
2006,3,0.0000,False
2006,4,0.0038,True
2006,5,0.0402,True
2006,6,-0.0062,True
2006,7,-0.0181,True
2006,8,0.0021,True
2006,9,0.0070,True
2006,10,0.0081,True
2006,11,0.0107,True
2006,12,-0.0159,True
2007,1,0.0000,False
2007,2,0.0030,True
2007,3,-0.0146,True
2007,4,0.0069,True
2007,5,0.0032,True
2007,6,0.0033,True
2007,7,0.0000,False
2007,8,0.0121,True
2007,9,-0.0152,True
2007,10,-0.0036,True
2007,11,0.0017,True
2007,12,0.0077,True
2008,1,0.0329,True
2008,2,0.0101,True
2008,3,-0.0039,True
2008,4,-0.0400,True
2008,5,0.0133,True
2008,6,0.0132,True
2008,7,0.0221,True
2008,8,0.0444,True
2008,9,-0.0562,True
2008,10,-0.0158,True
2008,11,0.0947,True
2008,12,0.1006,True
2009,1,0.1217,True
2009,2,-0.0191,True
2009,3,-0.0347,True
2009,4,0.0324,True
2009,5,0.0390,True
2009,6,0.0097,True
2009,7,0.0195,True
2009,8,0.0164,True
2009,9,0.0040,True
2009,10,0.0333,True
2009,11,0.0118,True
2009,12,0.0205,True
2010,1,0.0459,True
2010,2,0.0118,True
2010,3,0.0311,True
2010,4,-0.0104,True
2010,5,0.1317,True
2010,6,0.0594,True
2010,7,0.0302,True
2010,8,-0.0186,True
2010,9,0.0033,True
2010,10,0.0530,True
2010,11,0.0136,True
2010,12,0.0440,True
2011,1,0.0633,True
2011,2,-0.0057,True
2011,3,0.0237,True
2011,4,-0.0198,True
2011,5,-0.0127,True
2011,6,0.0307,True
2011,7,0.0255,True
2011,8,-0.0033,True
2011,9,-0.0225,True
2011,10,0.0360,True
