year,annual_return_calendar,eom_max_drawdown_intra_year,intramonth_max_drawdown_intra_year,trade_count,win_rate,profit_factor,active_months_count,active_months_share,annual_return_active,volatility_active_annualized,sharpe_active_annualized,sortino_active_annualized,cagr_active,insufficient_months,insufficient_active_months,insufficient_negative_months,insufficient_trades,volatility_annualized_year,sharpe_ratio_annualized_year,sortino_ratio_annualized_year,calmar_ratio_year,negative_months_in_year,months_in_year_available,is_ytd,positive_months_in_year,omega_ratio_year_target_0m,monthly_var_95_year,monthly_es_95_year,opening_cashflow_ccy
2008,0.0072,-0.0584,-0.0772,278,0.7050,1.02,12,1.0000,0.0072,0.0604,0.15,0.17,0.0072,false,false,false,false,0.0604,0.15,0.17,0.12,4,12,false,8,1.12,-0.0290,-0.0356,0.00
2009,0.0356,-0.0234,-0.0397,221,0.7330,1.16,12,1.0000,0.0356,0.0299,1.18,2.13,0.0356,false,false,false,false,0.0299,1.18,2.13,1.52,2,12,false,10,2.50,-0.0114,-0.0152,0.00
2010,0.0829,-0.0081,-0.0146,158,0.7722,1.91,12,1.0000,0.0829,0.0336,2.40,5.80,0.0829,false,false,false,false,0.0336,2.40,5.80,10.19,3,12,false,9,7.75,-0.0057,-0.0081,0.00
2011,0.0066,-0.0130,-0.0233,147,0.6871,1.05,12,1.0000,0.0066,0.0216,0.31,0.80,0.0066,false,false,false,false,0.0216,0.31,0.80,0.51,6,12,false,6,1.25,-0.0071,-0.0074,0.00
2012,-0.0123,-0.0219,-0.0254,53,0.5660,0.74,12,1.0000,-0.0123,0.0180,-0.68,-0.99,-0.0123,false,false,false,false,0.0180,-0.68,-0.99,-0.56,8,12,false,3,0.57,-0.0084,-0.0108,0.00
2013,0.0057,-0.0040,-0.0078,35,0.6571,1.19,12,1.0000,0.0057,0.0110,0.52,0.59,0.0057,false,false,false,false,0.0110,0.52,0.59,1.43,4,12,false,8,1.49,-0.0046,-0.0070,0.00
2014,-0.0013,-0.0105,-0.0120,18,0.5556,0.93,8,0.6667,-0.0013,0.0152,-0.12,NaN,-0.0019,false,false,true,false,0.0121,-0.10,NaN,-0.12,1,12,false,6,0.89,-0.0047,-0.0105,0.00
2015,0.0560,-0.0012,-0.0065,138,0.7536,1.72,12,1.0000,0.0560,0.0159,3.44,21.07,0.0560,false,false,false,false,0.0159,3.44,21.07,48.71,2,12,false,10,45.17,-0.0006,-0.0012,0.00
2016,0.0431,-0.0042,-0.0065,57,0.7544,2.44,12,1.0000,0.0431,0.0211,2.01,14.03,0.0431,false,false,false,false,0.0211,2.01,14.03,10.35,4,12,false,8,7.70,-0.0021,-0.0021,1510224.41
2017,0.0127,0.0000,-0.0119,28,0.7500,1.83,8,0.6667,0.0127,0.0133,1.43,NaN,0.0191,false,false,true,false,0.0109,1.16,NaN,inf,1,12,false,7,3.01,-0.0028,-0.0063,0.00
2018,0.0044,-0.0061,-0.0065,28,0.6429,1.27,8,0.6667,0.0044,0.0103,0.64,1.83,0.0066,false,false,false,false,0.0083,0.53,1.22,0.72,3,12,false,5,1.59,-0.0031,-0.0033,0.00
2019,0.0021,0.0000,-0.0009,6,0.6667,2.26,4,0.3333,0.0021,0.0031,2.02,6.64,0.0063,false,true,false,true,0.0019,1.13,2.21,58.65,1,12,false,2,5.58,-0.0002,-0.0004,0.00
2020,0.0292,0.0000,-0.0162,65,0.8000,1.90,9,0.7500,0.0292,0.0166,2.33,NaN,0.0391,false,false,true,false,0.0150,1.93,NaN,inf,0,12,false,8,inf,0.0000,0.0000,0.00
2021,0.0028,-0.0011,-0.0011,5,0.8000,3.42,4,0.3333,0.0028,0.0045,1.82,NaN,0.0083,false,true,true,true,0.0026,1.04,NaN,2.43,1,12,false,3,3.43,-0.0005,-0.0011,0.00
2022,-0.0001,-0.0116,-0.0150,103,0.6796,1.00,11,0.9167,-0.0001,0.0164,0.00,0.00,-0.0001,false,false,false,false,0.0156,0.00,0.00,-0.01,5,12,false,6,1.00,-0.0073,-0.0116,0.00
2023,-0.0139,-0.0118,-0.0170,32,0.5938,0.60,11,0.9167,-0.0139,0.0098,-1.55,-2.81,-0.0152,false,false,false,false,0.0095,-1.48,-2.58,-1.18,6,12,false,5,0.33,-0.0049,-0.0060,0.00
2024,0.0015,-0.0038,-0.0052,16,0.6875,1.13,8,0.6667,0.0015,0.0072,0.31,0.59,0.0022,false,false,false,false,0.0057,0.26,0.39,0.39,2,12,false,6,1.25,-0.0029,-0.0038,0.00
2025,0.0061,-0.0111,-0.0124,55,0.6909,1.13,8,0.6667,0.0061,0.0148,0.62,1.67,0.0091,true,false,false,false,0.0148,0.62,1.67,0.55,2,8,true,6,1.55,-0.0059,-0.0067,0.00
