period_start_month,period_end_month,scope,year,metric_key,metric_label,metric_basis,units,rounding_family,method,ci_level_pct,estimate,ci_low,ci_high,bootstrap_type,block_mean_length_months,block_mean_length_days,n_boot,seed
2008-01,2025-08,full_period,,cagr_full_period,CAGR (Full Period),monthly,decimal,percent_like,bootstrap_bca,90,0.0687,0.0434,0.1002,stationary_bootstrap,6,,5000,43
2008-01,2025-08,full_period,,volatility_annualized_full_period,Volatility Annualized (Full Period),monthly,decimal,percent_like,bootstrap_bca,90,0.0544,0.0428,0.0684,stationary_bootstrap,6,,5000,43
2008-01,2025-08,full_period,,eom_max_drawdown_full_period,EoM Max Drawdown (Full Period),eom,decimal,percent_like,bootstrap_bca,90,-0.0552,-0.0937,-0.0406,stationary_bootstrap,6,,5000,43
2008-01,2025-08,full_period,,intramonth_max_drawdown_full_period,Intramonth Max Drawdown (Full Period),intramonth,decimal,percent_like,bootstrap_bca,90,-0.0942,-0.1512,-0.0647,stationary_bootstrap,,5,5000,43
2008-01,2025-08,full_period,,ulcer_index_full_period,Ulcer Index (Full Period),eom,decimal,percent_like,bootstrap_bca,90,0.0191,0.0132,0.0276,stationary_bootstrap,6,,5000,43
2008-01,2025-08,full_period,,monthly_var_95_full_period,Monthly VaR 95% (Full Period),monthly,decimal,percent_like,bootstrap_bca,90,-0.0150,-0.0212,-0.0109,stationary_bootstrap,6,,5000,43
2008-01,2025-08,full_period,,monthly_es_95_full_period,Monthly ES 95% (Full Period),monthly,decimal,percent_like,bootstrap_bca,90,-0.0226,-0.0294,-0.0173,stationary_bootstrap,6,,5000,43
2008-01,2025-08,full_period,,monthly_var_99_full_period,Monthly VaR 99% (Full Period),monthly,decimal,percent_like,bootstrap_bca,90,-0.0250,-0.0387,-0.0212,stationary_bootstrap,6,,5000,43
2008-01,2025-08,full_period,,monthly_es_99_full_period,Monthly ES 99% (Full Period),monthly,decimal,percent_like,bootstrap_bca,90,-0.0308,-0.0401,-0.0243,stationary_bootstrap,6,,5000,43
2008-01,2025-08,calendar_year,2008,eom_max_drawdown_intra_year,EoM Max Drawdown (Calendar Year),eom,decimal,percent_like,bootstrap_bca,90,-0.0552,-0.1432,-0.0401,stationary_bootstrap,6,,5000,43
2008-01,2025-08,calendar_year,2009,eom_max_drawdown_intra_year,EoM Max Drawdown (Calendar Year),eom,decimal,percent_like,bootstrap_bca,90,-0.0389,-0.0763,-0.0145,stationary_bootstrap,6,,5000,43
2008-01,2025-08,calendar_year,2010,eom_max_drawdown_intra_year,EoM Max Drawdown (Calendar Year),eom,decimal,percent_like,bootstrap_bca,90,-0.0129,-0.0330,-0.0072,stationary_bootstrap,6,,5000,43
2008-01,2025-08,calendar_year,2011,eom_max_drawdown_intra_year,EoM Max Drawdown (Calendar Year),eom,decimal,percent_like,bootstrap_bca,90,-0.0224,-0.0290,-0.0134,stationary_bootstrap,6,,5000,43
2008-01,2025-08,calendar_year,2012,eom_max_drawdown_intra_year,EoM Max Drawdown (Calendar Year),eom,decimal,percent_like,bootstrap_bca,90,-0.0407,-0.0814,-0.0181,stationary_bootstrap,6,,5000,43
