period_start_month,period_end_month,method,block_mean_length_months,n_paths,horizon_months,seed,risk_per_trade_pct,mc_policy,mc_cap_nav_ccy,mc_policy_apply,mc_policy_start_month,policy_total_cash_out_ccy_p05,policy_total_cash_out_ccy_p50,policy_total_cash_out_ccy_p95,policy_ending_nav_ccy_p05,policy_ending_nav_ccy_p50,policy_ending_nav_ccy_p95,policy_flow_aware_ending_value_ccy_p05,policy_flow_aware_ending_value_ccy_p50,policy_flow_aware_ending_value_ccy_p95,policy_flow_aware_multiple_p05,policy_flow_aware_multiple_p50,policy_flow_aware_multiple_p95,policy_prob_any_cashout,policy_avg_cashout_events,ending_nav_p05,ending_nav_p50,ending_nav_p95,wealth_multiple_p05,wealth_multiple_p50,wealth_multiple_p95,cagr_annualized_p05,cagr_annualized_p50,cagr_annualized_p95,max_drawdown_magnitude_p50,max_drawdown_magnitude_p95,max_drawdown_magnitude_p99,prob_negative_horizon_return,prob_maxdd_ge_5pc_eom,prob_maxdd_ge_7pc_eom,prob_maxdd_ge_10pc_eom,prob_maxdd_ge_20pc_eom,prob_maxdd_ge_30pc_eom,prob_maxdd_ge_5x_risk_eom,prob_maxdd_ge_7x_risk_eom,prob_maxdd_ge_10x_risk_eom,prob_no_breach_ge_5x_risk_eom,prob_no_breach_ge_7x_risk_eom,prob_no_breach_ge_10x_risk_eom,cond_es_maxdd_ge_5x_risk,cond_es_maxdd_ge_7x_risk,cond_es_maxdd_ge_10x_risk,mc_ttb_ge_5x_risk_p50,mc_ttb_ge_7x_risk_p50,mc_ttb_ge_10x_risk_p50,mc_maxdd_xrisk_p50,mc_maxdd_xrisk_p95,mc_maxdd_xrisk_p99
2008-01,2025-08,stationary_bootstrap,3,10000,12,42,0.0100,cap_nav,1500000.00,yearly,1,0.00,0.00,0.00,988462.72,1060262.11,1199343.77,988462.72,1060262.11,1199343.77,0.9885,1.0603,1.1993,0.0,0.0,988462.72,1060262.11,1199343.77,0.99,1.06,1.20,-0.0115,0.0603,0.1993,0.0158,0.0527,0.0624,0.0987,0.0546,0.0045,0.0001,0.0000,0.0000,0.0546,0.0045,0.0001,0.9454,0.9955,0.9999,5.84,7.94,11.05,8,10,10,1.58,5.27,6.24
2008-01,2025-08,stationary_bootstrap,3,10000,36,42,0.0100,cap_nav,1500000.00,yearly,1,0.00,0.00,0.00,1047000.20,1206992.53,1470072.18,1047000.20,1206992.53,1470096.79,1.0470,1.2070,1.4701,0.003,0.003,1047000.20,1206992.53,1470096.79,1.05,1.21,1.47,0.0154,0.0647,0.1371,0.0339,0.0648,0.0847,0.0107,0.1952,0.0350,0.0032,0.0000,0.0000,0.1952,0.0350,0.0032,0.8048,0.9650,0.9968,6.17,8.20,10.94,20,24,23,3.39,6.48,8.47
2008-01,2025-08,stationary_bootstrap,3,10000,212,42,0.0100,cap_nav,1500000.00,yearly,1,541767.05,1141751.68,1852783.52,1468841.77,1552103.84,1719834.68,2088035.10,2706741.46,3428454.62,2.0880,2.7067,3.4285,0.9998,9.9584,2186656.59,3212310.10,4981248.22,2.19,3.21,4.98,0.0453,0.0683,0.0951,0.0553,0.0900,0.1110,0.0000,0.7595,0.2132,0.0249,0.0000,0.0000,0.7595,0.2132,0.0249,0.2405,0.7868,0.9751,6.56,8.38,11.21,75,106,115,5.53,9.00,11.10
2008-01,2025-08,stationary_bootstrap,4,10000,12,42,0.0100,cap_nav,1500000.00,yearly,1,0.00,0.00,0.00,988170.56,1056126.53,1199144.43,988170.56,1056126.53,1199144.43,0.9882,1.0561,1.1991,0.0,0.0,988170.56,1056126.53,1199144.43,0.99,1.06,1.20,-0.0118,0.0561,0.1991,0.0158,0.0525,0.0592,0.0994,0.0533,0.0030,0.0000,0.0000,0.0000,0.0533,0.0030,0.0000,0.9467,0.9970,1.0000,5.75,7.84,NaN,8,10,NaN,1.58,5.25,5.92
2008-01,2025-08,stationary_bootstrap,4,10000,36,42,0.0100,cap_nav,1500000.00,yearly,1,0.00,0.00,0.00,1041437.14,1207625.49,1479463.68,1041437.14,1207625.49,1479463.68,1.0414,1.2076,1.4795,0.0043,0.0044,1041437.14,1207625.49,1479463.68,1.04,1.21,1.48,0.0136,0.0649,0.1395,0.0339,0.0611,0.0794,0.0114,0.1900,0.0247,0.0017,0.0000,0.0000,0.1900,0.0247,0.0017,0.8100,0.9753,0.9983,5.99,8.13,11.13,20,25,34,3.39,6.11,7.94
2008-01,2025-08,stationary_bootstrap,4,10000,212,42,0.0100,cap_nav,1500000.00,yearly,1,498500.32,1138164.43,1875632.51,1469628.11,1550257.60,1728164.68,2051280.21,2704533.31,3453047.89,2.0513,2.7045,3.4530,0.9993,9.8729,2133933.49,3206043.43,5057204.51,2.13,3.21,5.06,0.0438,0.0682,0.0961,0.0552,0.0867,0.1062,0.0000,0.7594,0.1758,0.0161,0.0000,0.0000,0.7594,0.1758,0.0161,0.2406,0.8242,0.9839,6.38,8.31,11.25,76,110,125,5.52,8.67,10.62
2008-01,2025-08,stationary_bootstrap,5,10000,12,42,0.0100,cap_nav,1500000.00,yearly,1,0.00,0.00,0.00,986627.54,1055149.49,1207412.84,986627.54,1055149.49,1207412.84,0.9866,1.0551,1.2074,0.0,0.0,986627.54,1055149.49,1207412.84,0.99,1.06,1.21,-0.0134,0.0551,0.2074,0.0155,0.0503,0.0580,0.0995,0.0502,0.0028,0.0001,0.0000,0.0000,0.0502,0.0028,0.0001,0.9498,0.9972,0.9999,5.75,7.98,12.34,8,9,11,1.55,5.03,5.80
2008-01,2025-08,stationary_bootstrap,5,10000,36,42,0.0100,cap_nav,1500000.00,yearly,1,0.00,0.00,0.00,1041791.01,1201686.20,1495479.39,1041791.01,1201686.20,1495825.58,1.0418,1.2017,1.4958,0.0049,0.0049,1041791.01,1201686.20,1495825.58,1.04,1.20,1.50,0.0137,0.0632,0.1437,0.0339,0.0588,0.0771,0.0104,0.1828,0.0177,0.0012,0.0000,0.0000,0.1828,0.0177,0.0012,0.8172,0.9823,0.9988,5.90,8.15,11.00,19,22,20,3.39,5.88,7.71
2008-01,2025-08,stationary_bootstrap,5,10000,212,42,0.0100,cap_nav,1500000.00,yearly,1,476451.57,1136382.17,1901052.65,1469092.78,1548963.56,1726663.18,2025598.80,2706901.52,3480437.13,2.0256,2.7069,3.4804,0.9988,9.8161,2099487.71,3207226.85,5134245.95,2.10,3.21,5.13,0.0429,0.0682,0.0970,0.0552,0.0842,0.1017,0.0000,0.7455,0.1515,0.0114,0.0000,0.0000,0.7455,0.1515,0.0114,0.2545,0.8485,0.9886,6.27,8.23,11.08,74,112,107,5.52,8.42,10.17
2008-01,2025-08,stationary_bootstrap,6,10000,12,42,0.0100,cap_nav,1500000.00,yearly,1,0.00,0.00,0.00,987485.36,1052652.72,1206454.74,987485.36,1052652.72,1206454.74,0.9875,1.0527,1.2065,0.0,0.0,987485.36,1052652.72,1206454.74,0.99,1.05,1.21,-0.0125,0.0527,0.2065,0.0155,0.0477,0.0561,0.1025,0.0463,0.0022,0.0000,0.0000,0.0000,0.0463,0.0022,0.0000,0.9537,0.9978,1.0000,5.71,7.68,NaN,8,10,NaN,1.55,4.77,5.61
2008-01,2025-08,stationary_bootstrap,6,10000,36,42,0.0100,cap_nav,1500000.00,yearly,1,0.00,0.00,0.00,1037475.07,1201501.30,1499573.37,1037475.07,1201501.30,1499965.92,1.0375,1.2015,1.5000,0.0065,0.0065,1037475.07,1201501.30,1499965.92,1.04,1.20,1.50,0.0123,0.0631,0.1447,0.0339,0.0579,0.0770,0.0134,0.1838,0.0166,0.0010,0.0000,0.0000,0.1838,0.0166,0.0010,0.8162,0.9834,0.9990,5.87,8.10,10.66,20,23,26,3.39,5.79,7.70
2008-01,2025-08,stationary_bootstrap,6,10000,212,42,0.0100,cap_nav,1500000.00,yearly,1,465841.65,1132859.17,1931443.42,1469625.16,1546172.89,1732784.59,2009853.70,2697037.50,3514899.68,2.0099,2.6970,3.5149,0.9987,9.7746,2077927.71,3186517.92,5224179.19,2.08,3.19,5.22,0.0423,0.0678,0.0981,0.0552,0.0823,0.1008,0.0000,0.7405,0.1324,0.0107,0.0000,0.0000,0.7405,0.1324,0.0107,0.2595,0.8676,0.9893,6.19,8.22,10.87,78,113,114,5.52,8.23,10.08
2008-01,2025-08,stationary_bootstrap,7,10000,12,42,0.0100,cap_nav,1500000.00,yearly,1,0.00,0.00,0.00,986293.16,1052289.13,1210071.70,986293.16,1052289.13,1210071.70,0.9863,1.0523,1.2101,0.0,0.0,986293.16,1052289.13,1210071.70,0.99,1.05,1.21,-0.0137,0.0523,0.2101,0.0155,0.0475,0.0552,0.1058,0.0464,0.0020,0.0002,0.0000,0.0000,0.0464,0.0020,0.0002,0.9536,0.9980,0.9998,5.70,8.05,10.85,8,10,10,1.55,4.75,5.52
2008-01,2025-08,stationary_bootstrap,7,10000,36,42,0.0100,cap_nav,1500000.00,yearly,1,0.00,0.00,0.00,1038683.71,1201191.90,1501678.85,1038683.71,1201191.90,1501843.01,1.0387,1.2012,1.5018,0.0069,0.0069,1038683.71,1201191.90,1501843.01,1.04,1.20,1.50,0.0127,0.0630,0.1452,0.0336,0.0563,0.0735,0.0127,0.1855,0.0145,0.0006,0.0000,0.0000,0.1855,0.0145,0.0006,0.8145,0.9855,0.9994,5.81,7.94,10.33,20,22,29,3.36,5.63,7.35
2008-01,2025-08,stationary_bootstrap,7,10000,212,42,0.0100,cap_nav,1500000.00,yearly,1,446418.51,1136985.41,1955308.39,1470501.64,1544136.92,1733834.36,1992732.05,2702149.06,3537049.12,1.9927,2.7021,3.5370,0.9985,9.7247,2055291.32,3195454.31,5306269.20,2.06,3.20,5.31,0.0416,0.0680,0.0991,0.0552,0.0795,0.0951,0.0000,0.7334,0.1143,0.0063,0.0000,0.0000,0.7334,0.1143,0.0063,0.2666,0.8857,0.9937,6.11,8.10,10.98,76,111,119,5.52,7.95,9.51
2008-01,2025-08,stationary_bootstrap,8,10000,12,42,0.0100,cap_nav,1500000.00,yearly,1,0.00,0.00,0.00,986875.88,1051660.77,1210934.85,986875.88,1051660.77,1210934.85,0.9869,1.0517,1.2109,0.0,0.0,986875.88,1051660.77,1210934.85,0.99,1.05,1.21,-0.0131,0.0517,0.2109,0.0155,0.0498,0.0552,0.1039,0.0499,0.0020,0.0000,0.0000,0.0000,0.0499,0.0020,0.0000,0.9501,0.9980,1.0000,5.67,7.76,NaN,8,11,NaN,1.55,4.98,5.52
2008-01,2025-08,stationary_bootstrap,8,10000,36,42,0.0100,cap_nav,1500000.00,yearly,1,0.00,0.00,0.00,1037224.45,1198847.12,1516244.35,1037224.45,1198847.12,1516794.29,1.0372,1.1988,1.5168,0.0073,0.0073,1037224.45,1198847.12,1516794.29,1.04,1.20,1.52,0.0123,0.0623,0.1490,0.0337,0.0552,0.0729,0.0118,0.1798,0.0128,0.0004,0.0000,0.0000,0.1798,0.0128,0.0004,0.8202,0.9872,0.9996,5.79,7.96,10.82,19,23,30,3.37,5.52,7.29
