month,window_months,window_start_month,window_end_month,rolling_return_12m,rolling_volatility_annualized_12m,rolling_sharpe_annualized_12m,insufficient_months,rolling_max_drawdown_12m,rolling_calmar_12m,rolling_sortino_annualized_12m,active_months_count_12m,active_months_share_12m,positive_months_count_12m,negative_months_count_12m,insufficient_negative_months,positive_months_share_12m,negative_months_share_12m,rolling_omega_12m_target_0m,rolling_var_95_12m,rolling_es_95_12m,rolling_tail_ratio_p95_p5_12m,rolling_max_drawdown_12m_xrisk,rolling_var_95_12m_xrisk,rolling_es_95_12m_xrisk
2008-12,12,2008-01,2008-12,0.1244,0.1065,1.15,False,-0.0552,2.25,2.25,12,1.0000,8,4,False,0.6667,0.3333,2.42,-0.0331,-0.0401,1.83,5.52,3.31,4.01
2009-01,12,2008-02,2009-01,0.1846,0.1251,1.42,False,-0.0552,3.34,3.24,12,1.0000,8,4,False,0.6667,0.3333,3.06,-0.0331,-0.0401,2.08,5.52,3.31,4.01
2009-02,12,2008-03,2009-02,0.1598,0.1283,1.22,False,-0.0552,2.89,3.22,12,1.0000,7,5,False,0.5833,0.4167,2.55,-0.0331,-0.0401,2.08,5.52,3.31,4.01
2009-03,12,2008-04,2009-03,0.1346,0.1330,1.01,False,-0.0552,2.44,3.76,12,1.0000,7,5,False,0.5833,0.4167,2.10,-0.0331,-0.0401,2.08,5.52,3.31,4.01
2009-04,12,2008-05,2009-04,0.1902,0.1263,1.45,False,-0.0552,3.44,4.46,12,1.0000,8,4,False,0.6667,0.3333,2.92,-0.0317,-0.0401,2.17,5.52,3.17,4.01
2009-05,12,2008-06,2009-05,0.2096,0.1265,1.57,False,-0.0552,3.79,4.86,12,1.0000,8,4,False,0.6667,0.3333,3.09,-0.0317,-0.0401,2.17,5.52,3.17,4.01
2009-06,12,2008-07,2009-06,0.2064,0.1267,1.55,False,-0.0552,3.74,4.80,12,1.0000,8,4,False,0.6667,0.3333,3.06,-0.0317,-0.0401,2.17,5.52,3.17,4.01
2009-07,12,2008-08,2009-07,0.2042,0.1267,1.54,False,-0.0552,3.70,4.75,12,1.0000,8,4,False,0.6667,0.3333,3.04,-0.0317,-0.0401,2.17,5.52,3.17,4.01
2009-08,12,2008-09,2009-08,0.1830,0.1260,1.40,False,-0.0389,4.70,4.31,12,1.0000,8,4,False,0.6667,0.3333,2.85,-0.0317,-0.0401,2.17,3.89,3.17,4.01
2009-09,12,2008-10,2009-09,0.2353,0.1123,1.95,False,-0.0389,6.05,11.20,12,1.0000,9,3,False,0.7500,0.2500,4.98,-0.0198,-0.0248,3.46,3.89,1.98,2.48
2009-10,12,2008-11,2009-10,0.2824,0.1060,2.42,False,-0.0389,7.26,10.11,12,1.0000,10,2,False,0.8333,0.1667,7.53,-0.0191,-0.0248,3.59,3.89,1.91,2.48
2009-11,12,2008-12,2009-11,0.2206,0.0984,2.09,False,-0.0389,5.67,8.10,12,1.0000,10,2,False,0.8333,0.1667,6.23,-0.0191,-0.0248,3.59,3.89,1.91,2.48
2009-12,12,2009-01,2009-12,0.1638,0.0849,1.84,False,-0.0389,4.21,6.15,12,1.0000,10,2,False,0.8333,0.1667,4.97,-0.0191,-0.0248,2.51,3.89,1.91,2.48
2010-01,12,2009-02,2010-01,0.1140,0.0549,2.00,False,-0.0248,4.60,4.33,12,1.0000,10,2,False,0.8333,0.1667,3.80,-0.0191,-0.0248,1.42,2.48,1.91,2.48
2010-02,12,2009-03,2010-02,0.1389,0.0487,2.71,False,0.0000,inf,NaN,12,1.0000,11,1,True,0.9167,0.0833,6.31,-0.0099,-0.0248,2.75,0.00,0.99,2.48
2010-03,12,2009-04,2010-03,0.1915,0.0297,5.96,False,0.0000,inf,NaN,12,1.0000,12,0,True,1.0000,0.0000,NaN,0.0042,0.0023,6.48,0.00,0.42,0.23
