month,window_months,window_start_month,window_end_month,rolling_return_annualized_36m,rolling_max_drawdown_36m,rolling_calmar_36m,insufficient_months,rolling_volatility_annualized_36m,rolling_sharpe_annualized_36m,rolling_sortino_annualized_36m,active_months_count_36m,active_months_share_36m,positive_months_count_36m,negative_months_count_36m,insufficient_negative_months,positive_months_share_36m,negative_months_share_36m,rolling_omega_36m_target_0m,rolling_var_95_36m,rolling_es_95_36m,rolling_tail_ratio_p95_p5_36m,rolling_max_drawdown_36m_xrisk,rolling_var_95_36m_xrisk,rolling_es_95_36m_xrisk
2010-12,36,2008-01,2010-12,0.1875,-0.0552,3.39,False,0.0924,1.92,4.28,36,1.0000,28,8,False,0.7778,0.2222,4.65,-0.0254,-0.0337,2.60,5.52,2.54,3.37
2011-01,36,2008-02,2011-01,0.1951,-0.0552,3.53,False,0.0936,1.96,4.44,36,1.0000,28,8,False,0.7778,0.2222,4.78,-0.0254,-0.0337,2.60,5.52,2.54,3.37
2011-02,36,2008-03,2011-02,0.1909,-0.0552,3.46,False,0.0941,1.91,4.28,36,1.0000,27,9,False,0.7500,0.2500,4.61,-0.0254,-0.0337,2.60,5.52,2.54,3.37
2011-03,36,2008-04,2011-03,0.1982,-0.0552,3.59,False,0.0935,1.99,4.56,36,1.0000,28,8,False,0.7778,0.2222,4.81,-0.0254,-0.0337,2.60,5.52,2.54,3.37
2011-04,36,2008-05,2011-04,0.2039,-0.0552,3.69,False,0.0916,2.08,4.88,36,1.0000,28,8,False,0.7778,0.2222,5.32,-0.0180,-0.0325,3.66,5.52,1.80,3.25
2011-05,36,2008-06,2011-05,0.1968,-0.0552,3.56,False,0.0927,2.00,4.92,36,1.0000,27,9,False,0.7500,0.2500,4.92,-0.0180,-0.0325,3.66,5.52,1.80,3.25
2011-06,36,2008-07,2011-06,0.2013,-0.0552,3.64,False,0.0926,2.04,5.02,36,1.0000,27,9,False,0.7500,0.2500,4.99,-0.0180,-0.0325,3.66,5.52,1.80,3.25
2011-07,36,2008-08,2011-07,0.2021,-0.0552,3.66,False,0.0926,2.05,5.04,36,1.0000,27,9,False,0.7500,0.2500,5.01,-0.0180,-0.0325,3.66,5.52,1.80,3.25
2011-08,36,2008-09,2011-08,0.1895,-0.0389,4.87,False,0.0929,1.93,4.69,36,1.0000,26,10,False,0.7222,0.2778,4.71,-0.0180,-0.0325,3.66,3.89,1.80,3.25
2011-09,36,2008-10,2011-09,0.1995,-0.0389,5.13,False,0.0890,2.10,8.33,36,1.0000,26,10,False,0.7222,0.2778,5.66,-0.0158,-0.0203,4.19,3.89,1.58,2.03
2011-10,36,2008-11,2011-10,0.2150,-0.0389,5.53,False,0.0871,2.30,8.57,36,1.0000,27,9,False,0.7500,0.2500,6.73,-0.0148,-0.0203,4.46,3.89,1.48,2.03
2011-11,36,2008-12,2011-11,0.1896,-0.0389,4.87,False,0.0844,2.11,7.86,36,1.0000,26,10,False,0.7222,0.2778,5.81,-0.0148,-0.0203,4.46,3.89,1.48,2.03
2011-12,36,2009-01,2011-12,0.1686,-0.0389,4.33,False,0.0795,2.01,7.05,36,1.0000,26,10,False,0.7222,0.2778,5.31,-0.0148,-0.0203,3.36,3.89,1.48,2.03
2012-01,36,2009-02,2012-01,0.1406,-0.0248,5.66,False,0.0706,1.91,5.94,36,1.0000,26,10,False,0.7222,0.2778,4.63,-0.0148,-0.0203,2.64,2.48,1.48,2.03
2012-02,36,2009-03,2012-02,0.1530,-0.0224,6.83,False,0.0690,2.11,6.15,36,1.0000,27,9,False,0.7500,0.2500,5.51,-0.0140,-0.0203,2.79,2.24,1.40,2.03
2012-03,36,2009-04,2012-03,0.1592,-0.0224,7.11,False,0.0667,2.26,10.02,36,1.0000,27,9,False,0.7500,0.2500,6.58,-0.0130,-0.0146,3.00,2.24,1.30,1.46
2012-04,36,2009-05,2012-04,0.1522,-0.0224,6.80,False,0.0668,2.16,9.61,36,1.0000,27,9,False,0.7500,0.2500,6.36,-0.0130,-0.0146,3.00,2.24,1.30,1.46
2012-05,36,2009-06,2012-05,0.1420,-0.0224,6.34,False,0.0668,2.03,8.38,36,1.0000,26,10,False,0.7222,0.2778,5.91,-0.0130,-0.0146,3.00,2.24,1.30,1.46
