year,annual_return_calendar,eom_max_drawdown_intra_year,intramonth_max_drawdown_intra_year,trade_count,win_rate,profit_factor,active_months_count,active_months_share,annual_return_active,volatility_active_annualized,sharpe_active_annualized,sortino_active_annualized,cagr_active,insufficient_months,insufficient_active_months,insufficient_negative_months,insufficient_trades,volatility_annualized_year,sharpe_ratio_annualized_year,sortino_ratio_annualized_year,calmar_ratio_year,negative_months_in_year,months_in_year_available,is_ytd,positive_months_in_year,omega_ratio_year_target_0m,monthly_var_95_year,monthly_es_95_year,opening_cashflow_ccy
2008,0.1244,-0.0552,-0.0942,278,0.7302,1.18,12,1.0000,0.1244,0.1065,1.15,2.25,0.1244,false,false,false,false,0.1065,1.15,2.25,2.25,4,12,false,8,2.42,-0.0331,-0.0401,0.00
2009,0.1638,-0.0389,-0.0773,221,0.7557,1.33,12,1.0000,0.1638,0.0849,1.84,6.15,0.1638,false,false,false,false,0.0849,1.84,6.15,4.21,2,12,false,10,4.97,-0.0191,-0.0248,0.00
2010,0.2796,-0.0129,-0.0360,158,0.7975,2.18,12,1.0000,0.2796,0.0882,2.86,18.27,0.2796,false,false,false,false,0.0882,2.86,18.27,21.70,2,12,false,10,13.55,-0.0098,-0.0129,0.00
2011,0.0715,-0.0224,-0.0483,147,0.7075,1.23,12,1.0000,0.0715,0.0602,1.18,3.99,0.0715,false,false,false,false,0.0602,1.18,3.99,3.19,6,12,false,6,2.37,-0.0145,-0.0158,674476.83
2012,-0.0048,-0.0407,-0.0504,53,0.6226,0.96,12,1.0000,-0.0048,0.0454,-0.08,-0.16,-0.0048,false,false,false,false,0.0454,-0.08,-0.16,-0.12,6,12,false,6,0.93,-0.0157,-0.0212,0.00
2013,0.0248,-0.0067,-0.0205,35,0.6571,1.33,12,1.0000,0.0248,0.0297,0.84,1.00,0.0248,false,false,false,false,0.0297,0.84,1.00,3.70,4,12,false,8,1.85,-0.0106,-0.0181,0.00
2014,0.0028,-0.0250,-0.0288,18,0.6111,1.08,8,0.6667,0.0028,0.0369,0.13,NaN,0.0042,false,false,true,false,0.0294,0.11,NaN,0.11,1,12,false,7,1.13,-0.0113,-0.0250,0.00
2015,0.1974,-0.0024,-0.0211,138,0.7681,1.77,12,1.0000,0.1974,0.0493,3.71,74.94,0.1974,false,false,false,false,0.0493,3.71,74.94,82.21,2,12,false,10,48.96,-0.0019,-0.0024,0.00
2016,0.1137,-0.0097,-0.0123,57,0.8246,2.41,12,1.0000,0.1137,0.0418,2.61,11.23,0.1137,false,false,false,false,0.0418,2.61,11.23,11.76,2,12,false,9,12.23,-0.0048,-0.0051,0.00
2017,0.0549,0.0000,-0.0269,28,0.7500,2.41,8,0.6667,0.0549,0.0343,2.36,NaN,0.0834,false,false,true,false,0.0297,1.82,NaN,inf,1,12,false,7,6.02,-0.0048,-0.0107,0.00
2018,0.0236,-0.0153,-0.0158,28,0.7143,1.53,8,0.6667,0.0236,0.0304,1.17,2.86,0.0356,false,false,false,false,0.0248,0.95,1.91,1.54,3,12,false,5,2.40,-0.0077,-0.0077,541729.96
2019,0.0081,0.0000,-0.0023,6,0.6667,3.03,4,0.3333,0.0081,0.0067,3.62,NaN,0.0246,false,true,true,true,0.0049,1.65,NaN,inf,1,12,false,3,46.78,-0.0001,-0.0002,0.00
2020,0.1189,0.0000,-0.0420,65,0.8000,2.29,9,0.7500,0.1189,0.0659,2.31,NaN,0.1616,false,false,true,false,0.0597,1.92,NaN,inf,0,12,false,9,inf,0.0000,0.0000,0.00
2021,0.0112,-0.0028,-0.0028,5,0.8000,4.92,4,0.3333,0.0112,0.0142,2.36,NaN,0.0339,false,true,true,true,0.0088,1.27,NaN,3.95,1,12,false,3,4.94,-0.0013,-0.0028,0.00
2022,0.0596,-0.0232,-0.0327,103,0.7282,1.28,11,0.9167,0.0596,0.0475,1.35,1.94,0.0652,false,false,false,false,0.0456,1.29,1.78,2.57,5,12,false,6,2.67,-0.0150,-0.0232,0.00
2023,-0.0300,-0.0324,-0.0421,32,0.5938,0.70,11,0.9167,-0.0300,0.0296,-1.11,-4.36,-0.0327,false,false,false,false,0.0283,-1.06,-4.00,-0.93,6,12,false,5,0.49,-0.0113,-0.0116,0.00
2024,0.0201,-0.0056,-0.0102,16,0.6875,1.76,8,0.6667,0.0201,0.0179,1.67,23.65,0.0302,false,false,false,false,0.0149,1.34,15.77,3.61,2,12,false,6,2.89,-0.0053,-0.0056,0.00
2025,0.0240,-0.0365,-0.0374,55,0.7273,1.19,8,0.6667,0.0240,0.0548,0.67,1.42,0.0362,true,false,false,false,0.0548,0.67,1.42,0.66,3,8,true,5,1.57,-0.0192,-0.0211,0.00
