period_start_month,period_end_month,method,block_mean_length_months,n_paths,horizon_months,seed,risk_per_trade_pct,mc_policy,mc_cap_nav_ccy,mc_policy_apply,mc_policy_start_month,policy_total_cash_out_ccy_p05,policy_total_cash_out_ccy_p50,policy_total_cash_out_ccy_p95,policy_ending_nav_ccy_p05,policy_ending_nav_ccy_p50,policy_ending_nav_ccy_p95,policy_flow_aware_ending_value_ccy_p05,policy_flow_aware_ending_value_ccy_p50,policy_flow_aware_ending_value_ccy_p95,policy_flow_aware_multiple_p05,policy_flow_aware_multiple_p50,policy_flow_aware_multiple_p95,policy_prob_any_cashout,policy_avg_cashout_events,ending_nav_p05,ending_nav_p50,ending_nav_p95,wealth_multiple_p05,wealth_multiple_p50,wealth_multiple_p95,cagr_annualized_p05,cagr_annualized_p50,cagr_annualized_p95,max_drawdown_magnitude_p50,max_drawdown_magnitude_p95,max_drawdown_magnitude_p99,prob_negative_horizon_return,prob_maxdd_ge_5pc_eom,prob_maxdd_ge_7pc_eom,prob_maxdd_ge_10pc_eom,prob_maxdd_ge_20pc_eom,prob_maxdd_ge_30pc_eom,prob_maxdd_ge_5x_risk_eom,prob_maxdd_ge_7x_risk_eom,prob_maxdd_ge_10x_risk_eom,prob_no_breach_ge_5x_risk_eom,prob_no_breach_ge_7x_risk_eom,prob_no_breach_ge_10x_risk_eom,cond_es_maxdd_ge_5x_risk,cond_es_maxdd_ge_7x_risk,cond_es_maxdd_ge_10x_risk,mc_ttb_ge_5x_risk_p50,mc_ttb_ge_7x_risk_p50,mc_ttb_ge_10x_risk_p50,mc_maxdd_xrisk_p50,mc_maxdd_xrisk_p95,mc_maxdd_xrisk_p99
2008-01,2025-08,stationary_bootstrap,3,10000,12,42,0.0100,cap_nav,4500000.00,yearly,1,0.00,0.00,0.00,3329419.01,3526353.95,3870152.33,3329419.01,3526353.95,3870152.33,0.9792,1.0372,1.1383,0.0,0.0,3329419.01,3526353.95,3870152.33,0.98,1.04,1.14,-0.0208,0.0372,0.1383,0.0153,0.0541,0.0747,0.1645,0.0566,0.0364,0.0010,0.0000,0.0000,0.0566,0.0364,0.0010,0.9434,0.9636,0.9990,7.04,7.79,10.58,8,8,11,1.53,5.41,7.47
2008-01,2025-08,stationary_bootstrap,3,10000,36,42,0.0100,cap_nav,4500000.00,yearly,1,0.00,0.00,0.00,3421739.48,3825136.89,4434655.77,3421739.48,3825136.89,4434900.33,1.0064,1.1250,1.3044,0.0049,0.005,3421739.48,3825136.89,4434900.33,1.01,1.13,1.30,0.0021,0.0401,0.0926,0.0336,0.0757,0.1007,0.0418,0.2150,0.1220,0.0107,0.0000,0.0000,0.2150,0.1220,0.0107,0.7850,0.8780,0.9893,7.13,8.15,11.34,20,20,25,3.36,7.57,10.07
2008-01,2025-08,stationary_bootstrap,3,10000,212,42,0.0100,cap_nav,4500000.00,yearly,1,679167.59,2028765.34,3577966.10,4356242.46,4586753.82,4949159.89,5243504.19,6631579.59,8225821.73,1.5422,1.9505,2.4194,0.9931,8.5448,5282538.02,7097082.26,9908079.82,1.55,2.09,2.91,0.0253,0.0425,0.0624,0.0747,0.1092,0.1368,0.0000,0.7983,0.5897,0.0894,0.0001,0.0000,0.7983,0.5897,0.0894,0.2017,0.4103,0.9106,7.84,8.52,11.63,72,88,113,7.47,10.92,13.68
2008-01,2025-08,stationary_bootstrap,4,10000,12,42,0.0100,cap_nav,4500000.00,yearly,1,0.00,0.00,0.00,3328674.91,3517421.82,3858424.48,3328674.91,3517421.82,3858424.48,0.9790,1.0345,1.1348,0.0,0.0,3328674.91,3517421.82,3858424.48,0.98,1.03,1.13,-0.0210,0.0345,0.1348,0.0146,0.0540,0.0747,0.1650,0.0553,0.0395,0.0007,0.0000,0.0000,0.0553,0.0395,0.0007,0.9447,0.9605,0.9993,7.11,7.68,10.59,8,7,10,1.46,5.40,7.47
2008-01,2025-08,stationary_bootstrap,4,10000,36,42,0.0100,cap_nav,4500000.00,yearly,1,0.00,0.00,0.00,3415796.65,3830713.43,4453705.42,3415796.65,3830713.43,4454015.20,1.0046,1.1267,1.3100,0.0058,0.0059,3415796.65,3830713.43,4454015.20,1.00,1.13,1.31,0.0015,0.0406,0.0942,0.0323,0.0747,0.0964,0.0430,0.2004,0.1277,0.0075,0.0000,0.0000,0.2004,0.1277,0.0075,0.7996,0.8723,0.9925,7.18,7.98,11.35,20,19,26,3.23,7.47,9.64
2008-01,2025-08,stationary_bootstrap,4,10000,212,42,0.0100,cap_nav,4500000.00,yearly,1,616104.12,2015784.78,3596141.04,4357510.51,4582738.98,4960109.22,5179049.14,6623751.50,8249177.46,1.5232,1.9482,2.4262,0.9921,8.4719,5211476.23,7082857.63,9966070.69,1.53,2.08,2.93,0.0245,0.0424,0.0628,0.0747,0.1055,0.1311,0.0000,0.7866,0.6100,0.0700,0.0001,0.0000,0.7866,0.6100,0.0700,0.2134,0.3900,0.9300,7.76,8.31,11.56,73,85,113,7.47,10.55,13.11
2008-01,2025-08,stationary_bootstrap,5,10000,12,42,0.0100,cap_nav,4500000.00,yearly,1,0.00,0.00,0.00,3332901.11,3516415.81,3880981.83,3332901.11,3516415.81,3880981.83,0.9803,1.0342,1.1415,0.0,0.0,3332901.11,3516415.81,3880981.83,0.98,1.03,1.14,-0.0197,0.0342,0.1415,0.0138,0.0504,0.0747,0.1649,0.0506,0.0392,0.0005,0.0000,0.0000,0.0506,0.0392,0.0005,0.9494,0.9608,0.9995,7.22,7.68,10.56,8,7,11,1.38,5.04,7.47
2008-01,2025-08,stationary_bootstrap,5,10000,36,42,0.0100,cap_nav,4500000.00,yearly,1,0.00,0.00,0.00,3413486.75,3818999.72,4475773.22,3413486.75,3818999.72,4478288.10,1.0040,1.1232,1.3171,0.0065,0.0065,3413486.75,3818999.72,4478288.10,1.00,1.12,1.32,0.0013,0.0395,0.0962,0.0324,0.0747,0.0922,0.0413,0.1913,0.1284,0.0053,0.0000,0.0000,0.1913,0.1284,0.0053,0.8087,0.8716,0.9947,7.15,7.82,11.26,20,19,22,3.24,7.47,9.22
2008-01,2025-08,stationary_bootstrap,5,10000,212,42,0.0100,cap_nav,4500000.00,yearly,1,555893.27,2011151.93,3652790.77,4363339.58,4580072.62,4961773.09,5126949.73,6631386.42,8312047.65,1.5079,1.9504,2.4447,0.9907,8.3932,5154229.00,7091540.22,10078742.21,1.52,2.09,2.96,0.0238,0.0425,0.0634,0.0747,0.1032,0.1267,0.0000,0.7709,0.6122,0.0603,0.0000,0.0000,0.7709,0.6122,0.0603,0.2291,0.3878,0.9397,7.69,8.18,11.49,72,84,117,7.47,10.32,12.67
2008-01,2025-08,stationary_bootstrap,6,10000,12,42,0.0100,cap_nav,4500000.00,yearly,1,0.00,0.00,0.00,3335297.01,3509547.57,3887774.71,3335297.01,3509547.57,3887774.71,0.9810,1.0322,1.1435,0.0,0.0,3335297.01,3509547.57,3887774.71,0.98,1.03,1.14,-0.0190,0.0322,0.1435,0.0138,0.0480,0.0747,0.1719,0.0470,0.0354,0.0002,0.0000,0.0000,0.0470,0.0354,0.0002,0.9530,0.9646,0.9998,7.11,7.58,10.67,8,8,12,1.38,4.80,7.47
2008-01,2025-08,stationary_bootstrap,6,10000,36,42,0.0100,cap_nav,4500000.00,yearly,1,0.00,0.00,0.00,3412763.57,3815572.66,4490507.36,3412763.57,3815572.66,4493492.24,1.0038,1.1222,1.3216,0.0073,0.0073,3412763.57,3815572.66,4493492.24,1.00,1.12,1.32,0.0012,0.0392,0.0974,0.0317,0.0747,0.0940,0.0442,0.1918,0.1352,0.0058,0.0000,0.0000,0.1918,0.1352,0.0058,0.8082,0.8648,0.9942,7.20,7.81,11.07,20,19,26,3.17,7.47,9.40
