month,window_months,window_start_month,window_end_month,rolling_return_12m,rolling_volatility_annualized_12m,rolling_sharpe_annualized_12m,insufficient_months,rolling_max_drawdown_12m,rolling_calmar_12m,rolling_sortino_annualized_12m,active_months_count_12m,active_months_share_12m,positive_months_count_12m,negative_months_count_12m,insufficient_negative_months,positive_months_share_12m,negative_months_share_12m,rolling_omega_12m_target_0m,rolling_var_95_12m,rolling_es_95_12m,rolling_tail_ratio_p95_p5_12m,rolling_max_drawdown_12m_xrisk,rolling_var_95_12m_xrisk,rolling_es_95_12m_xrisk
2008-12,12,2008-01,2008-12,0.0621,0.1012,0.64,False,-0.0747,0.83,1.11,12,1.0000,8,4,False,0.6667,0.3333,1.59,-0.0372,-0.0461,1.25,7.47,3.72,4.61
2009-01,12,2008-02,2009-01,0.0993,0.1123,0.90,False,-0.0747,1.33,1.71,12,1.0000,8,4,False,0.6667,0.3333,1.92,-0.0372,-0.0461,1.40,7.47,3.72,4.61
2009-02,12,2008-03,2009-02,0.0758,0.1148,0.69,False,-0.0747,1.02,1.46,12,1.0000,7,5,False,0.5833,0.4167,1.63,-0.0372,-0.0461,1.40,7.47,3.72,4.61
2009-03,12,2008-04,2009-03,0.0516,0.1193,0.48,False,-0.0747,0.69,1.50,12,1.0000,7,5,False,0.5833,0.4167,1.39,-0.0372,-0.0461,1.40,7.47,3.72,4.61
2009-04,12,2008-05,2009-04,0.0991,0.1138,0.89,False,-0.0747,1.33,2.31,12,1.0000,8,4,False,0.6667,0.3333,1.85,-0.0372,-0.0461,1.40,7.47,3.72,4.61
2009-05,12,2008-06,2009-05,0.1115,0.1143,0.98,False,-0.0747,1.49,2.57,12,1.0000,8,4,False,0.6667,0.3333,1.94,-0.0372,-0.0461,1.40,7.47,3.72,4.61
2009-06,12,2008-07,2009-06,0.1068,0.1145,0.94,False,-0.0747,1.43,2.47,12,1.0000,8,4,False,0.6667,0.3333,1.91,-0.0372,-0.0461,1.40,7.47,3.72,4.61
2009-07,12,2008-08,2009-07,0.1029,0.1144,0.91,False,-0.0747,1.38,2.39,12,1.0000,8,4,False,0.6667,0.3333,1.88,-0.0372,-0.0461,1.40,7.47,3.72,4.61
2009-08,12,2008-09,2009-08,0.0835,0.1126,0.77,False,-0.0423,1.97,1.97,12,1.0000,8,4,False,0.6667,0.3333,1.73,-0.0372,-0.0461,1.40,4.23,3.72,4.61
2009-09,12,2008-10,2009-09,0.1373,0.0971,1.38,False,-0.0423,3.25,4.97,12,1.0000,9,3,False,0.7500,0.2500,2.84,-0.0285,-0.0300,1.83,4.23,2.85,3.00
2009-10,12,2008-11,2009-10,0.1944,0.0862,2.12,False,-0.0423,4.60,6.27,12,1.0000,10,2,False,0.8333,0.1667,5.27,-0.0208,-0.0273,2.51,4.23,2.08,2.73
2009-11,12,2008-12,2009-11,0.1507,0.0805,1.79,False,-0.0423,3.56,4.96,12,1.0000,10,2,False,0.8333,0.1667,4.38,-0.0208,-0.0273,2.51,4.23,2.08,2.73
2009-12,12,2009-01,2009-12,0.1083,0.0691,1.52,False,-0.0423,2.56,3.63,12,1.0000,10,2,False,0.8333,0.1667,3.47,-0.0208,-0.0273,1.71,4.23,2.08,2.73
2010-01,12,2009-02,2010-01,0.0759,0.0512,1.46,False,-0.0273,2.78,2.57,12,1.0000,10,2,False,0.8333,0.1667,2.75,-0.0208,-0.0273,1.04,2.73,2.08,2.73
2010-02,12,2009-03,2010-02,0.0985,0.0455,2.09,False,0.0000,inf,NaN,12,1.0000,11,1,True,0.9167,0.0833,4.49,-0.0115,-0.0273,1.88,0.00,1.15,2.73
2010-03,12,2009-04,2010-03,0.1472,0.0249,5.56,False,0.0000,inf,NaN,12,1.0000,12,0,True,1.0000,0.0000,NaN,0.0022,0.0013,9.73,0.00,0.22,0.13
2010-04,12,2009-05,2010-04,0.1231,0.0303,3.87,False,-0.0064,19.27,NaN,12,1.0000,11,1,True,0.9167,0.0833,19.32,-0.0021,-0.0064,10.13,0.64,0.21,0.64
2010-05,12,2009-06,2010-05,0.1693,0.0598,2.66,False,-0.0064,26.50,NaN,12,1.0000,11,1,True,0.9167,0.0833,25.89,-0.0021,-0.0064,19.17,0.64,0.21,0.64
2010-06,12,2009-07,2010-06,0.1915,0.0592,3.01,False,-0.0064,29.97,NaN,12,1.0000,11,1,True,0.9167,0.0833,28.87,-0.0021,-0.0064,19.17,0.64,0.21,0.64
2010-07,12,2009-08,2010-07,0.1966,0.0589,3.09,False,-0.0064,30.78,NaN,12,1.0000,11,1,True,0.9167,0.0833,29.55,-0.0021,-0.0064,19.17,0.64,0.21,0.64
