month,window_months,window_start_month,window_end_month,rolling_return_annualized_36m,rolling_max_drawdown_36m,rolling_calmar_36m,insufficient_months,rolling_volatility_annualized_36m,rolling_sharpe_annualized_36m,rolling_sortino_annualized_36m,active_months_count_36m,active_months_share_36m,positive_months_count_36m,negative_months_count_36m,insufficient_negative_months,positive_months_share_36m,negative_months_share_36m,rolling_omega_36m_target_0m,rolling_var_95_36m,rolling_es_95_36m,rolling_tail_ratio_p95_p5_36m,rolling_max_drawdown_36m_xrisk,rolling_var_95_36m_xrisk,rolling_es_95_36m_xrisk
2010-12,36,2008-01,2010-12,0.1184,-0.0747,1.59,False,0.0792,1.46,2.38,36,1.0000,28,8,False,0.7778,0.2222,3.02,-0.0292,-0.0380,1.75,7.47,2.92,3.80
2011-01,36,2008-02,2011-01,0.1246,-0.0747,1.67,False,0.0805,1.50,2.49,36,1.0000,28,8,False,0.7778,0.2222,3.11,-0.0292,-0.0380,1.75,7.47,2.92,3.80
2011-02,36,2008-03,2011-02,0.1205,-0.0747,1.61,False,0.0810,1.45,2.38,36,1.0000,27,9,False,0.7500,0.2500,3.00,-0.0292,-0.0380,1.75,7.47,2.92,3.80
2011-03,36,2008-04,2011-03,0.1272,-0.0747,1.70,False,0.0805,1.53,2.53,36,1.0000,28,8,False,0.7778,0.2222,3.16,-0.0292,-0.0380,1.75,7.47,2.92,3.80
2011-04,36,2008-05,2011-04,0.1330,-0.0747,1.78,False,0.0784,1.64,2.66,36,1.0000,28,8,False,0.7778,0.2222,3.46,-0.0280,-0.0380,1.83,7.47,2.80,3.80
2011-05,36,2008-06,2011-05,0.1254,-0.0747,1.68,False,0.0795,1.53,2.65,36,1.0000,27,9,False,0.7500,0.2500,3.17,-0.0280,-0.0380,1.83,7.47,2.80,3.80
2011-06,36,2008-07,2011-06,0.1290,-0.0747,1.73,False,0.0796,1.57,2.72,36,1.0000,27,9,False,0.7500,0.2500,3.23,-0.0280,-0.0380,1.83,7.47,2.80,3.80
2011-07,36,2008-08,2011-07,0.1288,-0.0747,1.72,False,0.0796,1.57,2.71,36,1.0000,27,9,False,0.7500,0.2500,3.22,-0.0280,-0.0380,1.83,7.47,2.80,3.80
2011-08,36,2008-09,2011-08,0.1167,-0.0423,2.76,False,0.0795,1.43,2.49,36,1.0000,26,10,False,0.7222,0.2778,2.96,-0.0280,-0.0380,1.83,4.23,2.80,3.80
2011-09,36,2008-10,2011-09,0.1275,-0.0423,3.02,False,0.0742,1.66,4.13,36,1.0000,26,10,False,0.7222,0.2778,3.53,-0.0203,-0.0286,2.52,4.23,2.03,2.86
