year,annual_return_calendar,eom_max_drawdown_intra_year,intramonth_max_drawdown_intra_year,trade_count,win_rate,profit_factor,active_months_count,active_months_share,annual_return_active,volatility_active_annualized,sharpe_active_annualized,sortino_active_annualized,cagr_active,insufficient_months,insufficient_active_months,insufficient_negative_months,insufficient_trades,volatility_annualized_year,sharpe_ratio_annualized_year,sortino_ratio_annualized_year,calmar_ratio_year,negative_months_in_year,months_in_year_available,is_ytd,positive_months_in_year,omega_ratio_year_target_0m,monthly_var_95_year,monthly_es_95_year,opening_cashflow_ccy
2008,0.0621,-0.0747,-0.1126,278,0.7122,1.10,12,1.0000,0.0621,0.1012,0.64,1.11,0.0621,false,false,false,false,0.1012,0.64,1.11,0.83,4,12,false,8,1.59,-0.0372,-0.0461,0.00
2009,0.1083,-0.0423,-0.0720,221,0.7466,1.25,12,1.0000,0.1083,0.0691,1.52,3.63,0.1083,false,false,false,false,0.0691,1.52,3.63,2.56,2,12,false,10,3.47,-0.0208,-0.0273,0.00
2010,0.1886,-0.0129,-0.0283,158,0.7848,2.07,12,1.0000,0.1886,0.0662,2.66,10.95,0.1886,false,false,false,false,0.0662,2.66,10.95,14.57,2,12,false,10,10.10,-0.0093,-0.0129,0.00
2011,0.0398,-0.0255,-0.0528,147,0.7007,1.13,12,1.0000,0.0398,0.0567,0.71,2.30,0.0398,false,false,false,false,0.0567,0.71,2.30,1.56,6,12,false,6,1.65,-0.0156,-0.0180,1356808.34
2012,-0.0146,-0.0416,-0.0501,53,0.6038,0.87,12,1.0000,-0.0146,0.0405,-0.34,-0.57,-0.0146,false,false,false,false,0.0405,-0.34,-0.57,-0.35,8,12,false,4,0.75,-0.0158,-0.0209,0.00
2013,0.0165,-0.0074,-0.0191,35,0.6571,1.23,12,1.0000,0.0165,0.0272,0.62,0.72,0.0165,false,false,false,false,0.0272,0.62,0.72,2.23,4,12,false,8,1.58,-0.0102,-0.0172,0.00
2014,0.0002,-0.0230,-0.0264,18,0.5556,1.01,8,0.6667,0.0002,0.0336,0.03,NaN,0.0004,false,false,true,false,0.0268,0.02,NaN,0.01,1,12,false,7,1.02,-0.0103,-0.0230,0.00
2015,0.1458,-0.0002,-0.0147,138,0.7609,1.80,12,1.0000,0.1458,0.0369,3.73,362.77,0.1458,false,false,false,false,0.0369,3.73,362.77,610.65,2,12,false,10,426.92,-0.0002,-0.0002,0.00
2016,0.0796,-0.0069,-0.0105,57,0.7719,2.46,12,1.0000,0.0796,0.0340,2.28,40.10,0.0796,false,false,false,false,0.0340,2.28,40.10,11.57,3,12,false,9,9.25,-0.0034,-0.0035,0.00
2017,0.0292,0.0000,-0.0208,28,0.7500,2.05,8,0.6667,0.0292,0.0247,1.76,NaN,0.0441,false,false,true,false,0.0207,1.40,NaN,inf,1,12,false,7,3.70,-0.0048,-0.0107,0.00
2018,0.0158,-0.0133,-0.0139,28,0.6429,1.42,8,0.6667,0.0158,0.0251,0.95,2.62,0.0238,false,false,false,false,0.0203,0.78,1.75,1.19,3,12,false,5,2.02,-0.0067,-0.0069,1109697.18
2019,0.0058,0.0000,-0.0020,6,0.6667,2.63,4,0.3333,0.0058,0.0062,2.80,NaN,0.0175,false,true,true,true,0.0041,1.42,NaN,inf,1,12,false,3,11.80,-0.0002,-0.0005,0.00
2020,0.0791,0.0000,-0.0342,65,0.8000,2.09,9,0.7500,0.0791,0.0439,2.34,NaN,0.1069,false,false,true,false,0.0397,1.94,NaN,inf,0,12,false,9,inf,0.0000,0.0000,0.00
2021,0.0075,-0.0024,-0.0024,5,0.8000,4.13,4,0.3333,0.0075,0.0106,2.11,NaN,0.0226,false,true,true,true,0.0064,1.17,NaN,3.14,1,12,false,3,4.14,-0.0011,-0.0024,0.00
2022,0.0217,-0.0217,-0.0256,103,0.7087,1.14,11,0.9167,0.0217,0.0349,0.69,0.79,0.0237,false,false,false,false,0.0333,0.66,0.72,1.00,5,12,false,6,1.66,-0.0136,-0.0217,0.00
2023,-0.0243,-0.0210,-0.0317,32,0.5938,0.67,11,0.9167,-0.0243,0.0210,-1.27,-2.94,-0.0265,false,false,false,false,0.0202,-1.21,-2.70,-1.16,6,12,false,5,0.43,-0.0093,-0.0108,0.00
2024,0.0083,-0.0068,-0.0101,16,0.6875,1.37,8,0.6667,0.0083,0.0147,0.85,1.95,0.0124,false,false,false,false,0.0118,0.70,1.30,1.22,2,12,false,6,1.76,-0.0053,-0.0068,0.00
2025,0.0121,-0.0276,-0.0285,55,0.6909,1.13,8,0.6667,0.0121,0.0374,0.50,0.84,0.0183,true,false,false,false,0.0374,0.50,0.84,0.44,3,8,true,5,1.41,-0.0141,-0.0146,0.00
