period_start_month,period_end_month,method,block_mean_length_months,n_paths,horizon_months,seed,risk_per_trade_pct,mc_policy,mc_cap_nav_ccy,mc_policy_apply,mc_policy_start_month,policy_total_cash_out_ccy_p05,policy_total_cash_out_ccy_p50,policy_total_cash_out_ccy_p95,policy_ending_nav_ccy_p05,policy_ending_nav_ccy_p50,policy_ending_nav_ccy_p95,policy_flow_aware_ending_value_ccy_p05,policy_flow_aware_ending_value_ccy_p50,policy_flow_aware_ending_value_ccy_p95,policy_flow_aware_multiple_p05,policy_flow_aware_multiple_p50,policy_flow_aware_multiple_p95,policy_prob_any_cashout,policy_avg_cashout_events,ending_nav_p05,ending_nav_p50,ending_nav_p95,wealth_multiple_p05,wealth_multiple_p50,wealth_multiple_p95,cagr_annualized_p05,cagr_annualized_p50,cagr_annualized_p95,max_drawdown_magnitude_p50,max_drawdown_magnitude_p95,max_drawdown_magnitude_p99,prob_negative_horizon_return,prob_maxdd_ge_5pc_eom,prob_maxdd_ge_7pc_eom,prob_maxdd_ge_10pc_eom,prob_maxdd_ge_20pc_eom,prob_maxdd_ge_30pc_eom,prob_maxdd_ge_5x_risk_eom,prob_maxdd_ge_7x_risk_eom,prob_maxdd_ge_10x_risk_eom,prob_no_breach_ge_5x_risk_eom,prob_no_breach_ge_7x_risk_eom,prob_no_breach_ge_10x_risk_eom,cond_es_maxdd_ge_5x_risk,cond_es_maxdd_ge_7x_risk,cond_es_maxdd_ge_10x_risk,mc_ttb_ge_5x_risk_p50,mc_ttb_ge_7x_risk_p50,mc_ttb_ge_10x_risk_p50,mc_maxdd_xrisk_p50,mc_maxdd_xrisk_p95,mc_maxdd_xrisk_p99
2008-01,2025-08,stationary_bootstrap,3,10000,12,42,0.0100,cap_nav,100000.00,yearly,1,0.00,0.00,0.00,99159.07,106557.97,121664.36,99159.07,106557.97,121664.36,0.9916,1.0656,1.2166,0.0,0.0,99159.07,106557.97,121664.36,0.99,1.07,1.22,-0.0084,0.0656,0.2166,0.0152,0.0452,0.0568,0.0835,0.0208,0.0020,0.0001,0.0000,0.0000,0.0208,0.0020,0.0001,0.9792,0.9980,0.9999,5.91,7.86,10.61,10,10,10,1.52,4.52,5.68
2008-01,2025-08,stationary_bootstrap,3,10000,36,42,0.0100,cap_nav,100000.00,yearly,1,2480.72,14023.88,33591.33,98714.61,106059.55,120763.35,105805.80,121483.43,145302.66,1.0581,1.2148,1.4530,0.9866,1.8255,105825.55,122688.04,151038.78,1.06,1.23,1.51,0.0191,0.0705,0.1474,0.0321,0.0596,0.0764,0.0067,0.1061,0.0182,0.0010,0.0000,0.0000,0.1061,0.0182,0.0010,0.8939,0.9818,0.9990,6.19,8.08,10.86,21,24,27,3.21,5.96,7.64
2008-01,2025-08,stationary_bootstrap,3,10000,212,42,0.0100,cap_nav,100000.00,yearly,1,86962.32,130017.12,181888.69,98252.43,103815.04,115875.88,190756.02,235006.28,287832.16,1.9076,2.3501,2.8783,1.0,15.471,238106.18,356194.50,570813.68,2.38,3.56,5.71,0.0503,0.0746,0.1036,0.0506,0.0809,0.1002,0.0000,0.5174,0.1277,0.0102,0.0000,0.0000,0.5174,0.1277,0.0102,0.4826,0.8723,0.9898,6.43,8.19,11.06,93,106,121,5.06,8.09,10.02
2008-01,2025-08,stationary_bootstrap,4,10000,12,42,0.0100,cap_nav,100000.00,yearly,1,0.00,0.00,0.00,99149.15,106137.82,121832.03,99149.15,106137.82,121832.03,0.9915,1.0614,1.2183,0.0,0.0,99149.15,106137.82,121832.03,0.99,1.06,1.22,-0.0085,0.0614,0.2183,0.0152,0.0452,0.0539,0.0855,0.0161,0.0015,0.0000,0.0000,0.0000,0.0161,0.0015,0.0000,0.9839,0.9985,1.0000,5.81,7.58,NaN,10,9,NaN,1.52,4.52,5.39
2008-01,2025-08,stationary_bootstrap,4,10000,36,42,0.0100,cap_nav,100000.00,yearly,1,2275.59,13929.21,35016.81,98868.09,105966.24,121177.51,105122.29,121485.41,146385.85,1.0512,1.2149,1.4639,0.9826,1.8214,105155.29,122682.37,152781.11,1.05,1.23,1.53,0.0169,0.0705,0.1517,0.0327,0.0560,0.0724,0.0078,0.0829,0.0129,0.0007,0.0000,0.0000,0.0829,0.0129,0.0007,0.9171,0.9871,0.9993,6.10,7.96,11.04,22,24,34,3.27,5.60,7.24
2008-01,2025-08,stationary_bootstrap,4,10000,212,42,0.0100,cap_nav,100000.00,yearly,1,83906.73,129893.84,184014.54,98350.95,103667.10,116415.43,187978.42,234981.08,289651.88,1.8798,2.3498,2.8965,1.0,15.4106,231451.34,356111.38,577253.57,2.31,3.56,5.77,0.0486,0.0745,0.1043,0.0488,0.0783,0.0953,0.0000,0.4650,0.1050,0.0070,0.0000,0.0000,0.4650,0.1050,0.0070,0.5350,0.8950,0.9930,6.34,8.11,11.11,94,117,127,4.88,7.83,9.53
2008-01,2025-08,stationary_bootstrap,5,10000,12,42,0.0100,cap_nav,100000.00,yearly,1,0.00,0.00,0.00,98957.96,105923.84,122870.00,98957.96,105923.84,122870.00,0.9896,1.0592,1.2287,0.0,0.0,98957.96,105923.84,122870.00,0.99,1.06,1.23,-0.0104,0.0592,0.2287,0.0149,0.0452,0.0533,0.0852,0.0139,0.0009,0.0001,0.0000,0.0000,0.0139,0.0009,0.0001,0.9861,0.9991,0.9999,5.86,8.20,11.26,9,10,12,1.49,4.52,5.33
2008-01,2025-08,stationary_bootstrap,5,10000,36,42,0.0100,cap_nav,100000.00,yearly,1,2098.46,13397.67,35507.21,98696.01,105773.04,122441.38,105162.19,120953.88,147588.60,1.0516,1.2095,1.4759,0.984,1.8108,105170.38,122061.42,154349.27,1.05,1.22,1.54,0.0169,0.0687,0.1557,0.0330,0.0538,0.0697,0.0072,0.0703,0.0098,0.0004,0.0000,0.0000,0.0703,0.0098,0.0004,0.9297,0.9902,0.9996,6.04,7.97,10.85,22,22,20,3.30,5.38,6.97
2008-01,2025-08,stationary_bootstrap,5,10000,212,42,0.0100,cap_nav,100000.00,yearly,1,81981.29,130195.86,185818.56,98268.25,103626.55,116335.85,186068.77,235226.62,291569.56,1.8607,2.3523,2.9157,1.0,15.3551,227491.57,355849.32,588503.63,2.27,3.56,5.89,0.0476,0.0745,0.1055,0.0473,0.0760,0.0916,0.0000,0.4211,0.0883,0.0041,0.0000,0.0000,0.4211,0.0883,0.0041,0.5789,0.9117,0.9959,6.28,8.03,11.01,98,115,99,4.73,7.60,9.16
2008-01,2025-08,stationary_bootstrap,6,10000,12,42,0.0100,cap_nav,100000.00,yearly,1,0.00,0.00,0.00,99003.18,105714.12,122781.33,99003.18,105714.12,122781.33,0.9900,1.0571,1.2278,0.0,0.0,99003.18,105714.12,122781.33,0.99,1.06,1.23,-0.0100,0.0571,0.2278,0.0149,0.0452,0.0518,0.0883,0.0117,0.0010,0.0000,0.0000,0.0000,0.0117,0.0010,0.0000,0.9883,0.9990,1.0000,5.87,7.38,NaN,9,10,NaN,1.49,4.52,5.18
2008-01,2025-08,stationary_bootstrap,6,10000,36,42,0.0100,cap_nav,100000.00,yearly,1,1907.39,13237.19,36220.55,98707.36,105645.30,122225.30,104633.37,121001.39,148028.67,1.0463,1.2100,1.4803,0.9829,1.81,104670.16,122112.43,154763.72,1.05,1.22,1.55,0.0153,0.0689,0.1567,0.0331,0.0531,0.0688,0.0093,0.0671,0.0088,0.0004,0.0000,0.0000,0.0671,0.0088,0.0004,0.9329,0.9912,0.9996,6.01,7.86,10.67,22,23,30,3.31,5.31,6.88
2008-01,2025-08,stationary_bootstrap,6,10000,212,42,0.0100,cap_nav,100000.00,yearly,1,81495.26,130009.62,188610.27,98301.89,103370.37,116695.06,184877.59,234601.50,293913.51,1.8488,2.3460,2.9391,1.0,15.3177,225106.77,353161.13,599729.57,2.25,3.53,6.00,0.0470,0.0740,0.1067,0.0458,0.0748,0.0904,0.0000,0.3862,0.0761,0.0027,0.0000,0.0000,0.3862,0.0761,0.0027,0.6138,0.9239,0.9973,6.25,8.01,10.92,102,115,114,4.58,7.48,9.04
2008-01,2025-08,stationary_bootstrap,7,10000,12,42,0.0100,cap_nav,100000.00,yearly,1,0.00,0.00,0.00,98903.48,105685.44,123188.13,98903.48,105685.44,123188.13,0.9890,1.0569,1.2319,0.0,0.0,98903.48,105685.44,123188.13,0.99,1.06,1.23,-0.0110,0.0569,0.2319,0.0149,0.0450,0.0504,0.0919,0.0106,0.0009,0.0000,0.0000,0.0000,0.0106,0.0009,0.0000,0.9894,0.9991,1.0000,5.88,7.87,NaN,10,11,NaN,1.49,4.50,5.04
2008-01,2025-08,stationary_bootstrap,7,10000,36,42,0.0100,cap_nav,100000.00,yearly,1,1961.64,13408.83,36552.27,98646.14,105571.97,123104.25,104761.69,120858.72,148177.42,1.0476,1.2086,1.4818,0.9837,1.8073,104799.50,121958.17,154994.32,1.05,1.22,1.55,0.0157,0.0684,0.1573,0.0322,0.0522,0.0673,0.0087,0.0614,0.0072,0.0000,0.0000,0.0000,0.0614,0.0072,0.0000,0.9386,0.9928,1.0000,5.96,7.82,NaN,22,23,NaN,3.22,5.22,6.73
2008-01,2025-08,stationary_bootstrap,7,10000,212,42,0.0100,cap_nav,100000.00,yearly,1,79794.74,129940.24,190241.69,98397.95,103248.93,116743.80,183144.37,235116.68,296457.63,1.8314,2.3512,2.9646,1.0,15.2716,221431.28,354350.05,612245.19,2.21,3.54,6.12,0.0460,0.0742,0.1080,0.0452,0.0718,0.0860,0.0000,0.3555,0.0604,0.0021,0.0000,0.0000,0.3555,0.0604,0.0021,0.6445,0.9396,0.9979,6.18,7.92,10.75,99,112,119,4.52,7.18,8.60
2008-01,2025-08,stationary_bootstrap,8,10000,12,42,0.0100,cap_nav,100000.00,yearly,1,0.00,0.00,0.00,99007.14,105650.19,123649.44,99007.14,105650.19,123649.44,0.9901,1.0565,1.2365,0.0,0.0,99007.14,105650.19,123649.44,0.99,1.06,1.24,-0.0099,0.0565,0.2365,0.0149,0.0452,0.0501,0.0898,0.0101,0.0010,0.0000,0.0000,0.0000,0.0101,0.0010,0.0000,0.9899,0.9990,1.0000,5.85,7.68,NaN,10,11,NaN,1.49,4.52,5.01
