month,window_months,window_start_month,window_end_month,rolling_return_annualized_36m,rolling_max_drawdown_36m,rolling_calmar_36m,insufficient_months,rolling_volatility_annualized_36m,rolling_sharpe_annualized_36m,rolling_sortino_annualized_36m,active_months_count_36m,active_months_share_36m,positive_months_count_36m,negative_months_count_36m,insufficient_negative_months,positive_months_share_36m,negative_months_share_36m,rolling_omega_36m_target_0m,rolling_var_95_36m,rolling_es_95_36m,rolling_tail_ratio_p95_p5_36m,rolling_max_drawdown_36m_xrisk,rolling_var_95_36m_xrisk,rolling_es_95_36m_xrisk
2010-12,36,2008-01,2010-12,0.2095,-0.0452,4.64,False,0.0945,2.07,4.88,36,1.0000,28,8,False,0.7778,0.2222,5.61,-0.0232,-0.0317,3.06,4.52,2.32,3.17
2011-01,36,2008-02,2011-01,0.2174,-0.0452,4.81,False,0.0956,2.12,5.04,36,1.0000,28,8,False,0.7778,0.2222,5.77,-0.0232,-0.0317,3.06,4.52,2.32,3.17
2011-02,36,2008-03,2011-02,0.2131,-0.0452,4.72,False,0.0962,2.07,4.96,36,1.0000,27,9,False,0.7500,0.2500,5.55,-0.0232,-0.0317,3.06,4.52,2.32,3.17
2011-03,36,2008-04,2011-03,0.2204,-0.0452,4.88,False,0.0955,2.15,5.20,36,1.0000,28,8,False,0.7778,0.2222,5.78,-0.0232,-0.0317,3.06,4.52,2.32,3.17
2011-04,36,2008-05,2011-04,0.2260,-0.0452,5.00,False,0.0937,2.24,5.72,36,1.0000,28,8,False,0.7778,0.2222,6.45,-0.0154,-0.0295,4.60,4.52,1.54,2.95
2011-05,36,2008-06,2011-05,0.2190,-0.0452,4.85,False,0.0948,2.15,5.82,36,1.0000,27,9,False,0.7500,0.2500,5.95,-0.0154,-0.0295,4.60,4.52,1.54,2.95
2011-06,36,2008-07,2011-06,0.2237,-0.0452,4.95,False,0.0947,2.19,5.93,36,1.0000,27,9,False,0.7500,0.2500,6.04,-0.0154,-0.0295,4.60,4.52,1.54,2.95
2011-07,36,2008-08,2011-07,0.2247,-0.0452,4.97,False,0.0947,2.20,5.96,36,1.0000,27,9,False,0.7500,0.2500,6.06,-0.0154,-0.0295,4.60,4.52,1.54,2.95
2011-08,36,2008-09,2011-08,0.2121,-0.0334,6.34,False,0.0950,2.08,5.59,36,1.0000,26,10,False,0.7222,0.2778,5.73,-0.0154,-0.0295,4.60,3.34,1.54,2.95
2011-09,36,2008-10,2011-09,0.2213,-0.0334,6.62,False,0.0916,2.24,10.19,36,1.0000,26,10,False,0.7222,0.2778,6.95,-0.0136,-0.0184,5.21,3.34,1.36,1.84
2011-10,36,2008-11,2011-10,0.2345,-0.0334,7.02,False,0.0904,2.39,10.18,36,1.0000,27,9,False,0.7500,0.2500,7.83,-0.0136,-0.0184,5.21,3.34,1.36,1.84
2011-11,36,2008-12,2011-11,0.2074,-0.0334,6.20,False,0.0873,2.22,9.32,36,1.0000,26,10,False,0.7222,0.2778,6.77,-0.0136,-0.0184,5.21,3.34,1.36,1.84
2011-12,36,2009-01,2011-12,0.1845,-0.0334,5.52,False,0.0820,2.12,8.36,36,1.0000,26,10,False,0.7222,0.2778,6.18,-0.0136,-0.0184,3.82,3.34,1.36,1.84
2012-01,36,2009-02,2012-01,0.1541,-0.0221,6.98,False,0.0718,2.04,7.06,36,1.0000,26,10,False,0.7222,0.2778,5.37,-0.0136,-0.0184,2.98,2.21,1.36,1.84
2012-02,36,2009-03,2012-02,0.1658,-0.0214,7.77,False,0.0704,2.23,7.15,36,1.0000,27,9,False,0.7500,0.2500,6.29,-0.0136,-0.0184,2.98,2.14,1.36,1.84
2012-03,36,2009-04,2012-03,0.1710,-0.0214,8.01,False,0.0686,2.35,10.59,36,1.0000,27,9,False,0.7500,0.2500,7.38,-0.0126,-0.0140,3.20,2.14,1.26,1.40
2012-04,36,2009-05,2012-04,0.1634,-0.0214,7.65,False,0.0687,2.25,10.16,36,1.0000,27,9,False,0.7500,0.2500,7.12,-0.0126,-0.0140,3.20,2.14,1.26,1.40
2012-05,36,2009-06,2012-05,0.1527,-0.0214,7.15,False,0.0687,2.11,9.01,36,1.0000,26,10,False,0.7222,0.2778,6.62,-0.0126,-0.0140,3.20,2.14,1.26,1.40
2012-06,36,2009-07,2012-06,0.1420,-0.0290,4.89,False,0.0712,1.91,6.62,36,1.0000,25,11,False,0.6944,0.3056,5.15,-0.0136,-0.0178,2.98,2.90,1.36,1.78
2012-07,36,2009-08,2012-07,0.1328,-0.0395,3.36,False,0.0724,1.77,6.50,36,1.0000,24,12,False,0.6667,0.3333,4.51,-0.0136,-0.0178,2.98,3.95,1.36,1.78
2012-08,36,2009-09,2012-08,0.1393,-0.0395,3.52,False,0.0731,1.83,6.80,36,1.0000,24,12,False,0.6667,0.3333,4.67,-0.0136,-0.0178,2.98,3.95,1.36,1.78
2012-09,36,2009-10,2012-09,0.1368,-0.0395,3.46,False,0.0734,1.79,6.73,36,1.0000,23,13,False,0.6389,0.3611,4.50,-0.0136,-0.0178,2.98,3.95,1.36,1.78
2012-10,36,2009-11,2012-10,0.1300,-0.0395,3.29,False,0.0732,1.71,6.41,36,1.0000,23,13,False,0.6389,0.3611,4.34,-0.0136,-0.0178,2.98,3.95,1.36,1.78
2012-11,36,2009-12,2012-11,0.1235,-0.0395,3.12,False,0.0741,1.61,6.36,36,1.0000,22,14,False,0.6111,0.3889,3.94,-0.0136,-0.0178,2.98,3.95,1.36,1.78
