year,annual_return_calendar,eom_max_drawdown_intra_year,intramonth_max_drawdown_intra_year,trade_count,win_rate,profit_factor,active_months_count,active_months_share,annual_return_active,volatility_active_annualized,sharpe_active_annualized,sortino_active_annualized,cagr_active,insufficient_months,insufficient_active_months,insufficient_negative_months,insufficient_trades,volatility_annualized_year,sharpe_ratio_annualized_year,sortino_ratio_annualized_year,calmar_ratio_year,negative_months_in_year,months_in_year_available,is_ytd,positive_months_in_year,omega_ratio_year_target_0m,monthly_var_95_year,monthly_es_95_year,opening_cashflow_ccy
2008,0.1506,-0.0452,-0.0842,278,0.7302,1.22,12,1.0000,0.1506,0.1076,1.36,2.65,0.1506,false,false,false,false,0.1076,1.36,2.65,3.33,4,12,false,8,2.97,-0.0312,-0.0369,0.00
2009,0.1866,-0.0334,-0.0744,221,0.7557,1.37,12,1.0000,0.1866,0.0880,2.00,6.88,0.1866,false,false,false,false,0.0880,2.00,6.88,5.58,2,12,false,10,6.22,-0.0163,-0.0221,0.00
2010,0.2960,-0.0125,-0.0358,158,0.7975,2.25,12,1.0000,0.2960,0.0917,2.90,19.19,0.2960,false,false,false,false,0.0917,2.90,19.19,23.75,2,12,false,10,14.79,-0.0094,-0.0125,0.00
2011,0.0808,-0.0214,-0.0477,147,0.7075,1.26,12,1.0000,0.0808,0.0604,1.32,4.44,0.0808,false,false,false,false,0.0604,1.32,4.44,3.78,6,12,false,6,2.67,-0.0139,-0.0148,0.00
2012,-0.0015,-0.0395,-0.0492,53,0.6226,0.99,12,1.0000,-0.0015,0.0458,-0.01,-0.02,-0.0015,false,false,false,false,0.0458,-0.01,-0.02,-0.04,6,12,false,6,0.99,-0.0153,-0.0209,0.00
2013,0.0270,-0.0063,-0.0204,35,0.6571,1.36,12,1.0000,0.0270,0.0299,0.91,1.08,0.0270,false,false,false,false,0.0299,0.91,1.08,4.29,4,12,false,8,1.95,-0.0105,-0.0180,0.00
2014,0.0038,-0.0248,-0.0285,18,0.6111,1.11,8,0.6667,0.0038,0.0367,0.17,NaN,0.0057,false,false,true,false,0.0293,0.14,NaN,0.15,1,12,false,7,1.17,-0.0111,-0.0248,0.00
2015,0.2095,-0.0012,-0.0209,138,0.7681,1.82,12,1.0000,0.2095,0.0506,3.81,1746.08,0.2095,false,false,false,false,0.0506,3.81,1746.08,178.70,2,12,false,10,84.87,-0.0011,-0.0012,0.00
2016,0.1184,-0.0094,-0.0118,57,0.8246,2.48,12,1.0000,0.1184,0.0422,2.68,86.75,0.1184,false,false,false,false,0.0422,2.68,86.75,12.65,2,12,false,10,13.07,-0.0047,-0.0050,0.00
2017,0.0573,0.0000,-0.0265,28,0.7857,2.48,8,0.6667,0.0573,0.0344,2.45,NaN,0.0871,false,false,true,false,0.0300,1.88,NaN,inf,1,12,false,7,6.44,-0.0047,-0.0103,0.00
2018,0.0257,-0.0149,-0.0154,28,0.7500,1.58,8,0.6667,0.0257,0.0307,1.26,3.06,0.0388,false,false,false,false,0.0251,1.02,2.04,1.72,3,12,false,5,2.58,-0.0075,-0.0076,0.00
2019,0.0086,0.0000,-0.0022,6,0.6667,3.22,4,0.3333,0.0086,0.0066,3.90,NaN,0.0259,false,true,true,true,0.0050,1.71,NaN,inf,0,12,false,3,263.67,0.0000,0.0000,0.00
2020,0.1239,0.0000,-0.0414,65,0.8000,2.34,9,0.7500,0.1239,0.0695,2.28,NaN,0.1685,false,false,true,false,0.0628,1.90,NaN,inf,0,12,false,9,inf,0.0000,0.0000,0.00
2021,0.0115,-0.0028,-0.0028,5,0.8000,5.09,4,0.3333,0.0115,0.0143,2.40,NaN,0.0349,false,true,true,true,0.0089,1.28,NaN,4.12,1,12,false,3,5.11,-0.0013,-0.0028,0.00
2022,0.0660,-0.0221,-0.0320,103,0.7282,1.31,11,0.9167,0.0660,0.0474,1.50,2.09,0.0723,false,false,false,false,0.0455,1.43,1.91,2.98,4,12,false,7,2.99,-0.0143,-0.0221,0.00
2023,-0.0285,-0.0321,-0.0418,32,0.5938,0.72,11,0.9167,-0.0285,0.0296,-1.05,-4.19,-0.0310,false,false,false,false,0.0283,-1.01,-3.84,-0.89,6,12,false,5,0.51,-0.0111,-0.0115,0.00
2024,0.0210,-0.0053,-0.0102,16,0.6875,1.80,8,0.6667,0.0210,0.0178,1.76,35.35,0.0317,false,false,false,false,0.0149,1.40,23.57,3.95,2,12,false,6,3.04,-0.0051,-0.0053,0.00
2025,0.0269,-0.0355,-0.0369,55,0.7273,1.21,8,0.6667,0.0269,0.0548,0.75,1.60,0.0406,true,false,false,false,0.0548,0.75,1.60,0.76,3,8,true,5,1.66,-0.0188,-0.0209,0.00
