period_start_month,period_end_month,method,block_mean_length_months,n_paths,horizon_months,seed,risk_per_trade_pct,mc_policy,mc_cap_nav_ccy,mc_policy_apply,mc_policy_start_month,policy_total_cash_out_ccy_p05,policy_total_cash_out_ccy_p50,policy_total_cash_out_ccy_p95,policy_ending_nav_ccy_p05,policy_ending_nav_ccy_p50,policy_ending_nav_ccy_p95,policy_flow_aware_ending_value_ccy_p05,policy_flow_aware_ending_value_ccy_p50,policy_flow_aware_ending_value_ccy_p95,policy_flow_aware_multiple_p05,policy_flow_aware_multiple_p50,policy_flow_aware_multiple_p95,policy_prob_any_cashout,policy_avg_cashout_events,ending_nav_p05,ending_nav_p50,ending_nav_p95,wealth_multiple_p05,wealth_multiple_p50,wealth_multiple_p95,cagr_annualized_p05,cagr_annualized_p50,cagr_annualized_p95,max_drawdown_magnitude_p50,max_drawdown_magnitude_p95,max_drawdown_magnitude_p99,prob_negative_horizon_return,prob_maxdd_ge_5pc_eom,prob_maxdd_ge_7pc_eom,prob_maxdd_ge_10pc_eom,prob_maxdd_ge_20pc_eom,prob_maxdd_ge_30pc_eom,prob_maxdd_ge_5x_risk_eom,prob_maxdd_ge_7x_risk_eom,prob_maxdd_ge_10x_risk_eom,prob_no_breach_ge_5x_risk_eom,prob_no_breach_ge_7x_risk_eom,prob_no_breach_ge_10x_risk_eom,cond_es_maxdd_ge_5x_risk,cond_es_maxdd_ge_7x_risk,cond_es_maxdd_ge_10x_risk,mc_ttb_ge_5x_risk_p50,mc_ttb_ge_7x_risk_p50,mc_ttb_ge_10x_risk_p50,mc_maxdd_xrisk_p50,mc_maxdd_xrisk_p95,mc_maxdd_xrisk_p99
2008-01,2025-08,stationary_bootstrap,3,10000,12,42,0.0100,cap_nav,100000.00,yearly,1,0.00,0.00,0.00,99301.97,106751.07,121997.22,99301.97,106751.07,121997.22,0.9930,1.0675,1.2200,0.0,0.0,99301.97,106751.07,121997.22,0.99,1.07,1.22,-0.0070,0.0675,0.2200,0.0149,0.0452,0.0564,0.0771,0.0194,0.0019,0.0001,0.0000,0.0000,0.0194,0.0019,0.0001,0.9806,0.9981,0.9999,5.90,7.79,10.32,10,10,10,1.49,4.52,5.64
2008-01,2025-08,stationary_bootstrap,3,10000,36,42,0.0100,cap_nav,100000.00,yearly,1,2700.73,14448.52,34170.33,98859.54,106273.21,121042.64,106345.78,122167.36,146087.94,1.0635,1.2217,1.4609,0.9881,1.8368,106348.21,123435.94,152170.85,1.06,1.23,1.52,0.0207,0.0727,0.1502,0.0319,0.0586,0.0749,0.0054,0.0989,0.0161,0.0009,0.0000,0.0000,0.0989,0.0161,0.0009,0.9011,0.9839,0.9991,6.17,8.08,10.71,21,23,28,3.19,5.86,7.49
2008-01,2025-08,stationary_bootstrap,3,10000,212,42,0.0100,cap_nav,100000.00,yearly,1,90145.07,133606.75,185857.15,98375.32,103970.16,116088.24,194190.41,238579.72,291769.03,1.9419,2.3858,2.9177,1.0,15.5872,246070.75,368722.54,592519.43,2.46,3.69,5.93,0.0523,0.0767,0.1060,0.0498,0.0796,0.0986,0.0000,0.4938,0.1149,0.0081,0.0000,0.0000,0.4938,0.1149,0.0081,0.5062,0.8851,0.9919,6.37,8.16,11.08,95,109,126,4.98,7.96,9.86
2008-01,2025-08,stationary_bootstrap,4,10000,12,42,0.0100,cap_nav,100000.00,yearly,1,0.00,0.00,0.00,99284.15,106327.79,122097.79,99284.15,106327.79,122097.79,0.9928,1.0633,1.2210,0.0,0.0,99284.15,106327.79,122097.79,0.99,1.06,1.22,-0.0072,0.0633,0.2210,0.0148,0.0452,0.0534,0.0799,0.0151,0.0015,0.0000,0.0000,0.0000,0.0151,0.0015,0.0000,0.9849,0.9985,1.0000,5.80,7.50,NaN,10,9,NaN,1.48,4.52,5.34
2008-01,2025-08,stationary_bootstrap,4,10000,36,42,0.0100,cap_nav,100000.00,yearly,1,2497.65,14389.79,35485.39,99050.55,106195.96,121519.15,105623.69,122193.28,147136.38,1.0562,1.2219,1.4714,0.9846,1.834,105662.51,123429.94,153845.11,1.06,1.23,1.54,0.0185,0.0727,0.1544,0.0320,0.0548,0.0713,0.0059,0.0756,0.0115,0.0004,0.0000,0.0000,0.0756,0.0115,0.0004,0.9244,0.9885,0.9996,6.09,7.95,11.56,22,24,34,3.20,5.48,7.13
2008-01,2025-08,stationary_bootstrap,4,10000,212,42,0.0100,cap_nav,100000.00,yearly,1,87344.32,133546.06,187960.38,98482.75,103805.61,116699.71,191245.35,238815.08,293707.60,1.9125,2.3882,2.9371,1.0,15.5215,238939.39,368594.41,599064.98,2.39,3.69,5.99,0.0505,0.0766,0.1066,0.0477,0.0770,0.0933,0.0000,0.4355,0.0952,0.0059,0.0000,0.0000,0.4355,0.0952,0.0059,0.5645,0.9048,0.9941,6.31,8.06,11.06,97,118,127,4.77,7.70,9.33
2008-01,2025-08,stationary_bootstrap,5,10000,12,42,0.0100,cap_nav,100000.00,yearly,1,0.00,0.00,0.00,99110.80,106169.21,123113.46,99110.80,106169.21,123113.46,0.9911,1.0617,1.2311,0.0,0.0,99110.80,106169.21,123113.46,0.99,1.06,1.23,-0.0089,0.0617,0.2311,0.0143,0.0452,0.0525,0.0802,0.0126,0.0008,0.0001,0.0000,0.0000,0.0126,0.0008,0.0001,0.9874,0.9992,0.9999,5.88,8.29,11.23,9,10,12,1.43,4.52,5.25
2008-01,2025-08,stationary_bootstrap,5,10000,36,42,0.0100,cap_nav,100000.00,yearly,1,2390.94,13830.52,36002.67,98825.11,106009.40,122663.18,105624.71,121627.46,148310.19,1.0562,1.2163,1.4831,0.9861,1.825,105661.11,122842.42,155258.15,1.06,1.23,1.55,0.0185,0.0710,0.1579,0.0324,0.0530,0.0685,0.0057,0.0652,0.0089,0.0004,0.0000,0.0000,0.0652,0.0089,0.0004,0.9348,0.9911,0.9996,6.02,7.93,10.67,22,22,20,3.24,5.30,6.85
2008-01,2025-08,stationary_bootstrap,5,10000,212,42,0.0100,cap_nav,100000.00,yearly,1,85349.41,133896.11,189774.34,98424.61,103790.45,116651.17,189528.78,239093.74,295663.02,1.8953,2.3909,2.9566,1.0,15.4726,234959.29,368511.16,610905.01,2.35,3.69,6.11,0.0495,0.0766,0.1079,0.0463,0.0749,0.0897,0.0000,0.3990,0.0791,0.0030,0.0000,0.0000,0.3990,0.0791,0.0030,0.6010,0.9209,0.9970,6.23,7.99,11.12,100,116,80,4.63,7.49,8.97
2008-01,2025-08,stationary_bootstrap,6,10000,12,42,0.0100,cap_nav,100000.00,yearly,1,0.00,0.00,0.00,99147.61,105959.03,123062.10,99147.61,105959.03,123062.10,0.9915,1.0596,1.2306,0.0,0.0,99147.61,105959.03,123062.10,0.99,1.06,1.23,-0.0085,0.0596,0.2306,0.0148,0.0449,0.0510,0.0823,0.0111,0.0010,0.0000,0.0000,0.0000,0.0111,0.0010,0.0000,0.9889,0.9990,1.0000,5.84,7.33,NaN,9,10,NaN,1.48,4.49,5.10
