month,window_months,window_start_month,window_end_month,rolling_return_12m,rolling_volatility_annualized_12m,rolling_sharpe_annualized_12m,insufficient_months,rolling_max_drawdown_12m,rolling_calmar_12m,rolling_sortino_annualized_12m,active_months_count_12m,active_months_share_12m,positive_months_count_12m,negative_months_count_12m,insufficient_negative_months,positive_months_share_12m,negative_months_share_12m,rolling_omega_12m_target_0m,rolling_var_95_12m,rolling_es_95_12m,rolling_tail_ratio_p95_p5_12m,rolling_max_drawdown_12m_xrisk,rolling_var_95_12m_xrisk,rolling_es_95_12m_xrisk
2008-12,12,2008-01,2008-12,0.1506,0.1076,1.36,False,-0.0452,3.33,2.65,12,1.0000,8,4,False,0.6667,0.3333,2.97,-0.0312,-0.0369,2.08,4.52,3.12,3.69
2009-01,12,2008-02,2009-01,0.2184,0.1283,1.61,False,-0.0452,4.83,3.74,12,1.0000,8,4,False,0.6667,0.3333,3.77,-0.0312,-0.0369,2.37,4.52,3.12,3.69
2009-02,12,2008-03,2009-02,0.1961,0.1313,1.43,False,-0.0452,4.34,3.84,12,1.0000,7,5,False,0.5833,0.4167,3.19,-0.0312,-0.0369,2.37,4.52,3.12,3.69
2009-03,12,2008-04,2009-03,0.1726,0.1356,1.24,False,-0.0452,3.82,4.23,12,1.0000,7,5,False,0.5833,0.4167,2.59,-0.0312,-0.0369,2.37,4.52,3.12,3.69
2009-04,12,2008-05,2009-04,0.2312,0.1283,1.69,False,-0.0452,5.12,4.90,12,1.0000,8,4,False,0.6667,0.3333,3.74,-0.0287,-0.0369,2.57,4.52,2.87,3.69
2009-05,12,2008-06,2009-05,0.2525,0.1281,1.83,False,-0.0452,5.59,5.29,12,1.0000,8,4,False,0.6667,0.3333,3.96,-0.0287,-0.0369,2.57,4.52,2.87,3.69
2009-06,12,2008-07,2009-06,0.2502,0.1283,1.81,False,-0.0452,5.54,5.25,12,1.0000,8,4,False,0.6667,0.3333,3.94,-0.0287,-0.0369,2.57,4.52,2.87,3.69
2009-07,12,2008-08,2009-07,0.2484,0.1283,1.80,False,-0.0452,5.50,5.22,12,1.0000,8,4,False,0.6667,0.3333,3.92,-0.0287,-0.0369,2.57,4.52,2.87,3.69
2009-08,12,2008-09,2009-08,0.2260,0.1281,1.66,False,-0.0334,6.76,4.80,12,1.0000,8,4,False,0.6667,0.3333,3.69,-0.0287,-0.0369,2.57,3.34,2.87,3.69
2009-09,12,2008-10,2009-09,0.2768,0.1150,2.20,False,-0.0334,8.28,10.32,12,1.0000,9,3,False,0.7500,0.2500,6.98,-0.0163,-0.0220,4.53,3.34,1.63,2.20
2009-10,12,2008-11,2009-10,0.3168,0.1104,2.57,False,-0.0334,9.48,11.11,12,1.0000,10,2,False,0.8333,0.1667,9.43,-0.0163,-0.0220,4.53,3.34,1.63,2.20
