month,window_months,window_start_month,window_end_month,rolling_return_annualized_36m,rolling_max_drawdown_36m,rolling_calmar_36m,insufficient_months,rolling_volatility_annualized_36m,rolling_sharpe_annualized_36m,rolling_sortino_annualized_36m,active_months_count_36m,active_months_share_36m,positive_months_count_36m,negative_months_count_36m,insufficient_negative_months,positive_months_share_36m,negative_months_share_36m,rolling_omega_36m_target_0m,rolling_var_95_36m,rolling_es_95_36m,rolling_tail_ratio_p95_p5_36m,rolling_max_drawdown_36m_xrisk,rolling_var_95_36m_xrisk,rolling_es_95_36m_xrisk
2010-12,36,2008-01,2010-12,0.2106,-0.0452,4.66,False,0.0948,2.08,4.89,36,1.0000,28,8,False,0.7778,0.2222,5.64,-0.0232,-0.0317,3.06,4.52,2.32,3.17
2011-01,36,2008-02,2011-01,0.2186,-0.0452,4.84,False,0.0959,2.12,5.06,36,1.0000,28,8,False,0.7778,0.2222,5.80,-0.0232,-0.0317,3.06,4.52,2.32,3.17
2011-02,36,2008-03,2011-02,0.2144,-0.0452,4.75,False,0.0965,2.07,4.98,36,1.0000,27,9,False,0.7500,0.2500,5.59,-0.0232,-0.0317,3.06,4.52,2.32,3.17
2011-03,36,2008-04,2011-03,0.2218,-0.0452,4.91,False,0.0958,2.15,5.22,36,1.0000,28,8,False,0.7778,0.2222,5.82,-0.0232,-0.0317,3.06,4.52,2.32,3.17
2011-04,36,2008-05,2011-04,0.2274,-0.0452,5.03,False,0.0940,2.24,5.73,36,1.0000,28,8,False,0.7778,0.2222,6.50,-0.0153,-0.0295,4.63,4.52,1.53,2.95
2011-05,36,2008-06,2011-05,0.2206,-0.0452,4.88,False,0.0950,2.16,5.83,36,1.0000,27,9,False,0.7500,0.2500,6.01,-0.0153,-0.0295,4.63,4.52,1.53,2.95
2011-06,36,2008-07,2011-06,0.2254,-0.0452,4.99,False,0.0949,2.20,5.94,36,1.0000,27,9,False,0.7500,0.2500,6.11,-0.0153,-0.0295,4.63,4.52,1.53,2.95
2011-07,36,2008-08,2011-07,0.2266,-0.0452,5.02,False,0.0949,2.22,5.97,36,1.0000,27,9,False,0.7500,0.2500,6.13,-0.0153,-0.0295,4.63,4.52,1.53,2.95
2011-08,36,2008-09,2011-08,0.2142,-0.0334,6.41,False,0.0953,2.10,5.59,36,1.0000,26,10,False,0.7222,0.2778,5.82,-0.0153,-0.0295,4.63,3.34,1.53,2.95
2011-09,36,2008-10,2011-09,0.2236,-0.0334,6.69,False,0.0917,2.26,10.17,36,1.0000,26,10,False,0.7222,0.2778,7.12,-0.0134,-0.0182,5.29,3.34,1.34,1.82
2011-10,36,2008-11,2011-10,0.2371,-0.0334,7.10,False,0.0905,2.41,10.15,36,1.0000,27,9,False,0.7500,0.2500,8.04,-0.0134,-0.0182,5.29,3.34,1.34,1.82
2011-11,36,2008-12,2011-11,0.2101,-0.0334,6.29,False,0.0874,2.24,9.28,36,1.0000,26,10,False,0.7222,0.2778,6.98,-0.0134,-0.0182,5.29,3.34,1.34,1.82
2011-12,36,2009-01,2011-12,0.1873,-0.0334,5.60,False,0.0822,2.14,8.34,36,1.0000,26,10,False,0.7222,0.2778,6.38,-0.0134,-0.0182,3.90,3.34,1.34,1.82
2012-01,36,2009-02,2012-01,0.1568,-0.0220,7.11,False,0.0721,2.07,7.06,36,1.0000,26,10,False,0.7222,0.2778,5.55,-0.0134,-0.0182,3.05,2.20,1.34,1.82
2012-02,36,2009-03,2012-02,0.1687,-0.0208,8.10,False,0.0707,2.25,7.15,36,1.0000,27,9,False,0.7500,0.2500,6.52,-0.0134,-0.0182,3.05,2.08,1.34,1.82
2012-03,36,2009-04,2012-03,0.1740,-0.0208,8.35,False,0.0689,2.38,10.65,36,1.0000,27,9,False,0.7500,0.2500,7.69,-0.0126,-0.0137,3.25,2.08,1.26,1.37
2012-04,36,2009-05,2012-04,0.1664,-0.0208,7.99,False,0.0690,2.28,10.23,36,1.0000,27,9,False,0.7500,0.2500,7.42,-0.0126,-0.0137,3.25,2.08,1.26,1.37
2012-05,36,2009-06,2012-05,0.1557,-0.0208,7.47,False,0.0690,2.14,9.14,36,1.0000,26,10,False,0.7222,0.2778,6.91,-0.0126,-0.0137,3.25,2.08,1.26,1.37
