period_start_month,period_end_month,method,block_mean_length_months,n_paths,horizon_months,seed,risk_per_trade_pct,ending_nav_p05,ending_nav_p50,ending_nav_p95,wealth_multiple_p05,wealth_multiple_p50,wealth_multiple_p95,cagr_annualized_p05,cagr_annualized_p50,cagr_annualized_p95,max_drawdown_magnitude_p50,max_drawdown_magnitude_p95,max_drawdown_magnitude_p99,prob_negative_horizon_return,prob_maxdd_ge_5pc_eom,prob_maxdd_ge_7pc_eom,prob_maxdd_ge_10pc_eom,prob_maxdd_ge_20pc_eom,prob_maxdd_ge_30pc_eom,prob_maxdd_ge_5x_risk_eom,prob_maxdd_ge_7x_risk_eom,prob_maxdd_ge_10x_risk_eom,prob_no_breach_ge_5x_risk_eom,prob_no_breach_ge_7x_risk_eom,prob_no_breach_ge_10x_risk_eom,cond_es_maxdd_ge_5x_risk,cond_es_maxdd_ge_7x_risk,cond_es_maxdd_ge_10x_risk,mc_ttb_ge_5x_risk_p50,mc_ttb_ge_7x_risk_p50,mc_ttb_ge_10x_risk_p50,mc_maxdd_xrisk_p50,mc_maxdd_xrisk_p95,mc_maxdd_xrisk_p99
2008-01,2025-08,stationary_bootstrap,3,10000,12,42,0.0100,98840.59,106088.32,120401.64,0.99,1.06,1.20,-0.0116,0.0609,0.2040,0.0161,0.0520,0.0608,0.0981,0.0540,0.0039,0.0001,0.0000,0.0000,0.0540,0.0039,0.0001,0.9460,0.9961,0.9999,5.64,7.91,11.16,8,10,10,1.61,5.20,6.08
2008-01,2025-08,stationary_bootstrap,3,10000,36,42,0.0100,104691.51,120951.90,147944.24,1.05,1.21,1.48,0.0154,0.0655,0.1395,0.0340,0.0637,0.0830,0.0105,0.1945,0.0311,0.0027,0.0000,0.0000,0.1945,0.0311,0.0027,0.8055,0.9689,0.9973,6.01,8.18,10.90,20,24,22,3.40,6.37,8.30
2008-01,2025-08,stationary_bootstrap,3,10000,212,42,0.0100,220938.58,326510.58,511898.47,2.21,3.27,5.12,0.0459,0.0693,0.0968,0.0547,0.0879,0.1085,0.0000,0.7561,0.1971,0.0223,0.0000,0.0000,0.7561,0.1971,0.0223,0.2439,0.8029,0.9777,6.41,8.34,11.13,75,106,121,5.47,8.79,10.85
2008-01,2025-08,stationary_bootstrap,4,10000,12,42,0.0100,98821.03,105663.93,120419.35,0.99,1.06,1.20,-0.0118,0.0566,0.2042,0.0161,0.0520,0.0583,0.0984,0.0528,0.0024,0.0000,0.0000,0.0000,0.0528,0.0024,0.0000,0.9472,0.9976,1.0000,5.52,7.83,NaN,8,10,NaN,1.61,5.20,5.83
2008-01,2025-08,stationary_bootstrap,4,10000,36,42,0.0100,104145.13,120994.42,149120.84,1.04,1.21,1.49,0.0136,0.0656,0.1425,0.0340,0.0603,0.0780,0.0106,0.1903,0.0226,0.0015,0.0000,0.0000,0.1903,0.0226,0.0015,0.8097,0.9774,0.9985,5.81,8.06,11.10,20,25,34,3.40,6.03,7.80
2008-01,2025-08,stationary_bootstrap,4,10000,212,42,0.0100,215168.22,325973.89,518144.24,2.15,3.26,5.18,0.0443,0.0692,0.0976,0.0526,0.0851,0.1040,0.0000,0.7589,0.1657,0.0140,0.0000,0.0000,0.7589,0.1657,0.0140,0.2411,0.8343,0.9860,6.22,8.25,11.24,76,112,125,5.26,8.51,10.40
2008-01,2025-08,stationary_bootstrap,5,10000,12,42,0.0100,98668.71,105536.36,121309.17,0.99,1.06,1.21,-0.0133,0.0554,0.2131,0.0155,0.0500,0.0571,0.0987,0.0499,0.0023,0.0001,0.0000,0.0000,0.0499,0.0023,0.0001,0.9501,0.9977,0.9999,5.51,7.93,12.06,8,10,12,1.55,5.00,5.71
2008-01,2025-08,stationary_bootstrap,5,10000,36,42,0.0100,104156.37,120393.68,150742.15,1.04,1.20,1.51,0.0137,0.0638,0.1466,0.0340,0.0580,0.0753,0.0104,0.1829,0.0164,0.0012,0.0000,0.0000,0.1829,0.0164,0.0012,0.8171,0.9836,0.9988,5.70,8.08,10.79,19,23,23,3.40,5.80,7.53
2008-01,2025-08,stationary_bootstrap,5,10000,212,42,0.0100,211679.18,325526.46,527464.57,2.12,3.26,5.27,0.0434,0.0691,0.0987,0.0520,0.0826,0.0999,0.0000,0.7452,0.1410,0.0100,0.0000,0.0000,0.7452,0.1410,0.0100,0.2548,0.8590,0.9900,6.10,8.18,11.03,74,114,106,5.20,8.26,9.99
2008-01,2025-08,stationary_bootstrap,6,10000,12,42,0.0100,98742.92,105277.93,121282.73,0.99,1.05,1.21,-0.0126,0.0528,0.2128,0.0155,0.0476,0.0556,0.1016,0.0466,0.0018,0.0000,0.0000,0.0000,0.0466,0.0018,0.0000,0.9534,0.9982,1.0000,5.47,7.66,NaN,8,10,NaN,1.55,4.76,5.56
2008-01,2025-08,stationary_bootstrap,6,10000,36,42,0.0100,103753.29,120400.42,151059.72,1.04,1.20,1.51,0.0124,0.0638,0.1474,0.0340,0.0572,0.0749,0.0131,0.1845,0.0159,0.0008,0.0000,0.0000,0.1845,0.0159,0.0008,0.8155,0.9841,0.9992,5.66,7.99,10.68,20,24,26,3.40,5.72,7.49
2008-01,2025-08,stationary_bootstrap,6,10000,212,42,0.0100,209706.41,323802.64,538297.15,2.10,3.24,5.38,0.0428,0.0688,0.1000,0.0520,0.0810,0.0988,0.0000,0.7404,0.1238,0.0086,0.0000,0.0000,0.7404,0.1238,0.0086,0.2596,0.8762,0.9914,6.01,8.16,10.88,78,114,121,5.20,8.10,9.88
2008-01,2025-08,stationary_bootstrap,7,10000,12,42,0.0100,98626.79,105263.17,121706.26,0.99,1.05,1.22,-0.0137,0.0526,0.2171,0.0154,0.0474,0.0536,0.1047,0.0461,0.0016,0.0002,0.0000,0.0000,0.0461,0.0016,0.0002,0.9539,0.9984,0.9998,5.45,8.06,10.25,8,10,10,1.54,4.74,5.36
2008-01,2025-08,stationary_bootstrap,7,10000,36,42,0.0100,103798.69,120360.39,151300.05,1.04,1.20,1.51,0.0125,0.0637,0.1480,0.0339,0.0557,0.0733,0.0129,0.1861,0.0126,0.0006,0.0000,0.0000,0.1861,0.0126,0.0006,0.8139,0.9874,0.9994,5.59,7.95,10.27,20,24,29,3.39,5.57,7.33
2008-01,2025-08,stationary_bootstrap,7,10000,212,42,0.0100,206806.48,324487.94,546156.95,2.07,3.24,5.46,0.0420,0.0689,0.1009,0.0520,0.0780,0.0937,0.0000,0.7345,0.1047,0.0056,0.0000,0.0000,0.7345,0.1047,0.0056,0.2655,0.8953,0.9944,5.92,8.07,10.89,76,110,118,5.20,7.80,9.37
2008-01,2025-08,stationary_bootstrap,8,10000,12,42,0.0100,98690.65,105192.27,121959.17,0.99,1.05,1.22,-0.0131,0.0519,0.2196,0.0155,0.0500,0.0531,0.1023,0.0500,0.0017,0.0000,0.0000,0.0000,0.0500,0.0017,0.0000,0.9500,0.9983,1.0000,5.41,7.75,NaN,8,11,NaN,1.55,5.00,5.31
