month,window_months,window_start_month,window_end_month,rolling_return_12m,rolling_volatility_annualized_12m,rolling_sharpe_annualized_12m,insufficient_months,rolling_max_drawdown_12m,rolling_calmar_12m,rolling_sortino_annualized_12m,active_months_count_12m,active_months_share_12m,positive_months_count_12m,negative_months_count_12m,insufficient_negative_months,positive_months_share_12m,negative_months_share_12m,rolling_omega_12m_target_0m,rolling_var_95_12m,rolling_es_95_12m,rolling_tail_ratio_p95_p5_12m,rolling_max_drawdown_12m_xrisk,rolling_var_95_12m_xrisk,rolling_es_95_12m_xrisk
2008-12,12,2008-01,2008-12,0.1334,0.1072,1.22,False,-0.0520,2.56,2.39,12,1.0000,8,4,False,0.6667,0.3333,2.58,-0.0326,-0.0392,1.91,5.20,3.26,3.92
2009-01,12,2008-02,2009-01,0.1964,0.1266,1.48,False,-0.0520,3.77,3.43,12,1.0000,8,4,False,0.6667,0.3333,3.27,-0.0326,-0.0392,2.17,5.20,3.26,3.92
2009-02,12,2008-03,2009-02,0.1724,0.1297,1.29,False,-0.0520,3.31,3.44,12,1.0000,7,5,False,0.5833,0.4167,2.74,-0.0326,-0.0392,2.17,5.20,3.26,3.92
2009-03,12,2008-04,2009-03,0.1476,0.1343,1.09,False,-0.0520,2.84,3.94,12,1.0000,7,5,False,0.5833,0.4167,2.25,-0.0326,-0.0392,2.17,5.20,3.26,3.92
2009-04,12,2008-05,2009-04,0.2044,0.1274,1.53,False,-0.0520,3.93,4.63,12,1.0000,8,4,False,0.6667,0.3333,3.16,-0.0308,-0.0392,2.29,5.20,3.08,3.92
2009-05,12,2008-06,2009-05,0.2245,0.1274,1.66,False,-0.0520,4.31,5.02,12,1.0000,8,4,False,0.6667,0.3333,3.35,-0.0308,-0.0392,2.29,5.20,3.08,3.92
2009-06,12,2008-07,2009-06,0.2216,0.1276,1.64,False,-0.0520,4.26,4.97,12,1.0000,8,4,False,0.6667,0.3333,3.32,-0.0308,-0.0392,2.29,5.20,3.08,3.92
2009-07,12,2008-08,2009-07,0.2196,0.1277,1.63,False,-0.0520,4.22,4.93,12,1.0000,8,4,False,0.6667,0.3333,3.30,-0.0308,-0.0392,2.29,5.20,3.08,3.92
2009-08,12,2008-09,2009-08,0.1979,0.1271,1.49,False,-0.0373,5.31,4.49,12,1.0000,8,4,False,0.6667,0.3333,3.10,-0.0308,-0.0392,2.29,3.73,3.08,3.92
2009-09,12,2008-10,2009-09,0.2499,0.1136,2.03,False,-0.0373,6.70,10.96,12,1.0000,9,3,False,0.7500,0.2500,5.53,-0.0183,-0.0240,3.86,3.73,1.83,2.40
2009-10,12,2008-11,2009-10,0.2948,0.1079,2.47,False,-0.0373,7.91,10.41,12,1.0000,10,2,False,0.8333,0.1667,8.08,-0.0183,-0.0240,3.86,3.73,1.83,2.40
2009-11,12,2008-12,2009-11,0.2306,0.1001,2.14,False,-0.0373,6.19,8.36,12,1.0000,10,2,False,0.8333,0.1667,6.69,-0.0183,-0.0240,3.86,3.73,1.83,2.40
2009-12,12,2009-01,2009-12,0.1720,0.0863,1.89,False,-0.0373,4.61,6.37,12,1.0000,10,2,False,0.8333,0.1667,5.34,-0.0183,-0.0240,2.70,3.73,1.83,2.40
