month,window_months,window_start_month,window_end_month,rolling_return_annualized_36m,rolling_max_drawdown_36m,rolling_calmar_36m,insufficient_months,rolling_volatility_annualized_36m,rolling_sharpe_annualized_36m,rolling_sortino_annualized_36m,active_months_count_36m,active_months_share_36m,positive_months_count_36m,negative_months_count_36m,insufficient_negative_months,positive_months_share_36m,negative_months_share_36m,rolling_omega_36m_target_0m,rolling_var_95_36m,rolling_es_95_36m,rolling_tail_ratio_p95_p5_36m,rolling_max_drawdown_36m_xrisk,rolling_var_95_36m_xrisk,rolling_es_95_36m_xrisk
2010-12,36,2008-01,2010-12,0.1948,-0.0520,3.74,False,0.0932,1.97,4.48,36,1.0000,28,8,False,0.7778,0.2222,4.92,-0.0248,-0.0332,2.73,5.20,2.48,3.32
2011-01,36,2008-02,2011-01,0.2025,-0.0520,3.89,False,0.0944,2.01,4.64,36,1.0000,28,8,False,0.7778,0.2222,5.06,-0.0248,-0.0332,2.73,5.20,2.48,3.32
2011-02,36,2008-03,2011-02,0.1982,-0.0520,3.81,False,0.0949,1.96,4.51,36,1.0000,27,9,False,0.7500,0.2500,4.87,-0.0248,-0.0332,2.73,5.20,2.48,3.32
2011-03,36,2008-04,2011-03,0.2055,-0.0520,3.95,False,0.0943,2.04,4.78,36,1.0000,28,8,False,0.7778,0.2222,5.08,-0.0248,-0.0332,2.73,5.20,2.48,3.32
2011-04,36,2008-05,2011-04,0.2111,-0.0520,4.06,False,0.0925,2.13,5.16,36,1.0000,28,8,False,0.7778,0.2222,5.63,-0.0162,-0.0316,4.19,5.20,1.62,3.16
2011-05,36,2008-06,2011-05,0.2039,-0.0520,3.92,False,0.0935,2.04,5.23,36,1.0000,27,9,False,0.7500,0.2500,5.19,-0.0162,-0.0316,4.19,5.20,1.62,3.16
2011-06,36,2008-07,2011-06,0.2084,-0.0520,4.00,False,0.0935,2.09,5.33,36,1.0000,27,9,False,0.7500,0.2500,5.27,-0.0162,-0.0316,4.19,5.20,1.62,3.16
2011-07,36,2008-08,2011-07,0.2091,-0.0520,4.02,False,0.0935,2.09,5.35,36,1.0000,27,9,False,0.7500,0.2500,5.29,-0.0162,-0.0316,4.19,5.20,1.62,3.16
2011-08,36,2008-09,2011-08,0.1964,-0.0373,5.27,False,0.0938,1.97,5.00,36,1.0000,26,10,False,0.7222,0.2778,4.96,-0.0162,-0.0316,4.19,3.73,1.62,3.16
2011-09,36,2008-10,2011-09,0.2060,-0.0373,5.53,False,0.0900,2.14,9.04,36,1.0000,26,10,False,0.7222,0.2778,5.96,-0.0142,-0.0200,4.79,3.73,1.42,2.00
2011-10,36,2008-11,2011-10,0.2206,-0.0373,5.92,False,0.0884,2.32,9.10,36,1.0000,27,9,False,0.7500,0.2500,6.95,-0.0142,-0.0200,4.79,3.73,1.42,2.00
2011-11,36,2008-12,2011-11,0.1944,-0.0373,5.21,False,0.0855,2.13,8.34,36,1.0000,26,10,False,0.7222,0.2778,5.99,-0.0142,-0.0200,4.79,3.73,1.42,2.00
2011-12,36,2009-01,2011-12,0.1727,-0.0373,4.63,False,0.0805,2.03,7.47,36,1.0000,26,10,False,0.7222,0.2778,5.47,-0.0142,-0.0200,3.57,3.73,1.42,2.00
2012-01,36,2009-02,2012-01,0.1438,-0.0240,5.98,False,0.0711,1.93,6.29,36,1.0000,26,10,False,0.7222,0.2778,4.76,-0.0142,-0.0200,2.79,2.40,1.42,2.00
2012-02,36,2009-03,2012-02,0.1559,-0.0225,6.94,False,0.0696,2.13,6.45,36,1.0000,27,9,False,0.7500,0.2500,5.62,-0.0140,-0.0200,2.81,2.25,1.40,2.00
2012-03,36,2009-04,2012-03,0.1618,-0.0225,7.20,False,0.0674,2.27,10.17,36,1.0000,27,9,False,0.7500,0.2500,6.65,-0.0130,-0.0147,3.04,2.25,1.30,1.47
2012-04,36,2009-05,2012-04,0.1546,-0.0225,6.88,False,0.0675,2.17,9.75,36,1.0000,27,9,False,0.7500,0.2500,6.42,-0.0130,-0.0147,3.04,2.25,1.30,1.47
2012-05,36,2009-06,2012-05,0.1442,-0.0225,6.41,False,0.0675,2.04,8.49,36,1.0000,26,10,False,0.7222,0.2778,5.97,-0.0130,-0.0147,3.04,2.25,1.30,1.47
2012-06,36,2009-07,2012-06,0.1336,-0.0301,4.44,False,0.0701,1.83,6.27,36,1.0000,25,11,False,0.6944,0.3056,4.69,-0.0140,-0.0186,2.81,3.01,1.40,1.86
2012-07,36,2009-08,2012-07,0.1247,-0.0409,3.05,False,0.0712,1.69,6.14,36,1.0000,24,12,False,0.6667,0.3333,4.13,-0.0140,-0.0186,2.81,4.09,1.40,1.86
2012-08,36,2009-09,2012-08,0.1310,-0.0409,3.21,False,0.0719,1.75,6.43,36,1.0000,24,12,False,0.6667,0.3333,4.28,-0.0140,-0.0186,2.81,4.09,1.40,1.86
2012-09,36,2009-10,2012-09,0.1286,-0.0409,3.15,False,0.0722,1.72,6.32,36,1.0000,23,13,False,0.6389,0.3611,4.12,-0.0140,-0.0186,2.81,4.09,1.40,1.86
2012-10,36,2009-11,2012-10,0.1220,-0.0409,2.99,False,0.0720,1.64,6.02,36,1.0000,23,13,False,0.6389,0.3611,3.97,-0.0140,-0.0186,2.81,4.09,1.40,1.86
2012-11,36,2009-12,2012-11,0.1155,-0.0409,2.83,False,0.0728,1.54,5.96,36,1.0000,22,14,False,0.6111,0.3889,3.62,-0.0140,-0.0186,2.81,4.09,1.40,1.86
2012-12,36,2010-01,2012-12,0.1105,-0.0409,2.71,False,0.0730,1.48,5.72,36,1.0000,22,14,False,0.6111,0.3889,3.51,-0.0140,-0.0186,2.81,4.09,1.40,1.86
2013-01,36,2010-02,2013-01,0.0929,-0.0409,2.27,False,0.0735,1.25,4.62,36,1.0000,21,15,False,0.5833,0.4167,2.87,-0.0164,-0.0197,2.40,4.09,1.64,1.97
2013-02,36,2010-03,2013-02,0.0915,-0.0409,2.24,False,0.0736,1.23,4.55,36,1.0000,21,15,False,0.5833,0.4167,2.85,-0.0164,-0.0197,2.40,4.09,1.64,1.97
2013-03,36,2010-04,2013-03,0.0871,-0.0409,2.13,False,0.0732,1.18,4.35,36,1.0000,21,15,False,0.5833,0.4167,2.76,-0.0164,-0.0197,2.40,4.09,1.64,1.97
2013-04,36,2010-05,2013-04,0.0953,-0.0409,2.33,False,0.0728,1.29,4.59,36,1.0000,22,14,False,0.6111,0.3889,3.02,-0.0164,-0.0197,2.40,4.09,1.64,1.97
2013-05,36,2010-06,2013-05,0.0652,-0.0409,1.59,False,0.0571,1.14,3.13,36,1.0000,21,15,False,0.5833,0.4167,2.37,-0.0164,-0.0197,2.19,4.09,1.64,1.97
2013-06,36,2010-07,2013-06,0.0503,-0.0409,1.23,False,0.0537,0.94,2.46,36,1.0000,20,16,False,0.5556,0.4444,2.04,-0.0164,-0.0197,1.86,4.09,1.64,1.97
2013-07,36,2010-08,2013-07,0.0467,-0.0409,1.14,False,0.0530,0.89,2.29,36,1.0000,20,16,False,0.5556,0.4444,1.96,-0.0164,-0.0197,1.86,4.09,1.64,1.97
2013-08,36,2010-09,2013-08,0.0518,-0.0409,1.27,False,0.0521,1.00,2.47,36,1.0000,21,15,False,0.5833,0.4167,2.17,-0.0164,-0.0197,1.86,4.09,1.64,1.97
2013-09,36,2010-10,2013-09,0.0530,-0.0409,1.30,False,0.0521,1.02,2.52,36,1.0000,21,15,False,0.5833,0.4167,2.19,-0.0164,-0.0197,1.86,4.09,1.64,1.97
2013-10,36,2010-11,2013-10,0.0428,-0.0409,1.05,False,0.0488,0.88,2.05,36,1.0000,21,15,False,0.5833,0.4167,1.97,-0.0164,-0.0197,1.72,4.09,1.64,1.97
2013-11,36,2010-12,2013-11,0.0416,-0.0409,1.02,False,0.0487,0.86,2.00,36,1.0000,21,15,False,0.5833,0.4167,1.94,-0.0164,-0.0197,1.72,4.09,1.64,1.97
2013-12,36,2011-01,2013-12,0.0301,-0.0409,0.74,False,0.0465,0.66,1.49,36,1.0000,20,16,False,0.5556,0.4444,1.67,-0.0164,-0.0197,1.47,4.09,1.64,1.97
2014-01,36,2011-02,2014-01,0.0183,-0.0409,0.45,False,0.0405,0.47,0.92,36,1.0000,20,16,False,0.5556,0.4444,1.41,-0.0164,-0.0197,1.25,4.09,1.64,1.97
2014-02,36,2011-03,2014-02,0.0199,-0.0409,0.49,False,0.0404,0.51,0.98,36,1.0000,21,15,False,0.5833,0.4167,1.46,-0.0164,-0.0197,1.25,4.09,1.64,1.97
2014-03,36,2011-04,2014-03,0.0158,-0.0409,0.39,False,0.0396,0.42,0.78,36,1.0000,21,15,False,0.5833,0.4167,1.37,-0.0164,-0.0197,1.25,4.09,1.64,1.97
2014-04,36,2011-05,2014-04,0.0204,-0.0409,0.50,False,0.0386,0.54,0.98,35,0.9722,21,14,False,0.5833,0.3889,1.52,-0.0164,-0.0197,1.25,4.09,1.64,1.97
2014-05,36,2011-06,2014-05,0.0235,-0.0409,0.58,False,0.0381,0.63,1.08,34,0.9444,21,13,False,0.5833,0.3611,1.64,-0.0164,-0.0197,1.25,4.09,1.64,1.97
2014-06,36,2011-07,2014-06,0.0201,-0.0409,0.49,False,0.0369,0.56,0.93,34,0.9444,21,13,False,0.5833,0.3611,1.55,-0.0164,-0.0197,1.18,4.09,1.64,1.97
2014-07,36,2011-08,2014-07,0.0146,-0.0409,0.36,False,0.0358,0.42,0.68,33,0.9167,20,13,False,0.5556,0.3611,1.41,-0.0164,-0.0197,1.18,4.09,1.64,1.97
2014-08,36,2011-09,2014-08,0.0156,-0.0409,0.38,False,0.0357,0.45,0.72,32,0.8889,20,12,False,0.5556,0.3333,1.45,-0.0164,-0.0197,1.18,4.09,1.64,1.97
2014-09,36,2011-10,2014-09,0.0214,-0.0409,0.52,False,0.0343,0.63,0.99,32,0.8889,21,11,False,0.5833,0.3056,1.70,-0.0129,-0.0197,1.51,4.09,1.29,1.97
2014-10,36,2011-11,2014-10,0.0051,-0.0409,0.12,False,0.0353,0.16,0.21,32,0.8889,20,12,False,0.5556,0.3333,1.14,-0.0189,-0.0232,0.85,4.09,1.89,2.32
2014-11,36,2011-12,2014-11,0.0089,-0.0409,0.22,False,0.0351,0.27,0.34,32,0.8889,21,11,False,0.5833,0.3056,1.26,-0.0189,-0.0232,0.85,4.09,1.89,2.32
2014-12,36,2012-01,2014-12,0.0076,-0.0409,0.18,False,0.0349,0.23,0.29,32,0.8889,21,11,False,0.5833,0.3056,1.22,-0.0189,-0.0232,0.85,4.09,1.89,2.32
2015-01,36,2012-02,2015-01,0.0145,-0.0409,0.35,False,0.0369,0.41,0.54,32,0.8889,21,11,False,0.5833,0.3056,1.41,-0.0189,-0.0232,1.00,4.09,1.89,2.32
2015-02,36,2012-03,2015-02,0.0161,-0.0340,0.47,False,0.0377,0.44,0.60,32,0.8889,21,11,False,0.5833,0.3056,1.45,-0.0189,-0.0232,1.14,3.40,1.89,2.32
2015-03,36,2012-04,2015-03,0.0351,-0.0340,1.03,False,0.0457,0.78,1.21,32,0.8889,22,10,False,0.6111,0.2778,2.04,-0.0189,-0.0232,1.28,3.40,1.89,2.32
2015-04,36,2012-05,2015-04,0.0335,-0.0322,1.04,False,0.0458,0.74,1.17,32,0.8889,21,11,False,0.5833,0.3056,1.98,-0.0189,-0.0232,1.28,3.22,1.89,2.32
2015-05,36,2012-06,2015-05,0.0377,-0.0274,1.38,False,0.0459,0.83,1.31,32,0.8889,22,10,False,0.6111,0.2778,2.11,-0.0189,-0.0232,1.28,2.74,1.89,2.32
2015-06,36,2012-07,2015-06,0.0556,-0.0274,2.03,False,0.0461,1.20,2.01,32,0.8889,23,9,False,0.6389,0.2500,3.04,-0.0129,-0.0216,2.22,2.74,1.29,2.16
2015-07,36,2012-08,2015-07,0.0652,-0.0274,2.38,False,0.0456,1.41,2.20,32,0.8889,24,8,False,0.6667,0.2222,3.75,-0.0117,-0.0216,2.43,2.74,1.17,2.16
2015-08,36,2012-09,2015-08,0.0617,-0.0274,2.25,False,0.0442,1.38,2.08,32,0.8889,24,8,False,0.6667,0.2222,3.60,-0.0117,-0.0216,2.12,2.74,1.17,2.16
2015-09,36,2012-10,2015-09,0.0637,-0.0274,2.32,False,0.0439,1.43,2.05,32,0.8889,25,7,False,0.6944,0.1944,3.83,-0.0117,-0.0216,2.12,2.74,1.17,2.16
2015-10,36,2012-11,2015-10,0.0667,-0.0251,2.65,False,0.0441,1.49,2.14,32,0.8889,25,7,False,0.6944,0.1944,3.96,-0.0117,-0.0216,2.12,2.51,1.17,2.16
2015-11,36,2012-12,2015-11,0.0724,-0.0251,2.88,False,0.0432,1.64,2.12,32,0.8889,26,6,False,0.7222,0.1667,4.74,-0.0079,-0.0216,3.15,2.51,0.79,2.16
2015-12,36,2013-01,2015-12,0.0719,-0.0251,2.86,False,0.0433,1.63,2.18,32,0.8889,25,7,False,0.6944,0.1944,4.62,-0.0079,-0.0216,3.15,2.51,0.79,2.16
2016-01,36,2013-02,2016-01,0.0814,-0.0251,3.24,False,0.0409,1.94,2.52,32,0.8889,26,6,False,0.7222,0.1667,6.92,-0.0042,-0.0148,5.98,2.51,0.42,1.48
2016-02,36,2013-03,2016-02,0.0861,-0.0251,3.43,False,0.0413,2.03,2.66,32,0.8889,26,6,False,0.7222,0.1667,7.24,-0.0042,-0.0148,5.98,2.51,0.42,1.48
2016-03,36,2013-04,2016-03,0.0889,-0.0251,3.54,False,0.0416,2.07,2.74,32,0.8889,26,6,False,0.7222,0.1667,7.44,-0.0042,-0.0148,5.98,2.51,0.42,1.48
2016-04,36,2013-05,2016-04,0.0873,-0.0251,3.47,False,0.0414,2.05,2.69,32,0.8889,26,6,False,0.7222,0.1667,7.32,-0.0042,-0.0148,5.98,2.51,0.42,1.48
2016-05,36,2013-06,2016-05,0.0901,-0.0251,3.59,False,0.0410,2.13,2.54,32,0.8889,27,5,False,0.7500,0.1389,7.99,-0.0042,-0.0148,5.98,2.51,0.42,1.48
2016-06,36,2013-07,2016-06,0.1055,-0.0251,4.20,False,0.0443,2.30,2.61,32,0.8889,28,4,False,0.7778,0.1111,10.11,-0.0030,-0.0148,10.95,2.51,0.30,1.48
2016-07,36,2013-08,2016-07,0.1002,-0.0251,3.99,False,0.0449,2.15,2.84,32,0.8889,27,5,False,0.7500,0.1389,8.53,-0.0046,-0.0151,6.98,2.51,0.46,1.51
2016-08,36,2013-09,2016-08,0.0978,-0.0251,3.90,False,0.0454,2.09,3.08,32,0.8889,26,6,False,0.7222,0.1667,7.57,-0.0048,-0.0151,6.80,2.51,0.48,1.51
2016-09,36,2013-10,2016-09,0.0978,-0.0251,3.89,False,0.0454,2.08,3.07,32,0.8889,26,6,False,0.7222,0.1667,7.57,-0.0048,-0.0151,6.80,2.51,0.48,1.51
2016-10,36,2013-11,2016-10,0.1019,-0.0251,4.06,False,0.0456,2.16,3.20,32,0.8889,26,6,False,0.7222,0.1667,7.83,-0.0048,-0.0151,6.80,2.51,0.48,1.51
2016-11,36,2013-12,2016-11,0.0999,-0.0251,3.98,False,0.0459,2.11,3.26,32,0.8889,25,6,False,0.6944,0.1667,7.70,-0.0048,-0.0151,6.80,2.51,0.48,1.51
2016-12,36,2014-01,2016-12,0.1021,-0.0251,4.06,False,0.0454,2.17,3.05,32,0.8889,26,5,False,0.7222,0.1389,8.63,-0.0048,-0.0151,6.80,2.51,0.48,1.51
2017-01,36,2014-02,2017-01,0.0960,-0.0251,3.82,False,0.0467,1.99,3.10,32,0.8889,25,6,False,0.6944,0.1667,6.64,-0.0065,-0.0179,4.96,2.51,0.65,1.79
2017-02,36,2014-03,2017-02,0.0972,-0.0251,3.87,False,0.0466,2.02,3.13,32,0.8889,25,6,False,0.6944,0.1667,6.70,-0.0065,-0.0179,4.96,2.51,0.65,1.79
2017-03,36,2014-04,2017-03,0.0961,-0.0251,3.83,False,0.0467,1.99,3.10,31,0.8611,24,6,False,0.6667,0.1667,6.64,-0.0065,-0.0179,4.96,2.51,0.65,1.79
2017-04,36,2014-05,2017-04,0.0961,-0.0251,3.83,False,0.0467,1.99,3.10,31,0.8611,24,6,False,0.6667,0.1667,6.64,-0.0065,-0.0179,4.96,2.51,0.65,1.79
2017-05,36,2014-06,2017-05,0.0961,-0.0251,3.83,False,0.0467,1.99,3.10,31,0.8611,24,6,False,0.6667,0.1667,6.64,-0.0065,-0.0179,4.96,2.51,0.65,1.79
2017-06,36,2014-07,2017-06,0.0938,-0.0251,3.73,False,0.0468,1.95,3.03,31,0.8611,24,6,False,0.6667,0.1667,6.51,-0.0065,-0.0179,4.96,2.51,0.65,1.79
2017-07,36,2014-08,2017-07,0.0960,-0.0251,3.82,False,0.0466,2.00,3.10,32,0.8889,25,6,False,0.6944,0.1667,6.64,-0.0065,-0.0179,4.96,2.51,0.65,1.79
2017-08,36,2014-09,2017-08,0.1035,-0.0251,4.12,False,0.0469,2.13,3.33,33,0.9167,26,6,False,0.7222,0.1667,7.05,-0.0065,-0.0179,4.96,2.51,0.65,1.79
2017-09,36,2014-10,2017-09,0.1103,-0.0108,10.24,False,0.0471,2.25,3.53,33,0.9167,26,6,False,0.7222,0.1667,7.43,-0.0065,-0.0179,4.96,1.08,0.65,1.79
2017-10,36,2014-11,2017-10,0.1211,-0.0108,11.25,False,0.0428,2.71,8.79,33,0.9167,27,5,False,0.7500,0.1389,15.22,-0.0048,-0.0079,6.80,1.08,0.48,0.79
2017-11,36,2014-12,2017-11,0.1194,-0.0108,11.08,False,0.0430,2.65,8.67,32,0.8889,26,5,False,0.7222,0.1389,15.03,-0.0048,-0.0079,6.80,1.08,0.48,0.79
2017-12,36,2015-01,2017-12,0.1210,-0.0108,11.23,False,0.0429,2.70,8.78,32,0.8889,26,5,False,0.7222,0.1389,15.20,-0.0048,-0.0079,6.80,1.08,0.48,0.79
2018-01,36,2015-02,2018-01,0.1195,-0.0108,11.09,False,0.0426,2.68,8.68,32,0.8889,26,5,False,0.7222,0.1389,15.03,-0.0048,-0.0079,6.80,1.08,0.48,0.79
2018-02,36,2015-03,2018-02,0.1114,-0.0108,10.34,False,0.0421,2.54,8.12,32,0.8889,26,5,False,0.7222,0.1389,14.14,-0.0048,-0.0079,6.80,1.08,0.48,0.79
2018-03,36,2015-04,2018-03,0.0943,-0.0108,8.76,False,0.0355,2.56,6.92,31,0.8611,25,5,False,0.6944,0.1389,12.19,-0.0048,-0.0079,4.84,1.08,0.48,0.79
