year,annual_return_calendar,eom_max_drawdown_intra_year,intramonth_max_drawdown_intra_year,trade_count,win_rate,profit_factor,active_months_count,active_months_share,annual_return_active,volatility_active_annualized,sharpe_active_annualized,sortino_active_annualized,cagr_active,insufficient_months,insufficient_active_months,insufficient_negative_months,insufficient_trades,volatility_annualized_year,sharpe_ratio_annualized_year,sortino_ratio_annualized_year,calmar_ratio_year,negative_months_in_year,months_in_year_available,is_ytd,positive_months_in_year,omega_ratio_year_target_0m,monthly_var_95_year,monthly_es_95_year,opening_cashflow_ccy
2008,0.1334,-0.0520,-0.0912,278,0.7302,1.19,12,1.0000,0.1334,0.1072,1.22,2.39,0.1334,false,false,false,false,0.1072,1.22,2.39,2.56,4,12,false,8,2.58,-0.0326,-0.0392,0.00
2009,0.1720,-0.0373,-0.0766,221,0.7557,1.34,12,1.0000,0.1720,0.0863,1.89,6.37,0.1720,false,false,false,false,0.0863,1.89,6.37,4.61,2,12,false,10,5.34,-0.0183,-0.0240,0.00
2010,0.2841,-0.0128,-0.0361,158,0.7975,2.19,12,1.0000,0.2841,0.0893,2.87,18.53,0.2841,false,false,false,false,0.0893,2.87,18.53,22.14,2,12,false,10,13.79,-0.0097,-0.0128,0.00
2011,0.0717,-0.0225,-0.0485,147,0.7075,1.23,12,1.0000,0.0717,0.0604,1.18,3.99,0.0717,false,false,false,false,0.0604,1.18,3.99,3.19,6,12,false,6,2.36,-0.0145,-0.0159,0.00
2012,-0.0048,-0.0409,-0.0506,53,0.6226,0.96,12,1.0000,-0.0048,0.0456,-0.08,-0.16,-0.0048,false,false,false,false,0.0456,-0.08,-0.16,-0.12,6,12,false,6,0.93,-0.0157,-0.0213,0.00
2013,0.0249,-0.0067,-0.0206,35,0.6571,1.33,12,1.0000,0.0249,0.0298,0.84,1.00,0.0249,false,false,false,false,0.0298,0.84,1.00,3.70,4,12,false,8,1.85,-0.0106,-0.0181,0.00
2014,0.0027,-0.0251,-0.0289,18,0.6111,1.08,8,0.6667,0.0027,0.0370,0.13,NaN,0.0041,false,false,true,false,0.0296,0.11,NaN,0.11,1,12,false,7,1.13,-0.0113,-0.0251,0.00
2015,0.1982,-0.0024,-0.0213,138,0.7681,1.77,12,1.0000,0.1982,0.0495,3.70,74.13,0.1982,false,false,false,false,0.0495,3.70,74.13,81.03,2,12,false,10,48.21,-0.0019,-0.0024,0.00
2016,0.1141,-0.0097,-0.0124,57,0.8246,2.41,12,1.0000,0.1141,0.0419,2.61,11.24,0.1141,false,false,false,false,0.0419,2.61,11.24,11.74,2,12,false,9,12.19,-0.0048,-0.0051,0.00
2017,0.0552,0.0000,-0.0270,28,0.7500,2.41,8,0.6667,0.0552,0.0345,2.36,NaN,0.0839,false,false,true,false,0.0298,1.82,NaN,inf,1,12,false,7,6.04,-0.0048,-0.0108,0.00
2018,0.0237,-0.0154,-0.0159,28,0.7143,1.53,8,0.6667,0.0237,0.0305,1.17,2.86,0.0358,false,false,false,false,0.0249,0.95,1.91,1.54,3,12,false,5,2.40,-0.0077,-0.0078,0.00
2019,0.0082,0.0000,-0.0023,6,0.6667,3.03,4,0.3333,0.0082,0.0067,3.62,NaN,0.0247,false,true,true,true,0.0049,1.65,NaN,inf,1,12,false,3,46.25,-0.0001,-0.0002,0.00
2020,0.1188,0.0000,-0.0422,65,0.8000,2.28,9,0.7500,0.1188,0.0657,2.32,NaN,0.1615,false,false,true,false,0.0595,1.92,NaN,inf,0,12,false,9,inf,0.0000,0.0000,0.00
2021,0.0111,-0.0029,-0.0029,5,0.8000,4.86,4,0.3333,0.0111,0.0142,2.34,NaN,0.0338,false,true,true,true,0.0088,1.26,NaN,3.89,1,12,false,3,4.88,-0.0013,-0.0029,0.00
2022,0.0578,-0.0236,-0.0333,103,0.7282,1.27,11,0.9167,0.0578,0.0478,1.31,1.86,0.0632,false,false,false,false,0.0458,1.25,1.71,2.45,5,12,false,6,2.57,-0.0153,-0.0236,0.00
2023,-0.0307,-0.0327,-0.0425,32,0.5938,0.70,11,0.9167,-0.0307,0.0297,-1.13,-4.42,-0.0334,false,false,false,false,0.0284,-1.08,-4.05,-0.94,6,12,false,5,0.49,-0.0114,-0.0117,0.00
2024,0.0199,-0.0057,-0.0103,16,0.6875,1.75,8,0.6667,0.0199,0.0180,1.65,20.21,0.0299,false,false,false,false,0.0150,1.32,13.48,3.50,2,12,false,6,2.84,-0.0053,-0.0057,0.00
2025,0.0231,-0.0370,-0.0377,55,0.7273,1.18,8,0.6667,0.0231,0.0551,0.65,1.36,0.0348,true,false,false,false,0.0551,0.65,1.36,0.62,3,8,true,5,1.54,-0.0194,-0.0212,0.00
