period_start_month,period_end_month,method,block_mean_length_months,n_paths,horizon_months,seed,risk_per_trade_pct,mc_policy,mc_cap_nav_ccy,mc_policy_apply,mc_policy_start_month,policy_total_cash_out_ccy_p05,policy_total_cash_out_ccy_p50,policy_total_cash_out_ccy_p95,policy_ending_nav_ccy_p05,policy_ending_nav_ccy_p50,policy_ending_nav_ccy_p95,policy_flow_aware_ending_value_ccy_p05,policy_flow_aware_ending_value_ccy_p50,policy_flow_aware_ending_value_ccy_p95,policy_flow_aware_multiple_p05,policy_flow_aware_multiple_p50,policy_flow_aware_multiple_p95,policy_prob_any_cashout,policy_avg_cashout_events,ending_nav_p05,ending_nav_p50,ending_nav_p95,wealth_multiple_p05,wealth_multiple_p50,wealth_multiple_p95,cagr_annualized_p05,cagr_annualized_p50,cagr_annualized_p95,max_drawdown_magnitude_p50,max_drawdown_magnitude_p95,max_drawdown_magnitude_p99,prob_negative_horizon_return,prob_maxdd_ge_5pc_eom,prob_maxdd_ge_7pc_eom,prob_maxdd_ge_10pc_eom,prob_maxdd_ge_20pc_eom,prob_maxdd_ge_30pc_eom,prob_maxdd_ge_5x_risk_eom,prob_maxdd_ge_7x_risk_eom,prob_maxdd_ge_10x_risk_eom,prob_no_breach_ge_5x_risk_eom,prob_no_breach_ge_7x_risk_eom,prob_no_breach_ge_10x_risk_eom,cond_es_maxdd_ge_5x_risk,cond_es_maxdd_ge_7x_risk,cond_es_maxdd_ge_10x_risk,mc_ttb_ge_5x_risk_p50,mc_ttb_ge_7x_risk_p50,mc_ttb_ge_10x_risk_p50,mc_maxdd_xrisk_p50,mc_maxdd_xrisk_p95,mc_maxdd_xrisk_p99
2008-01,2025-08,stationary_bootstrap,3,10000,12,42,0.0100,cap_nav,100000.00,yearly,1,0.00,0.00,0.00,99004.72,106295.85,120722.90,99004.72,106295.85,120722.90,0.9900,1.0630,1.2072,0.0,0.0,99004.72,106295.85,120722.90,0.99,1.06,1.21,-0.0100,0.0630,0.2072,0.0154,0.0515,0.0602,0.0918,0.0522,0.0035,0.0001,0.0000,0.0000,0.0522,0.0035,0.0001,0.9478,0.9965,0.9999,5.63,7.92,10.87,8,10,10,1.54,5.15,6.02
2008-01,2025-08,stationary_bootstrap,3,10000,36,42,0.0100,cap_nav,100000.00,yearly,1,2195.40,13505.28,32359.54,98479.19,105787.77,119772.22,105229.52,120597.94,143466.35,1.0523,1.2060,1.4347,0.9838,1.8073,105221.35,121707.90,148963.00,1.05,1.22,1.49,0.0171,0.0677,0.1421,0.0332,0.0627,0.0816,0.0086,0.1869,0.0285,0.0023,0.0000,0.0000,0.1869,0.0285,0.0023,0.8131,0.9715,0.9977,5.97,8.15,10.84,20,24,22,3.32,6.27,8.16
2008-01,2025-08,stationary_bootstrap,3,10000,212,42,0.0100,cap_nav,100000.00,yearly,1,82708.30,124455.19,173739.14,98056.99,103657.35,115171.30,186368.53,228977.35,279431.90,1.8637,2.2898,2.7943,1.0,15.3108,228304.22,337599.00,530638.08,2.28,3.38,5.31,0.0478,0.0713,0.0991,0.0536,0.0866,0.1069,0.0000,0.7431,0.1792,0.0191,0.0000,0.0000,0.7431,0.1792,0.0191,0.2569,0.8208,0.9809,6.34,8.31,11.10,76,106,120,5.36,8.66,10.69
2008-01,2025-08,stationary_bootstrap,4,10000,12,42,0.0100,cap_nav,100000.00,yearly,1,0.00,0.00,0.00,98948.68,105884.53,120701.44,98948.68,105884.53,120701.44,0.9895,1.0588,1.2070,0.0,0.0,98948.68,105884.53,120701.44,0.99,1.06,1.21,-0.0105,0.0588,0.2070,0.0154,0.0513,0.0578,0.0928,0.0518,0.0021,0.0000,0.0000,0.0000,0.0518,0.0021,0.0000,0.9482,0.9979,1.0000,5.51,7.88,NaN,8,9,NaN,1.54,5.13,5.78
2008-01,2025-08,stationary_bootstrap,4,10000,36,42,0.0100,cap_nav,100000.00,yearly,1,2020.65,13391.06,33326.19,98643.87,105714.67,120168.37,104646.61,120653.03,144364.42,1.0465,1.2065,1.4436,0.9808,1.8066,104635.05,121759.98,150046.17,1.05,1.22,1.50,0.0152,0.0678,0.1448,0.0336,0.0591,0.0768,0.0091,0.1822,0.0207,0.0013,0.0000,0.0000,0.1822,0.0207,0.0013,0.8178,0.9793,0.9987,5.78,8.03,11.05,20,24,34,3.36,5.91,7.68
2008-01,2025-08,stationary_bootstrap,4,10000,212,42,0.0100,cap_nav,100000.00,yearly,1,79994.17,124331.76,175918.90,98146.12,103537.72,115790.94,183505.09,228988.58,281193.14,1.8351,2.2899,2.8119,1.0,15.2585,222319.11,337472.99,538138.15,2.22,3.37,5.38,0.0463,0.0713,0.0999,0.0520,0.0834,0.1018,0.0000,0.7433,0.1481,0.0117,0.0000,0.0000,0.7433,0.1481,0.0117,0.2567,0.8519,0.9883,6.16,8.23,11.22,76,115,125,5.20,8.34,10.18
2008-01,2025-08,stationary_bootstrap,5,10000,12,42,0.0100,cap_nav,100000.00,yearly,1,0.00,0.00,0.00,98797.72,105738.02,121615.43,98797.72,105738.02,121615.43,0.9880,1.0574,1.2162,0.0,0.0,98797.72,105738.02,121615.43,0.99,1.06,1.22,-0.0120,0.0574,0.2162,0.0152,0.0494,0.0566,0.0917,0.0491,0.0021,0.0001,0.0000,0.0000,0.0491,0.0021,0.0001,0.9509,0.9979,0.9999,5.49,7.97,12.01,8,9,12,1.52,4.94,5.66
2008-01,2025-08,stationary_bootstrap,5,10000,36,42,0.0100,cap_nav,100000.00,yearly,1,1873.02,12913.14,33876.51,98461.29,105547.51,121327.25,104693.42,120140.67,145644.66,1.0469,1.2014,1.4564,0.9813,1.7958,104716.96,121150.64,151757.16,1.05,1.21,1.52,0.0155,0.0660,0.1492,0.0336,0.0571,0.0745,0.0081,0.1780,0.0150,0.0009,0.0000,0.0000,0.1780,0.0150,0.0009,0.8220,0.9850,0.9991,5.67,8.05,10.84,20,23,20,3.36,5.71,7.45
2008-01,2025-08,stationary_bootstrap,5,10000,212,42,0.0100,cap_nav,100000.00,yearly,1,78103.20,124357.24,177637.16,98065.07,103486.24,115608.38,182007.50,229121.72,283196.47,1.8201,2.2912,2.8320,1.0,15.2062,218355.27,337224.30,547576.59,2.18,3.37,5.48,0.0452,0.0712,0.1010,0.0520,0.0814,0.0980,0.0000,0.7325,0.1272,0.0083,0.0000,0.0000,0.7325,0.1272,0.0083,0.2675,0.8728,0.9917,6.04,8.14,10.98,75,113,96,5.20,8.14,9.80
2008-01,2025-08,stationary_bootstrap,6,10000,12,42,0.0100,cap_nav,100000.00,yearly,1,0.00,0.00,0.00,98877.19,105520.87,121581.52,98877.19,105520.87,121581.52,0.9888,1.0552,1.2158,0.0,0.0,98877.19,105520.87,121581.52,0.99,1.06,1.22,-0.0112,0.0552,0.2158,0.0153,0.0469,0.0548,0.0950,0.0458,0.0014,0.0000,0.0000,0.0000,0.0458,0.0014,0.0000,0.9542,0.9986,1.0000,5.45,7.77,NaN,8,10,NaN,1.53,4.69,5.48
2008-01,2025-08,stationary_bootstrap,6,10000,36,42,0.0100,cap_nav,100000.00,yearly,1,1636.09,12796.16,34440.02,98485.09,105390.12,120932.87,104243.06,120132.10,145936.02,1.0424,1.2013,1.4594,0.9792,1.7937,104260.35,121141.27,152118.16,1.04,1.21,1.52,0.0140,0.0660,0.1501,0.0336,0.0564,0.0739,0.0106,0.1785,0.0143,0.0007,0.0000,0.0000,0.1785,0.0143,0.0007,0.8215,0.9857,0.9993,5.63,7.96,10.63,20,24,25,3.36,5.64,7.39
2008-01,2025-08,stationary_bootstrap,6,10000,212,42,0.0100,cap_nav,100000.00,yearly,1,77491.13,124061.70,179780.10,98168.72,103257.44,116038.00,180770.61,228576.22,285388.16,1.8077,2.2858,2.8539,1.0,15.1693,216319.41,335173.99,557467.95,2.16,3.35,5.57,0.0446,0.0709,0.1021,0.0520,0.0797,0.0963,0.0000,0.7286,0.1093,0.0073,0.0000,0.0000,0.7286,0.1093,0.0073,0.2714,0.8907,0.9927,5.95,8.15,10.78,78,112,115,5.20,7.97,9.63
