year,prev_eom_month,prev_eom_nav,next_first_month,next_first_nav,delta_abs,factor_s,cashflow_ccy
2008,2008-12,113344.93,2009-01,100000.0,-13344.93,1.133449,13344.93
2009,2009-12,117193.57,2010-01,100000.0,-17193.57,1.171936,17193.57
2010,2010-12,128741.91,2011-01,100000.0,-28741.91,1.287419,28741.91
2011,2011-12,107644.82,2012-01,100000.0,-7644.82,1.076448,7644.82
2012,2012-12,99681.95,2013-01,100000.0,318.05,0.996819,-318.05
2013,2013-12,102600.51,2014-01,100000.0,-2600.51,1.026005,2600.51
2014,2014-12,100325.44,2015-01,100000.0,-325.44,1.003254,325.44
2015,2015-12,120415.28,2016-01,100000.0,-20415.28,1.204153,20415.28
2016,2016-12,111651.07,2017-01,100000.0,-11651.07,1.116511,11651.07
2017,2017-12,105640.57,2018-01,100000.0,-5640.57,1.056406,5640.57
2018,2018-11,102475.56,2019-01,100000.0,-2475.56,1.024756,2475.56
2019,2019-10,100838.11,2020-01,100000.0,-838.11,1.008381,838.11
2020,2020-12,112240.45,2021-01,100000.0,-12240.45,1.122405,12240.45
2021,2021-11,101145.69,2022-01,100000.0,-1145.69,1.011457,1145.69
2022,2022-12,106421.63,2023-01,100000.0,-6421.63,1.064216,6421.63
2023,2023-12,97081.07,2024-01,100000.0,2918.93,0.970811,-2918.93
2024,2024-12,102087.65,2025-01,100000.0,-2087.65,1.020877,2087.65
