month,window_months,window_start_month,window_end_month,rolling_return_12m,rolling_volatility_annualized_12m,rolling_sharpe_annualized_12m,insufficient_months,rolling_max_drawdown_12m,rolling_calmar_12m,rolling_sortino_annualized_12m,active_months_count_12m,active_months_share_12m,positive_months_count_12m,negative_months_count_12m,insufficient_negative_months,positive_months_share_12m,negative_months_share_12m,rolling_omega_12m_target_0m,rolling_var_95_12m,rolling_es_95_12m,rolling_tail_ratio_p95_p5_12m,rolling_max_drawdown_12m_xrisk,rolling_var_95_12m_xrisk,rolling_es_95_12m_xrisk
2008-12,12,2008-01,2008-12,0.1334,0.1072,1.22,False,-0.0520,2.56,2.39,12,1.0000,8,4,False,0.6667,0.3333,2.58,-0.0326,-0.0392,1.91,5.20,3.26,3.92
2009-01,12,2008-02,2009-01,0.1963,0.1265,1.48,False,-0.0520,3.77,3.42,12,1.0000,8,4,False,0.6667,0.3333,3.27,-0.0326,-0.0392,2.17,5.20,3.26,3.92
2009-02,12,2008-03,2009-02,0.1722,0.1297,1.29,False,-0.0520,3.31,3.44,12,1.0000,7,5,False,0.5833,0.4167,2.74,-0.0326,-0.0392,2.17,5.20,3.26,3.92
2009-03,12,2008-04,2009-03,0.1475,0.1343,1.09,False,-0.0520,2.83,3.94,12,1.0000,7,5,False,0.5833,0.4167,2.25,-0.0326,-0.0392,2.17,5.20,3.26,3.92
2009-04,12,2008-05,2009-04,0.2044,0.1273,1.53,False,-0.0520,3.93,4.63,12,1.0000,8,4,False,0.6667,0.3333,3.16,-0.0308,-0.0392,2.29,5.20,3.08,3.92
2009-05,12,2008-06,2009-05,0.2245,0.1273,1.66,False,-0.0520,4.31,5.03,12,1.0000,8,4,False,0.6667,0.3333,3.35,-0.0308,-0.0392,2.29,5.20,3.08,3.92
2009-06,12,2008-07,2009-06,0.2216,0.1275,1.64,False,-0.0520,4.26,4.97,12,1.0000,8,4,False,0.6667,0.3333,3.32,-0.0308,-0.0392,2.29,5.20,3.08,3.92
2009-07,12,2008-08,2009-07,0.2196,0.1276,1.63,False,-0.0520,4.22,4.93,12,1.0000,8,4,False,0.6667,0.3333,3.30,-0.0308,-0.0392,2.29,5.20,3.08,3.92
2009-08,12,2008-09,2009-08,0.1979,0.1271,1.49,False,-0.0372,5.31,4.50,12,1.0000,8,4,False,0.6667,0.3333,3.10,-0.0308,-0.0392,2.29,3.72,3.08,3.92
2009-09,12,2008-10,2009-09,0.2499,0.1135,2.03,False,-0.0372,6.71,11.04,12,1.0000,9,3,False,0.7500,0.2500,5.53,-0.0183,-0.0240,3.86,3.72,1.83,2.40
2009-10,12,2008-11,2009-10,0.2948,0.1078,2.47,False,-0.0372,7.92,10.51,12,1.0000,10,2,False,0.8333,0.1667,8.09,-0.0183,-0.0240,3.86,3.72,1.83,2.40
2009-11,12,2008-12,2009-11,0.2306,0.1000,2.14,False,-0.0372,6.19,8.44,12,1.0000,10,2,False,0.8333,0.1667,6.69,-0.0183,-0.0240,3.86,3.72,1.83,2.40
2009-12,12,2009-01,2009-12,0.1719,0.0862,1.89,False,-0.0372,4.62,6.43,12,1.0000,10,2,False,0.8333,0.1667,5.34,-0.0183,-0.0240,2.70,3.72,1.83,2.40
2010-01,12,2009-02,2010-01,0.1198,0.0545,2.11,False,-0.0240,5.00,4.54,12,1.0000,10,2,False,0.8333,0.1667,4.06,-0.0183,-0.0240,1.52,2.40,1.83,2.40
2010-02,12,2009-03,2010-02,0.1441,0.0484,2.82,False,0.0000,inf,NaN,12,1.0000,11,1,True,0.9167,0.0833,6.70,-0.0094,-0.0240,2.95,0.00,0.94,2.40
2010-03,12,2009-04,2010-03,0.1962,0.0299,6.05,False,0.0000,inf,NaN,12,1.0000,12,0,True,1.0000,0.0000,NaN,0.0046,0.0025,6.08,0.00,0.46,0.25
2010-04,12,2009-05,2010-04,0.1633,0.0364,4.20,False,-0.0071,22.98,NaN,12,1.0000,11,1,True,0.9167,0.0833,22.50,-0.0018,-0.0071,15.36,0.71,0.18,0.71
2010-05,12,2009-06,2010-05,0.2309,0.0809,2.63,False,-0.0071,32.49,NaN,12,1.0000,11,1,True,0.9167,0.0833,30.89,-0.0018,-0.0071,30.50,0.71,0.18,0.71
2010-06,12,2009-07,2010-06,0.2713,0.0825,2.97,False,-0.0071,38.18,NaN,12,1.0000,11,1,True,0.9167,0.0833,35.54,-0.0018,-0.0071,33.26,0.71,0.18,0.71
2010-07,12,2009-08,2010-07,0.2806,0.0821,3.08,False,-0.0071,39.48,NaN,12,1.0000,11,1,True,0.9167,0.0833,36.58,-0.0018,-0.0071,33.26,0.71,0.18,0.71
2010-08,12,2009-09,2010-08,0.2507,0.0884,2.59,False,-0.0127,19.70,16.65,12,1.0000,10,2,False,0.8333,0.1667,12.56,-0.0096,-0.0127,6.22,1.27,0.96,1.27
2010-09,12,2009-10,2010-09,0.2501,0.0885,2.58,False,-0.0127,19.65,16.62,12,1.0000,10,2,False,0.8333,0.1667,12.53,-0.0096,-0.0127,6.22,1.27,0.96,1.27
2010-10,12,2009-11,2010-10,0.2663,0.0900,2.69,False,-0.0127,20.92,17.58,12,1.0000,10,2,False,0.8333,0.1667,13.20,-0.0096,-0.0127,6.22,1.27,0.96,1.27
2010-11,12,2009-12,2010-11,0.2677,0.0898,2.71,False,-0.0127,21.03,17.66,12,1.0000,10,2,False,0.8333,0.1667,13.26,-0.0096,-0.0127,6.22,1.27,0.96,1.27
2010-12,12,2010-01,2010-12,0.2874,0.0899,2.88,False,-0.0127,22.58,18.80,12,1.0000,10,2,False,0.8333,0.1667,14.05,-0.0096,-0.0127,6.22,1.27,0.96,1.27
2011-01,12,2010-02,2011-01,0.3018,0.0919,2.94,False,-0.0127,23.71,19.64,12,1.0000,10,2,False,0.8333,0.1667,14.63,-0.0096,-0.0127,6.36,1.27,0.96,1.27
2011-02,12,2010-03,2011-02,0.2867,0.0946,2.73,False,-0.0127,22.52,16.75,12,1.0000,9,3,False,0.7500,0.2500,11.89,-0.0096,-0.0127,6.36,1.27,0.96,1.27
2011-03,12,2010-04,2011-03,0.2805,0.0948,2.68,False,-0.0127,22.04,16.43,12,1.0000,9,3,False,0.7500,0.2500,11.68,-0.0096,-0.0127,6.36,1.27,0.96,1.27
2011-04,12,2010-05,2011-04,0.2724,0.0970,2.55,False,-0.0134,20.40,13.54,12,1.0000,9,3,False,0.7500,0.2500,9.25,-0.0130,-0.0134,4.71,1.34,1.30,1.34
2011-05,12,2010-06,2011-05,0.1623,0.0707,2.17,False,-0.0220,7.39,10.18,12,1.0000,8,4,False,0.6667,0.3333,4.97,-0.0130,-0.0134,3.10,2.20,1.30,1.34
2011-06,12,2010-07,2011-06,0.1410,0.0653,2.06,False,-0.0220,6.42,8.92,12,1.0000,8,4,False,0.6667,0.3333,4.48,-0.0130,-0.0134,2.93,2.20,1.30,1.34
2011-07,12,2010-08,2011-07,0.1372,0.0649,2.02,False,-0.0220,6.25,8.69,12,1.0000,8,4,False,0.6667,0.3333,4.39,-0.0130,-0.0134,2.93,2.20,1.30,1.34
2011-08,12,2010-09,2011-08,0.1490,0.0615,2.30,False,-0.0220,6.79,8.27,12,1.0000,8,4,False,0.6667,0.3333,5.96,-0.0108,-0.0134,3.53,2.20,1.08,1.34
2011-09,12,2010-10,2011-09,0.1290,0.0668,1.86,False,-0.0220,5.87,6.33,12,1.0000,7,5,False,0.5833,0.4167,3.82,-0.0143,-0.0154,2.67,2.20,1.43,1.54
2011-10,12,2010-11,2011-10,0.1163,0.0630,1.78,False,-0.0220,5.30,5.73,12,1.0000,7,5,False,0.5833,0.4167,3.56,-0.0143,-0.0154,2.45,2.20,1.43,1.54
2011-11,12,2010-12,2011-11,0.0997,0.0648,1.50,False,-0.0220,4.54,5.43,12,1.0000,6,6,False,0.5000,0.5000,2.95,-0.0143,-0.0154,2.45,2.20,1.43,1.54
2011-12,12,2011-01,2011-12,0.0764,0.0606,1.25,False,-0.0220,3.48,4.21,12,1.0000,6,6,False,0.5000,0.5000,2.51,-0.0143,-0.0154,2.23,2.20,1.43,1.54
2012-01,12,2011-02,2012-01,0.0339,0.0467,0.74,False,-0.0220,1.54,1.92,12,1.0000,6,6,False,0.5000,0.5000,1.69,-0.0143,-0.0154,1.52,2.20,1.43,1.54
2012-02,12,2011-03,2012-02,0.0573,0.0485,1.17,False,-0.0220,2.61,3.12,12,1.0000,7,5,False,0.5833,0.4167,2.24,-0.0143,-0.0154,1.52,2.20,1.43,1.54
2012-03,12,2011-04,2012-03,0.0317,0.0488,0.66,False,-0.0178,1.78,1.98,12,1.0000,6,6,False,0.5000,0.5000,1.59,-0.0143,-0.0154,1.52,1.78,1.43,1.54
2012-04,12,2011-05,2012-04,0.0479,0.0456,1.05,False,-0.0178,2.68,2.92,12,1.0000,7,5,False,0.5833,0.4167,2.15,-0.0119,-0.0154,1.83,1.78,1.19,1.54
2012-05,12,2011-06,2012-05,0.0552,0.0440,1.25,False,-0.0178,3.09,2.85,12,1.0000,7,5,False,0.5833,0.4167,2.57,-0.0119,-0.0154,1.83,1.78,1.19,1.54
2012-06,12,2011-07,2012-06,0.0124,0.0472,0.28,False,-0.0296,0.42,0.51,12,1.0000,6,6,False,0.5000,0.5000,1.24,-0.0180,-0.0211,1.16,2.96,1.80,2.11
2012-07,12,2011-08,2012-07,-0.0152,0.0453,-0.32,False,-0.0403,-0.38,-0.59,12,1.0000,5,7,False,0.4167,0.5833,0.79,-0.0180,-0.0211,1.16,4.03,1.80,2.11
2012-08,12,2011-09,2012-08,0.0152,0.0540,0.30,False,-0.0403,0.38,0.69,12,1.0000,6,6,False,0.5000,0.5000,1.25,-0.0180,-0.0211,1.43,4.03,1.80,2.11
2012-09,12,2011-10,2012-09,0.0273,0.0512,0.55,False,-0.0403,0.68,1.17,12,1.0000,6,6,False,0.5000,0.5000,1.53,-0.0156,-0.0211,1.65,4.03,1.56,2.11
2012-10,12,2011-11,2012-10,0.0078,0.0458,0.19,False,-0.0403,0.19,0.36,12,1.0000,6,6,False,0.5000,0.5000,1.17,-0.0156,-0.0211,1.48,4.03,1.56,2.11
2012-11,12,2011-12,2012-11,0.0043,0.0465,0.11,False,-0.0403,0.11,0.22,12,1.0000,6,6,False,0.5000,0.5000,1.09,-0.0156,-0.0211,1.48,4.03,1.56,2.11
2012-12,12,2012-01,2012-12,-0.0032,0.0458,-0.05,False,-0.0403,-0.08,-0.09,12,1.0000,6,6,False,0.5000,0.5000,0.96,-0.0156,-0.0211,1.48,4.03,1.56,2.11
2013-01,12,2012-02,2013-01,-0.0217,0.0492,-0.42,False,-0.0403,-0.54,-0.86,12,1.0000,5,7,False,0.4167,0.5833,0.72,-0.0195,-0.0211,1.18,4.03,1.95,2.11
2013-02,12,2012-03,2013-02,-0.0359,0.0445,-0.80,False,-0.0336,-1.07,-1.46,12,1.0000,5,7,False,0.4167,0.5833,0.52,-0.0195,-0.0211,0.77,3.36,1.95,2.11
2013-03,12,2012-04,2013-03,-0.0192,0.0453,-0.41,False,-0.0336,-0.57,-0.69,12,1.0000,6,6,False,0.5000,0.5000,0.72,-0.0195,-0.0211,0.89,3.36,1.95,2.11
2013-04,12,2012-05,2013-04,-0.0061,0.0483,-0.10,False,-0.0319,-0.19,-0.19,12,1.0000,6,6,False,0.5000,0.5000,0.92,-0.0195,-0.0211,1.09,3.19,1.95,2.11
2013-05,12,2012-06,2013-05,-0.0069,0.0484,-0.12,False,-0.0273,-0.25,-0.23,12,1.0000,6,6,False,0.5000,0.5000,0.91,-0.0195,-0.0211,1.09,2.73,1.95,2.11
2013-06,12,2012-07,2013-06,0.0105,0.0431,0.26,False,-0.0273,0.39,0.55,12,1.0000,6,6,False,0.5000,0.5000,1.23,-0.0142,-0.0181,1.50,2.73,1.42,1.81
2013-07,12,2012-08,2013-07,0.0318,0.0418,0.77,False,-0.0273,1.16,1.43,12,1.0000,7,5,False,0.5833,0.4167,1.85,-0.0134,-0.0181,1.59,2.73,1.34,1.81
2013-08,12,2012-09,2013-08,0.0052,0.0312,0.18,False,-0.0273,0.19,0.25,12,1.0000,7,5,False,0.5833,0.4167,1.15,-0.0134,-0.0181,0.92,2.73,1.34,1.81
2013-09,12,2012-10,2013-09,0.0143,0.0312,0.47,False,-0.0273,0.52,0.60,12,1.0000,8,4,False,0.6667,0.3333,1.43,-0.0134,-0.0181,0.92,2.73,1.34,1.81
2013-10,12,2012-11,2013-10,0.0155,0.0313,0.50,False,-0.0181,0.85,0.65,12,1.0000,8,4,False,0.6667,0.3333,1.46,-0.0134,-0.0181,0.92,1.81,1.34,1.81
2013-11,12,2012-12,2013-11,0.0308,0.0291,1.05,False,-0.0181,1.70,1.03,12,1.0000,9,3,False,0.7500,0.2500,2.25,-0.0103,-0.0181,1.20,1.81,1.03,1.81
2013-12,12,2013-01,2013-12,0.0260,0.0299,0.87,False,-0.0065,3.98,1.04,12,1.0000,8,4,False,0.6667,0.3333,1.90,-0.0106,-0.0181,1.17,0.65,1.06,1.81
2014-01,12,2013-02,2014-01,0.0510,0.0202,2.47,False,-0.0065,7.81,15.35,12,1.0000,9,3,False,0.7500,0.2500,5.55,-0.0042,-0.0045,2.97,0.65,0.42,0.45
2014-02,12,2013-03,2014-02,0.0478,0.0205,2.29,False,-0.0065,7.32,14.41,12,1.0000,9,3,False,0.7500,0.2500,5.27,-0.0042,-0.0045,2.97,0.65,0.42,0.45
2014-03,12,2013-04,2014-03,0.0424,0.0200,2.09,False,-0.0065,6.50,12.82,12,1.0000,9,3,False,0.7500,0.2500,4.80,-0.0042,-0.0045,2.97,0.65,0.42,0.45
2014-04,12,2013-05,2014-04,0.0265,0.0153,1.72,False,-0.0045,5.95,8.07,11,0.9167,8,3,False,0.6667,0.2500,3.39,-0.0042,-0.0045,1.83,0.45,0.42,0.45
2014-05,12,2013-06,2014-05,0.0292,0.0146,1.98,False,-0.0045,6.55,21.78,10,0.8333,8,2,False,0.6667,0.1667,4.45,-0.0042,-0.0045,1.83,0.45,0.42,0.45
2014-06,12,2013-07,2014-06,0.0432,0.0145,2.94,False,-0.0045,9.70,NaN,10,0.8333,9,1,True,0.7500,0.0833,10.53,-0.0020,-0.0045,4.84,0.45,0.20,0.45
