month,window_months,window_start_month,window_end_month,rolling_return_annualized_36m,rolling_max_drawdown_36m,rolling_calmar_36m,insufficient_months,rolling_volatility_annualized_36m,rolling_sharpe_annualized_36m,rolling_sortino_annualized_36m,active_months_count_36m,active_months_share_36m,positive_months_count_36m,negative_months_count_36m,insufficient_negative_months,positive_months_share_36m,negative_months_share_36m,rolling_omega_36m_target_0m,rolling_var_95_36m,rolling_es_95_36m,rolling_tail_ratio_p95_p5_36m,rolling_max_drawdown_36m_xrisk,rolling_var_95_36m_xrisk,rolling_es_95_36m_xrisk
2010-12,36,2008-01,2010-12,0.1958,-0.0520,3.76,False,0.0935,1.97,4.50,36,1.0000,28,8,False,0.7778,0.2222,4.95,-0.0248,-0.0332,2.74,5.20,2.48,3.32
2011-01,36,2008-02,2011-01,0.2037,-0.0520,3.91,False,0.0947,2.02,4.66,36,1.0000,28,8,False,0.7778,0.2222,5.09,-0.0248,-0.0332,2.74,5.20,2.48,3.32
2011-02,36,2008-03,2011-02,0.1994,-0.0520,3.83,False,0.0952,1.97,4.53,36,1.0000,27,9,False,0.7500,0.2500,4.91,-0.0248,-0.0332,2.74,5.20,2.48,3.32
2011-03,36,2008-04,2011-03,0.2068,-0.0520,3.97,False,0.0946,2.05,4.79,36,1.0000,28,8,False,0.7778,0.2222,5.12,-0.0248,-0.0332,2.74,5.20,2.48,3.32
2011-04,36,2008-05,2011-04,0.2125,-0.0520,4.08,False,0.0927,2.14,5.18,36,1.0000,28,8,False,0.7778,0.2222,5.68,-0.0162,-0.0316,4.19,5.20,1.62,3.16
2011-05,36,2008-06,2011-05,0.2055,-0.0520,3.95,False,0.0938,2.05,5.23,36,1.0000,27,9,False,0.7500,0.2500,5.25,-0.0162,-0.0316,4.19,5.20,1.62,3.16
2011-06,36,2008-07,2011-06,0.2101,-0.0520,4.04,False,0.0937,2.10,5.34,36,1.0000,27,9,False,0.7500,0.2500,5.33,-0.0162,-0.0316,4.19,5.20,1.62,3.16
2011-07,36,2008-08,2011-07,0.2110,-0.0520,4.05,False,0.0937,2.10,5.36,36,1.0000,27,9,False,0.7500,0.2500,5.35,-0.0162,-0.0316,4.19,5.20,1.62,3.16
2011-08,36,2008-09,2011-08,0.1985,-0.0372,5.33,False,0.0940,1.99,5.00,36,1.0000,26,10,False,0.7222,0.2778,5.04,-0.0162,-0.0316,4.19,3.72,1.62,3.16
2011-09,36,2008-10,2011-09,0.2083,-0.0372,5.59,False,0.0902,2.16,9.02,36,1.0000,26,10,False,0.7222,0.2778,6.09,-0.0141,-0.0197,4.82,3.72,1.41,1.97
2011-10,36,2008-11,2011-10,0.2232,-0.0372,5.99,False,0.0885,2.34,9.10,36,1.0000,27,9,False,0.7500,0.2500,7.13,-0.0141,-0.0197,4.82,3.72,1.41,1.97
2011-11,36,2008-12,2011-11,0.1971,-0.0372,5.29,False,0.0857,2.16,8.33,36,1.0000,26,10,False,0.7222,0.2778,6.16,-0.0141,-0.0197,4.82,3.72,1.41,1.97
2011-12,36,2009-01,2011-12,0.1755,-0.0372,4.71,False,0.0807,2.06,7.48,36,1.0000,26,10,False,0.7222,0.2778,5.63,-0.0141,-0.0197,3.62,3.72,1.41,1.97
2012-01,36,2009-02,2012-01,0.1465,-0.0240,6.12,False,0.0714,1.96,6.31,36,1.0000,26,10,False,0.7222,0.2778,4.91,-0.0141,-0.0197,2.84,2.40,1.41,1.97
2012-02,36,2009-03,2012-02,0.1589,-0.0220,7.24,False,0.0699,2.16,6.49,36,1.0000,27,9,False,0.7500,0.2500,5.82,-0.0139,-0.0197,2.88,2.20,1.39,1.97
2012-03,36,2009-04,2012-03,0.1648,-0.0220,7.51,False,0.0677,2.30,10.26,36,1.0000,27,9,False,0.7500,0.2500,6.93,-0.0129,-0.0144,3.09,2.20,1.29,1.44
2012-04,36,2009-05,2012-04,0.1576,-0.0220,7.18,False,0.0678,2.20,9.84,36,1.0000,27,9,False,0.7500,0.2500,6.69,-0.0129,-0.0144,3.09,2.20,1.29,1.44
2012-05,36,2009-06,2012-05,0.1472,-0.0220,6.70,False,0.0678,2.07,8.65,36,1.0000,26,10,False,0.7222,0.2778,6.22,-0.0129,-0.0144,3.09,2.20,1.29,1.44
2012-06,36,2009-07,2012-06,0.1367,-0.0296,4.62,False,0.0704,1.86,6.38,36,1.0000,25,11,False,0.6944,0.3056,4.87,-0.0139,-0.0183,2.88,2.96,1.39,1.83
2012-07,36,2009-08,2012-07,0.1277,-0.0403,3.17,False,0.0715,1.72,6.26,36,1.0000,24,12,False,0.6667,0.3333,4.28,-0.0139,-0.0183,2.88,4.03,1.39,1.83
2012-08,36,2009-09,2012-08,0.1342,-0.0403,3.33,False,0.0722,1.79,6.55,36,1.0000,24,12,False,0.6667,0.3333,4.43,-0.0139,-0.0183,2.88,4.03,1.39,1.83
2012-09,36,2009-10,2012-09,0.1318,-0.0403,3.27,False,0.0726,1.75,6.47,36,1.0000,23,13,False,0.6389,0.3611,4.27,-0.0139,-0.0183,2.88,4.03,1.39,1.83
