year,annual_return_calendar,eom_max_drawdown_intra_year,intramonth_max_drawdown_intra_year,trade_count,win_rate,profit_factor,active_months_count,active_months_share,annual_return_active,volatility_active_annualized,sharpe_active_annualized,sortino_active_annualized,cagr_active,insufficient_months,insufficient_active_months,insufficient_negative_months,insufficient_trades,volatility_annualized_year,sharpe_ratio_annualized_year,sortino_ratio_annualized_year,calmar_ratio_year,negative_months_in_year,months_in_year_available,is_ytd,positive_months_in_year,omega_ratio_year_target_0m,monthly_var_95_year,monthly_es_95_year,opening_cashflow_ccy
2008,0.1334,-0.0520,-0.0912,278,0.7302,1.19,12,1.0000,0.1334,0.1072,1.22,2.39,0.1334,false,false,false,false,0.1072,1.22,2.39,2.56,4,12,false,8,2.58,-0.0326,-0.0392,0.00
2009,0.1719,-0.0372,-0.0766,221,0.7557,1.34,12,1.0000,0.1719,0.0862,1.89,6.43,0.1719,false,false,false,false,0.0862,1.89,6.43,4.62,2,12,false,10,5.34,-0.0183,-0.0240,13344.93
2010,0.2874,-0.0127,-0.0361,158,0.7975,2.21,12,1.0000,0.2874,0.0899,2.88,18.80,0.2874,false,false,false,false,0.0899,2.88,18.80,22.58,2,12,false,10,14.05,-0.0096,-0.0127,17193.57
2011,0.0764,-0.0220,-0.0481,147,0.7075,1.24,12,1.0000,0.0764,0.0606,1.25,4.21,0.0764,false,false,false,false,0.0606,1.25,4.21,3.48,6,12,false,6,2.51,-0.0143,-0.0154,28741.91
2012,-0.0032,-0.0403,-0.0500,53,0.6226,0.98,12,1.0000,-0.0032,0.0458,-0.05,-0.09,-0.0032,false,false,false,false,0.0458,-0.05,-0.09,-0.08,6,12,false,6,0.96,-0.0156,-0.0211,7644.82
2013,0.0260,-0.0065,-0.0206,35,0.6571,1.34,12,1.0000,0.0260,0.0299,0.87,1.04,0.0260,false,false,false,false,0.0299,0.87,1.04,3.98,4,12,false,8,1.90,-0.0106,-0.0181,-318.05
2014,0.0033,-0.0250,-0.0288,18,0.6111,1.09,8,0.6667,0.0033,0.0370,0.15,NaN,0.0049,false,false,true,false,0.0295,0.12,NaN,0.13,1,12,false,7,1.15,-0.0113,-0.0250,2600.51
2015,0.2042,-0.0018,-0.0212,138,0.7681,1.79,12,1.0000,0.2042,0.0501,3.76,154.89,0.2042,false,false,false,false,0.0501,3.76,154.89,112.12,2,12,false,10,60.88,-0.0015,-0.0018,325.44
2016,0.1165,-0.0095,-0.0122,57,0.8246,2.44,12,1.0000,0.1165,0.0422,2.65,92.13,0.1165,false,false,false,false,0.0422,2.65,92.13,12.20,2,12,false,10,12.65,-0.0048,-0.0050,20415.28
2017,0.0564,0.0000,-0.0268,28,0.7500,2.45,8,0.6667,0.0564,0.0345,2.41,NaN,0.0858,false,false,true,false,0.0299,1.85,NaN,inf,1,12,false,7,6.24,-0.0048,-0.0106,11651.07
2018,0.0248,-0.0152,-0.0157,28,0.7500,1.55,8,0.6667,0.0248,0.0307,1.21,2.95,0.0374,false,false,false,false,0.0251,0.99,1.97,1.63,3,12,false,5,2.49,-0.0076,-0.0077,5640.57
2019,0.0084,0.0000,-0.0022,6,0.6667,3.12,4,0.3333,0.0084,0.0067,3.76,NaN,0.0254,false,true,true,true,0.0050,1.68,NaN,inf,1,12,false,3,79.18,0.0000,-0.0001,2475.56
2020,0.1224,0.0000,-0.0419,65,0.8000,2.32,9,0.7500,0.1224,0.0683,2.30,NaN,0.1664,false,false,true,false,0.0617,1.91,NaN,inf,0,12,false,9,inf,0.0000,0.0000,838.11
2021,0.0115,-0.0028,-0.0028,5,0.8000,5.04,4,0.3333,0.0115,0.0143,2.39,NaN,0.0348,false,true,true,true,0.0089,1.28,NaN,4.07,1,12,false,3,5.06,-0.0013,-0.0028,12240.45
2022,0.0642,-0.0226,-0.0324,103,0.7282,1.30,11,0.9167,0.0642,0.0477,1.45,2.00,0.0703,false,false,false,false,0.0459,1.38,1.94,2.84,4,12,false,7,2.87,-0.0146,-0.0226,1145.69
2023,-0.0292,-0.0324,-0.0422,32,0.5938,0.71,11,0.9167,-0.0292,0.0297,-1.07,-4.25,-0.0318,false,false,false,false,0.0285,-1.03,-3.89,-0.90,6,12,false,5,0.51,-0.0112,-0.0116,6421.63
2024,0.0209,-0.0054,-0.0103,16,0.6875,1.79,8,0.6667,0.0209,0.0179,1.74,26.06,0.0315,false,false,false,false,0.0150,1.39,1.99,3.84,2,12,false,6,3.00,-0.0052,-0.0054,-2918.93
2025,0.0260,-0.0360,-0.0373,55,0.7273,1.21,8,0.6667,0.0260,0.0551,0.72,1.54,0.0393,true,false,false,false,0.0551,0.72,1.54,0.72,3,8,true,5,1.63,-0.0190,-0.0211,2087.65
