year,month,monthly_return,active_month
2003,1,-0.0110,True
2003,2,0.0019,True
2003,3,-0.0013,True
2003,4,0.0231,True
2003,5,0.0096,True
2003,6,0.0189,True
2003,7,0.0040,True
2003,8,0.0213,True
2003,9,-0.0104,True
2003,10,0.0119,True
2003,11,0.0090,True
2003,12,0.0051,True
2004,1,-0.0085,True
2004,2,0.0300,True
2004,3,0.0172,True
2004,4,0.0120,True
2004,5,0.0082,True
2004,6,0.0047,True
2004,7,0.0050,True
2004,8,0.0047,True
2004,9,0.0085,True
2004,10,0.0097,True
2004,11,0.0015,True
2004,12,-0.0157,True
2005,1,0.0041,True
2005,2,-0.0117,True
2005,3,0.0160,True
2005,4,-0.0158,True
2005,5,-0.0070,True
2005,6,0.0219,True
2005,7,-0.0284,True
2005,8,-0.0029,True
2005,9,-0.0077,True
2005,10,-0.0018,True
2005,11,0.0021,True
2005,12,-0.0043,True
2006,1,0.0124,True
2006,2,0.0000,False
2006,3,0.0000,False
2006,4,0.0025,True
2006,5,0.0267,True
2006,6,-0.0041,True
2006,7,-0.0121,True
2006,8,0.0014,True
2006,9,0.0046,True
2006,10,0.0054,True
2006,11,0.0071,True
2006,12,-0.0106,True
2007,1,0.0000,False
2007,2,0.0020,True
2007,3,-0.0098,True
2007,4,0.0046,True
2007,5,0.0021,True
2007,6,0.0022,True
2007,7,0.0000,False
2007,8,0.0080,True
2007,9,-0.0101,True
2007,10,-0.0024,True
2007,11,0.0012,True
2007,12,0.0051,True
