year,month,monthly_return,active_month
2003,1,-0.0114,True
2003,2,0.0015,True
2003,3,-0.0024,True
2003,4,0.0224,True
2003,5,0.0090,True
2003,6,0.0182,True
2003,7,0.0033,True
2003,8,0.0207,True
2003,9,-0.0108,True
2003,10,0.0111,True
2003,11,0.0088,True
2003,12,0.0049,True
2004,1,-0.0099,True
2004,2,0.0292,True
2004,3,0.0162,True
2004,4,0.0115,True
2004,5,0.0075,True
2004,6,0.0039,True
2004,7,0.0046,True
2004,8,0.0045,True
2004,9,0.0080,True
2004,10,0.0091,True
2004,11,0.0013,True
2004,12,-0.0161,True
2005,1,0.0039,True
2005,2,-0.0120,True
2005,3,0.0157,True
2005,4,-0.0160,True
2005,5,-0.0075,True
2005,6,0.0215,True
2005,7,-0.0292,True
2005,8,-0.0032,True
2005,9,-0.0078,True
2005,10,-0.0024,True
2005,11,0.0019,True
2005,12,-0.0046,True
2006,1,0.0122,True
2006,2,0.0000,False
2006,3,0.0000,False
2006,4,0.0021,True
2006,5,0.0262,True
2006,6,-0.0046,True
2006,7,-0.0123,True
2006,8,0.0011,True
2006,9,0.0045,True
2006,10,0.0053,True
2006,11,0.0070,True
2006,12,-0.0107,True
2007,1,0.0000,False
2007,2,0.0019,True
2007,3,-0.0099,True
2007,4,0.0045,True
2007,5,0.0021,True
2007,6,0.0021,True
2007,7,0.0000,False
2007,8,0.0078,True
2007,9,-0.0102,True
2007,10,-0.0026,True
2007,11,0.0010,True
2007,12,0.0050,True
