date_end,ret_36m_ann,maxdd_36m,calmar_36m
2011-12-31,0.100635,-0.106546,0.945
2012-01-31,0.063221,-0.106546,0.593
2012-02-29,0.088807,-0.106546,0.834
2012-03-31,0.059668,-0.106546,0.56
2012-04-30,0.062903,-0.106546,0.59
2012-05-31,0.052895,-0.106546,0.496
2012-06-30,0.050199,-0.111811,0.449
2012-07-31,0.021845,-0.154376,0.142
2012-08-31,0.047576,-0.154376,0.308
2012-09-30,0.048415,-0.154376,0.314
2012-10-31,0.043995,-0.154376,0.285
2012-11-30,0.03792,-0.154376,0.246
2012-12-31,0.043476,-0.154376,0.282
2013-01-31,0.024083,-0.154376,0.156
2013-02-28,0.029614,-0.154376,0.192
2013-03-31,0.028592,-0.154376,0.185
2013-04-30,0.020705,-0.154376,0.134
2013-05-31,-0.009376,-0.156956,-0.06
2013-06-30,-0.015646,-0.157838,-0.099
2013-07-31,-0.023489,-0.168831,-0.139
2013-08-31,-0.010565,-0.168831,-0.063
2013-09-30,0.001535,-0.168831,0.009
2013-10-31,-0.002378,-0.168831,-0.014
2013-11-30,-0.01443,-0.168831,-0.085
2013-12-31,-0.019916,-0.168831,-0.118
2014-01-31,-0.015377,-0.168831,-0.091
2014-02-28,-0.008414,-0.168831,-0.05
2014-03-31,-0.018234,-0.168831,-0.108
2014-04-30,-0.018466,-0.168831,-0.109
2014-05-31,-0.008681,-0.168831,-0.051
2014-06-30,-0.010863,-0.168831,-0.064
2014-07-31,-0.013428,-0.168831,-0.08
2014-08-31,-0.016031,-0.168831,-0.095
2014-09-30,-0.033005,-0.124875,-0.264
2014-10-31,-0.026302,-0.106155,-0.248
2014-11-30,-0.00713,-0.106155,-0.067
2014-12-31,0.016951,-0.106155,0.16
2015-01-31,0.012865,-0.106155,0.121
2015-02-28,0.005095,-0.097891,0.052
2015-03-31,0.042282,-0.097853,0.432
2015-04-30,0.05649,-0.097853,0.577
2015-05-31,0.053841,-0.068815,0.782
2015-06-30,0.081838,-0.068815,1.189
2015-07-31,0.126583,-0.068815,1.839
2015-08-31,0.116265,-0.068815,1.69
2015-09-30,0.106502,-0.068815,1.548
2015-10-31,0.11252,-0.067474,1.668
2015-11-30,0.126311,-0.067474,1.872
2015-12-31,0.131696,-0.041967,3.138
2016-01-31,0.148761,-0.039884,3.73
2016-02-29,0.152392,-0.039884,3.821
2016-03-31,0.151805,-0.030343,5.003
2016-04-30,0.165879,-0.030343,5.467
2016-05-31,0.179758,-0.030343,5.924
2016-06-30,0.185382,-0.030343,6.11
2016-07-31,0.198104,-0.030343,6.529
2016-08-31,0.198627,-0.030343,6.546
2016-09-30,0.197364,-0.030343,6.504
2016-10-31,0.204542,-0.030343,6.741
2016-11-30,0.189449,-0.042403,4.468
2016-12-31,0.186557,-0.042403,4.4
2017-01-31,0.190771,-0.042403,4.499
2017-02-28,0.184092,-0.042403,4.341
2017-03-31,0.189552,-0.042403,4.47
2017-04-30,0.189763,-0.042403,4.475
2017-05-31,0.195,-0.042403,4.599
2017-06-30,0.188842,-0.042403,4.453
2017-07-31,0.187895,-0.042403,4.431
2017-08-31,0.19585,-0.042403,4.619
2017-09-30,0.202644,-0.042403,4.779
2017-10-31,0.211654,-0.042403,4.991
2017-11-30,0.199478,-0.042403,4.704
2017-12-31,0.187438,-0.042403,4.42
2018-01-31,0.194536,-0.042403,4.588
2018-02-28,0.200106,-0.042403,4.719
2018-03-31,0.163066,-0.042403,3.846
2018-04-30,0.145945,-0.042403,3.442
2018-05-31,0.153792,-0.042403,3.627
2018-06-30,0.122852,-0.042403,2.897
2018-07-31,0.098695,-0.042403,2.328
2018-08-31,0.105856,-0.042403,2.496
2018-09-30,0.109083,-0.042403,2.573
2018-10-31,0.100064,-0.042403,2.36
2018-11-30,0.08553,-0.042403,2.017
2018-12-31,0.075236,-0.042403,1.774
2019-01-31,0.064647,-0.042403,1.525
2019-02-28,0.065055,-0.042403,1.534
2019-03-31,0.058912,-0.051666,1.14
2019-04-30,0.050817,-0.051666,0.984
2019-05-31,0.044118,-0.051666,0.854
2019-06-30,0.040126,-0.051666,0.777
2019-07-31,0.037328,-0.051666,0.722
2019-08-31,0.033605,-0.051666,0.65
2019-09-30,0.031621,-0.051666,0.612
2019-10-31,0.023661,-0.051666,0.458
2019-11-30,0.038552,-0.051666,0.746
2019-12-31,0.037537,-0.051666,0.727
2020-01-31,0.031918,-0.051666,0.618
2020-02-29,0.029958,-0.051666,0.58
2020-03-31,0.034335,-0.051666,0.665
2020-04-30,0.032533,-0.051666,0.63
2020-05-31,0.02991,-0.051666,0.579
2020-06-30,0.034531,-0.051666,0.668
2020-07-31,0.038915,-0.051666,0.753
2020-08-31,0.040155,-0.051666,0.777
2020-09-30,0.03522,-0.051666,0.682
2020-10-31,0.038131,-0.051666,0.738
2020-11-30,0.032471,-0.051666,0.628
2020-12-31,0.030929,-0.051666,0.599
2021-01-31,0.02874,-0.051666,0.556
2021-02-28,0.020715,-0.051666,0.401
2021-03-31,0.02121,-0.051666,0.411
2021-04-30,0.023219,-0.051666,0.449
2021-05-31,0.020165,-0.042457,0.475
2021-06-30,0.034747,-0.042457,0.818
2021-07-31,0.032257,-0.042457,0.76
2021-08-31,0.024502,-0.040046,0.612
2021-09-30,0.025361,-0.040046,0.633
2021-10-31,0.020095,-0.028598,0.703
2021-11-30,0.022183,-0.021969,1.01
2021-12-31,0.024502,-0.020948,1.17
2022-01-31,0.028531,-0.020948,1.362
2022-02-28,0.03328,-0.020948,1.589
2022-03-31,0.045381,-0.020948,2.166
2022-04-30,0.042672,-0.020948,2.037
2022-05-31,0.048536,-0.020948,2.317
2022-06-30,0.041768,-0.020948,1.994
2022-07-31,0.030328,-0.039228,0.773
2022-08-31,0.032117,-0.039228,0.819
2022-09-30,0.034759,-0.039228,0.886
2022-10-31,0.044468,-0.039228,1.134
2022-11-30,0.028814,-0.04429,0.651
2022-12-31,0.023881,-0.05317,0.449
2023-01-31,0.013577,-0.081471,0.167
2023-02-28,0.026187,-0.081471,0.321
2023-03-31,0.015738,-0.081471,0.193
2023-04-30,0.0213,-0.081471,0.261
2023-05-31,0.029503,-0.081471,0.362
2023-06-30,0.021304,-0.081471,0.261
2023-07-31,0.016389,-0.081471,0.201
2023-08-31,0.009636,-0.081471,0.118
2023-09-30,0.004429,-0.081471,0.054
2023-10-31,0.004247,-0.081471,0.052
2023-11-30,0.009139,-0.081471,0.112
2023-12-31,0.010622,-0.081471,0.13
2024-01-31,0.011179,-0.081471,0.137
2024-02-29,0.015683,-0.081471,0.192
2024-03-31,0.015563,-0.081471,0.191
2024-04-30,0.013855,-0.081471,0.17
2024-05-31,0.013332,-0.081471,0.164
2024-06-30,0.016085,-0.081471,0.197
2024-07-31,0.017984,-0.081471,0.221
2024-08-31,0.019664,-0.081471,0.241
2024-09-30,0.020022,-0.081471,0.246
2024-10-31,0.028806,-0.081471,0.354
2024-11-30,0.01869,-0.081471,0.229
2024-12-31,0.021313,-0.081471,0.262
2025-01-31,0.036309,-0.081471,0.446
2025-02-28,0.036433,-0.081471,0.447
2025-03-31,0.028937,-0.081471,0.355
2025-04-30,0.030567,-0.081471,0.375
2025-05-31,0.024742,-0.081471,0.304
2025-06-30,0.035298,-0.081471,0.433
2025-07-31,0.043029,-0.081471,0.528
