year,month,ret_m
2009,1,0.114369
2009,2,-0.035275
2009,3,0.074846
2009,4,-0.012289
2009,5,0.032062
2009,6,-0.02852
2009,7,0.033552
2009,8,-0.042924
2009,9,0.012777
2009,10,0.021117
2009,11,0.008633
2009,12,-0.008509
2010,1,0.029733
2010,2,-0.026382
2010,3,0.011502
2010,4,0.01278
2010,5,0.076521
2010,6,0.018148
2010,7,0.010918
2010,8,-0.024999
2010,9,-0.021324
2010,10,0.021704
2010,11,0.031417
2010,12,0.032563
2011,1,-0.008131
2011,2,0.001366
2011,3,0.029474
2011,4,0.000722
2011,5,-0.039136
2011,6,0.022666
2011,7,0.007828
2011,8,0.007967
2011,9,0.056272
2011,10,-0.050143
2011,11,-0.027239
2011,12,-0.03291
2012,1,0.00454
2012,2,0.036084
2012,3,-0.009175
2012,4,-0.003189
2012,5,0.003164
2012,6,-0.035969
2012,7,-0.047884
2012,8,0.031214
2012,9,0.015197
2012,10,0.008241
2012,11,-0.008876
2012,12,0.007507
2013,1,-0.029506
2013,2,-0.010594
2013,3,0.008447
2013,4,-0.010308
2013,5,-0.016016
2013,6,-0.001087
2013,7,-0.013108
2013,8,0.014202
2013,9,0.014972
2013,10,0.009775
2013,11,-0.005493
2013,12,0.015426
2014,1,0.00569
2014,2,0.022789
2014,3,-0.000825
2014,4,0.0
2014,5,-0.010079
2014,6,0.015934
2014,7,0.0
2014,8,0.0
2014,9,0.002555
2014,10,-0.030366
2014,11,0.031307
2014,12,0.039159
2015,1,-0.007488
2015,2,0.01239
2015,3,0.104965
2015,4,0.038077
2015,5,-0.004326
2015,6,0.042906
2015,7,0.0751
2015,8,0.003158
2015,9,-0.011165
2015,10,0.024793
2015,11,0.028429
2015,12,0.021996
2016,1,0.018058
2016,2,-0.001158
2016,3,0.006918
2016,4,0.026422
2016,5,0.019537
2016,6,0.013181
2016,7,0.01905
2016,8,0.015561
2016,9,0.01177
2016,10,0.02805
2016,11,-0.042316
2016,12,0.008001
2017,1,0.016421
2017,2,0.005666
2017,3,0.013075
2017,4,0.000541
2017,5,0.003049
2017,6,0.000338
2017,7,-0.002363
2017,8,0.020235
2017,9,0.019773
2017,10,-0.008391
2017,11,0.000538
2017,12,0.008189
2018,1,0.010404
2018,2,0.026619
2018,3,0.005743
2018,4,-0.007045
2018,5,0.016238
2018,6,-0.038673
2018,7,0.007251
2018,8,0.02285
2018,9,-0.002508
2018,10,0.0
2018,11,-0.011779
2018,12,-0.006778
2019,1,-0.011703
2019,2,0.0
2019,3,-0.010376
2019,4,0.003041
2019,5,0.000181
2019,6,0.001724
2019,7,0.010864
2019,8,0.004677
2019,9,0.005959
2019,10,0.004431
2019,11,0.0
2019,12,0.005089
2020,1,0.0
2020,2,-5.8e-05
2020,3,0.025986
2020,4,-0.004674
2020,5,-0.00457
2020,6,0.013842
2020,7,0.010341
2020,8,0.023856
2020,9,0.005344
2020,10,0.0
2020,11,-0.015738
2020,12,0.003683
2021,1,0.003958
2021,2,0.002788
2021,3,0.007205
2021,4,-0.001192
2021,5,0.007173
2021,6,0.003064
2021,7,0.0
2021,8,0.0
2021,9,0.0
2021,10,-0.015323
2021,11,-0.005712
2021,12,0.0
2022,1,0.0
2022,2,0.013909
2022,3,0.024785
2022,4,-0.00474
2022,5,0.017131
2022,6,-0.017532
2022,7,-0.022058
2022,8,0.009886
2022,9,0.013707
2022,10,0.033014
2022,11,-0.044333
2022,12,-0.009293
2023,1,-0.029843
2023,2,0.03768
2023,3,-0.004951
2023,4,0.011739
2023,5,0.019602
2023,6,-0.010161
2023,7,-0.004159
2023,8,0.003605
2023,9,-0.010127
2023,10,-0.000563
2023,11,-0.001255
2023,12,0.008127
2024,1,0.005615
2024,2,0.01624
2024,3,0.006851
2024,4,-0.006213
2024,5,0.005614
2024,6,0.011269
2024,7,0.005607
2024,8,0.004963
2024,9,0.001063
2024,10,0.01032
2024,11,-0.034725
2024,12,0.007722
2025,1,0.0447
2025,2,0.014264
2025,3,0.002721
2025,4,0.0
2025,5,0.0
2025,6,0.013129
2025,7,0.0
