year,ret_year,maxdd_year,trades,hit_rate,profit_factor
2009,0.170681,-0.042924,464,0.711207,1.148
2010,0.181583,-0.04579,325,0.710769,1.242
2011,-0.035923,-0.106424,322,0.664596,0.962
2012,-0.002382,-0.090584,143,0.671329,0.998
2013,-0.02419,-0.042116,106,0.613208,0.922
2014,0.076822,-0.030366,61,0.754098,1.626
2015,0.374756,-0.011165,375,0.722667,1.403
2016,0.128133,-0.042316,194,0.726804,1.284
2017,0.079357,-0.008391,78,0.717949,1.55
2018,0.020815,-0.038673,71,0.661972,1.132
2019,0.013741,-0.010376,28,0.714286,1.23
2020,0.058745,-0.015738,123,0.699187,1.218
2021,0.001759,-0.020947,17,0.588235,1.049
2022,0.011858,-0.053214,231,0.65368,1.025
2023,0.018289,-0.022522,94,0.659574,1.084
2024,0.033892,-0.034725,52,0.692308,1.27
2025,0.076434,0.0,52,0.769231,1.76
