year,month,ret_m
2009,1,0.175281
2009,2,-0.053192
2009,3,0.113381
2009,4,-0.018642
2009,5,0.047922
2009,6,-0.042483
2009,7,0.050347
2009,8,-0.063479
2009,9,0.019059
2009,10,0.031616
2009,11,0.012827
2009,12,-0.012827
2010,1,0.044918
2010,2,-0.039652
2010,3,0.017233
2010,4,0.019119
2010,5,0.115821
2010,6,0.026965
2010,7,0.016204
2010,8,-0.037268
2010,9,-0.031998
2010,10,0.032536
2010,11,0.047174
2010,12,0.04886
2011,1,-0.012508
2011,2,0.002004
2011,3,0.044578
2011,4,0.000981
2011,5,-0.05857
2011,6,0.034169
2011,7,0.011485
2011,8,0.011588
2011,9,0.085471
2011,10,-0.075009
2011,11,-0.041285
2011,12,-0.04948
2012,1,0.006696
2012,2,0.054481
2012,3,-0.013805
2012,4,-0.004879
2012,5,0.004644
2012,6,-0.053741
2012,7,-0.0714
2012,8,0.04713
2012,9,0.022888
2012,10,0.012417
2012,11,-0.013366
2012,12,0.011294
2013,1,-0.044139
2013,2,-0.016025
2013,3,0.012623
2013,4,-0.015577
2013,5,-0.024156
2013,6,-0.001679
2013,7,-0.019716
2013,8,0.02144
2013,9,0.022578
2013,10,0.01473
2013,11,-0.008266
2013,12,0.023293
2014,1,0.008517
2014,2,0.034404
2014,3,-0.001224
2014,4,0.0
2014,5,-0.015109
2014,6,0.024023
2014,7,0.0
2014,8,0.0
2014,9,0.003796
2014,10,-0.045412
2014,11,0.04732
2014,12,0.059245
2015,1,-0.011655
2015,2,0.018502
2015,3,0.160973
2015,4,0.056876
2015,5,-0.00684
2015,6,0.064114
2015,7,0.112663
2015,8,0.004496
2015,9,-0.016426
2015,10,0.036486
2015,11,0.04174
2015,12,0.03203
2016,1,0.027111
2016,2,-0.001924
2016,3,0.010358
2016,4,0.039849
2016,5,0.029439
2016,6,0.019638
2016,7,0.028642
2016,8,0.023284
2016,9,0.017587
2016,10,0.04198
2016,11,-0.062564
2016,12,0.011866
2017,1,0.024515
2017,2,0.008503
2017,3,0.019672
2017,4,0.000778
2017,5,0.00457
2017,6,0.000404
2017,7,-0.003627
2017,8,0.03043
2017,9,0.029803
2017,10,-0.012568
2017,11,0.000796
2017,12,0.012288
2018,1,0.015582
2018,2,0.040213
2018,3,0.008622
2018,4,-0.010601
2018,5,0.0244
2018,6,-0.057634
2018,7,0.010895
2018,8,0.034535
2018,9,-0.003814
2018,10,0.0
2018,11,-0.017762
2018,12,-0.010171
2019,1,-0.017615
2019,2,0.0
2019,3,-0.015592
2019,4,0.004561
2019,5,0.000271
2019,6,0.002587
2019,7,0.016353
2019,8,0.006967
2019,9,0.008952
2019,10,0.006664
2019,11,0.0
2019,12,0.007648
2020,1,0.0
2020,2,-8.7e-05
2020,3,0.038451
2020,4,-0.007107
2020,5,-0.006922
2020,6,0.020815
2020,7,0.015568
2020,8,0.036001
2020,9,0.007996
2020,10,0.0
2020,11,-0.023591
2020,12,0.005536
2021,1,0.005953
2021,2,0.004182
2021,3,0.010835
2021,4,-0.001791
2021,5,0.0108
2021,6,0.004619
2021,7,0.0
2021,8,0.0
2021,9,0.0
2021,10,-0.022957
2021,11,-0.008626
2021,12,0.0
2022,1,0.0
2022,2,0.020816
2022,3,0.037281
2022,4,-0.007223
2022,5,0.025719
2022,6,-0.026426
2022,7,-0.03317
2022,8,0.014804
2022,9,0.020254
2022,10,0.049665
2022,11,-0.066183
2022,12,-0.014031
2023,1,-0.044717
2023,2,0.057074
2023,3,-0.007626
2023,4,0.017678
2023,5,0.029565
2023,6,-0.015333
2023,7,-0.006321
2023,8,0.005373
2023,9,-0.015235
2023,10,-0.000923
2023,11,-0.001994
2023,12,0.012176
2024,1,0.008464
2024,2,0.024507
2024,3,0.010295
2024,4,-0.009336
2024,5,0.008447
2024,6,0.016965
2024,7,0.00844
2024,8,0.007407
2024,9,0.001541
2024,10,0.015517
2024,11,-0.051895
2024,12,0.01158
2025,1,0.067631
2025,2,0.021366
2025,3,0.004005
2025,4,0.0
2025,5,0.0
2025,6,0.019662
2025,7,0.0
