year,ret_year,maxdd_year,trades,hit_rate,profit_factor
2009,0.261382,-0.063479,464,0.711207,1.15
2010,0.280296,-0.068073,325,0.710769,1.242
2011,-0.056984,-0.157076,322,0.664596,0.962
2012,-0.004942,-0.133658,143,0.671329,0.998
2013,-0.036912,-0.063266,106,0.613208,0.923
2014,0.11706,-0.045412,61,0.754098,1.627
2015,0.599035,-0.016426,375,0.722667,1.402
2016,0.196821,-0.062564,194,0.726804,1.285
2017,0.12073,-0.012568,78,0.717949,1.55
2018,0.030849,-0.057634,71,0.661972,1.132
2019,0.020461,-0.015592,28,0.714286,1.23
2020,0.088275,-0.023591,123,0.699187,1.218
2021,0.002558,-0.031385,17,0.588235,1.05
2022,0.015569,-0.079285,231,0.65368,1.025
2023,0.026504,-0.034111,94,0.659574,1.084
2024,0.050937,-0.051895,52,0.692308,1.27
2025,0.116335,0.0,52,0.769231,1.76
