date,roll_12m_return,roll_12m_sharpe
2009-12-31,0.147351,0.9547
2010-01-31,0.064869,0.5871
2010-02-28,0.077473,0.7086
2010-03-31,0.016705,0.2256
2010-04-30,0.043496,0.5211
2010-05-31,0.085512,0.8001
2010-06-30,0.137647,1.3172
2010-07-31,0.112017,1.1197
2010-08-31,0.13249,1.4281
2010-09-30,0.094161,0.985
2010-10-31,0.094178,0.9851
2010-11-30,0.118163,1.1838
2010-12-31,0.164435,1.6025
2011-01-31,0.120907,1.2031
2011-02-28,0.153369,1.6153
2011-03-31,0.173893,1.7834
2011-04-30,0.160266,1.6394
2011-05-31,0.038465,0.4944
2011-06-30,0.043947,0.5519
2011-07-31,0.040501,0.5134
2011-08-31,0.074843,0.9724
2011-09-30,0.158948,1.803
2011-10-31,0.07655,0.7512
2011-11-30,0.014861,0.1868
2011-12-31,-0.049245,-0.4202
2012-01-31,-0.036844,-0.2997
2012-02-29,-0.003938,0.0177
2012-03-31,-0.041204,-0.3325
2012-04-30,-0.044934,-0.3682
2012-05-31,-0.002092,0.0262
2012-06-30,-0.059544,-0.5335
2012-07-31,-0.110974,-0.9834
2012-08-31,-0.089597,-0.7305
2012-09-30,-0.123855,-1.2406
2012-10-31,-0.068306,-0.7176
2012-11-30,-0.049322,-0.5233
2012-12-31,-0.009147,-0.0709
2013-01-31,-0.042202,-0.4454
2013-02-28,-0.085216,-1.1008
2013-03-31,-0.069153,-0.8629
2013-04-30,-0.075922,-0.9527
2013-05-31,-0.093644,-1.1951
2013-06-30,-0.060235,-0.815
2013-07-31,-0.025667,-0.4322
2013-08-31,-0.04104,-0.8443
2013-09-30,-0.040837,-0.8383
2013-10-31,-0.039503,-0.803
2013-11-30,-0.036285,-0.7397
2013-12-31,-0.028595,-0.546
2014-01-31,0.006743,0.1813
2014-02-28,0.041162,0.9285
2014-03-31,0.031948,0.7294
2014-04-30,0.043228,1.0268
2014-05-31,0.050101,1.2714
2014-06-30,0.068274,1.6667
2014-07-31,0.083116,2.3043
2014-08-31,0.068104,1.9244
2014-09-30,0.054871,1.6288
2014-10-31,0.012624,0.2841
2014-11-30,0.049769,0.9025
2014-12-31,0.073874,1.134
2015-01-31,0.058283,0.8841
2015-02-28,0.046704,0.7419
2015-03-31,0.154329,1.2913
2015-04-30,0.194894,1.5772
2015-05-31,0.199413,1.6205
2015-06-30,0.227965,1.7895
2015-07-31,0.318793,2.2156
2015-08-31,0.321182,2.2357
2015-09-30,0.302466,2.0723
2015-10-31,0.37635,2.7716
2015-11-30,0.372589,2.7491
2015-12-31,0.349439,2.6136
2016-01-31,0.385141,2.9774
2016-02-29,0.366686,2.7854
2016-03-31,0.247716,2.7203
2016-04-30,0.236525,2.6558
2016-05-31,0.268455,3.1414
2016-06-30,0.234011,2.8791
2016-07-31,0.170388,3.7066
2016-08-31,0.185943,4.1973
2016-09-30,0.213798,6.5348
2016-10-31,0.218168,6.3931
2016-11-30,0.133347,1.9433
2016-12-31,0.117672,1.7536
2017-01-31,0.1157,1.7314
2017-02-28,0.124307,1.8808
2017-03-31,0.132106,1.9941
2017-04-30,0.103933,1.6332
2017-05-31,0.086172,1.3901
2017-06-30,0.073438,1.1923
2017-07-31,0.050948,0.8577
2017-08-31,0.055501,0.9154
2017-09-30,0.063949,1.0233
2017-10-31,0.02639,0.4713
2017-11-30,0.073621,2.2952
2017-12-31,0.074816,2.3267
2018-01-31,0.069016,2.2454
2018-02-28,0.091093,2.418
2018-03-31,0.083353,2.2495
2018-04-30,0.075243,1.9251
2018-05-31,0.088989,2.206
2018-06-30,0.046288,0.7744
2018-07-31,0.056549,0.9414
2018-08-31,0.059699,0.9775
2018-09-30,0.036645,0.6329
2018-10-31,0.045578,0.7927
2018-11-30,0.032413,0.5563
2018-12-31,0.017007,0.3053
2019-01-31,-0.004995,-0.0529
2019-02-28,-0.030504,-0.5438
2019-03-31,-0.046146,-0.8453
2019-04-30,-0.036398,-0.6548
2019-05-31,-0.051179,-1.0101
2019-06-30,-0.010758,-0.3082
2019-07-31,-0.007106,-0.1904
2019-08-31,-0.024714,-1.0008
2019-09-30,-0.016419,-0.628
