date_end,ret_36m_ann,maxdd_36m,calmar_36m
2011-12-31,0.082996,-0.110236,0.753
2012-01-31,0.047581,-0.110236,0.432
2012-02-29,0.07371,-0.110236,0.669
2012-03-31,0.045964,-0.110236,0.417
2012-04-30,0.049608,-0.110236,0.45
2012-05-31,0.040014,-0.110236,0.363
2012-06-30,0.037548,-0.119007,0.316
2012-07-31,0.009461,-0.161908,0.058
2012-08-31,0.034835,-0.161908,0.215
2012-09-30,0.035715,-0.161908,0.221
2012-10-31,0.031491,-0.161908,0.194
2012-11-30,0.025609,-0.161908,0.158
2012-12-31,0.03133,-0.161908,0.194
2013-01-31,0.011223,-0.161908,0.069
2013-02-28,0.016696,-0.161908,0.103
2013-03-31,0.015651,-0.161908,0.097
2013-04-30,0.007936,-0.161908,0.049
2013-05-31,-0.020675,-0.170857,-0.121
2013-06-30,-0.026479,-0.172074,-0.154
2013-07-31,-0.03405,-0.183419,-0.186
2013-08-31,-0.020976,-0.183419,-0.114
2013-09-30,-0.008763,-0.183419,-0.048
2013-10-31,-0.012354,-0.183419,-0.067
2013-11-30,-0.023971,-0.183419,-0.131
2013-12-31,-0.029133,-0.183419,-0.159
2014-01-31,-0.024345,-0.183419,-0.133
2014-02-28,-0.017405,-0.183419,-0.095
2014-03-31,-0.027057,-0.183419,-0.148
2014-04-30,-0.027162,-0.183419,-0.148
2014-05-31,-0.01703,-0.183419,-0.093
2014-06-30,-0.018975,-0.183419,-0.103
2014-07-31,-0.021038,-0.183419,-0.115
2014-08-31,-0.023027,-0.183419,-0.126
2014-09-30,-0.03937,-0.138629,-0.284
2014-10-31,-0.032304,-0.116677,-0.277
2014-11-30,-0.012906,-0.116677,-0.111
2014-12-31,0.011085,-0.116677,0.095
2015-01-31,0.006773,-0.116677,0.058
2015-02-28,-0.001027,-0.108218,-0.009
2015-03-31,0.035036,-0.107375,0.326
2015-04-30,0.048268,-0.107375,0.45
2015-05-31,0.04512,-0.075479,0.598
2015-06-30,0.07225,-0.075479,0.957
2015-07-31,0.116486,-0.075479,1.543
2015-08-31,0.106095,-0.075479,1.406
2015-09-30,0.096359,-0.075479,1.277
2015-10-31,0.102108,-0.073778,1.384
2015-11-30,0.115649,-0.073778,1.568
2015-12-31,0.120733,-0.045296,2.665
2016-01-31,0.138513,-0.041968,3.3
2016-02-29,0.142011,-0.041968,3.384
2016-03-31,0.141216,-0.031496,4.484
2016-04-30,0.155147,-0.030922,5.017
2016-05-31,0.169028,-0.030922,5.466
2016-06-30,0.174165,-0.030922,5.632
2016-07-31,0.186845,-0.030922,6.042
2016-08-31,0.187262,-0.030922,6.056
2016-09-30,0.185871,-0.030922,6.011
2016-10-31,0.192966,-0.030922,6.24
2016-11-30,0.177603,-0.043634,4.07
2016-12-31,0.174376,-0.043634,3.996
2017-01-31,0.178187,-0.043634,4.084
2017-02-28,0.171636,-0.043634,3.934
2017-03-31,0.177003,-0.043634,4.057
2017-04-30,0.177131,-0.043634,4.059
2017-05-31,0.182263,-0.043634,4.177
2017-06-30,0.176054,-0.043634,4.035
2017-07-31,0.174977,-0.043634,4.01
2017-08-31,0.182574,-0.043634,4.184
2017-09-30,0.189263,-0.043634,4.338
2017-10-31,0.198348,-0.043634,4.546
2017-11-30,0.186455,-0.043634,4.273
2017-12-31,0.174719,-0.043634,4.004
2018-01-31,0.182157,-0.043634,4.175
2018-02-28,0.187969,-0.043634,4.308
2018-03-31,0.152367,-0.043634,3.492
2018-04-30,0.136451,-0.043634,3.127
2018-05-31,0.144807,-0.043634,3.319
2018-06-30,0.114934,-0.043634,2.634
2018-07-31,0.091274,-0.043634,2.092
2018-08-31,0.098757,-0.043634,2.263
2018-09-30,0.102129,-0.043634,2.341
2018-10-31,0.093433,-0.043634,2.141
2018-11-30,0.079003,-0.043634,1.811
2018-12-31,0.069033,-0.043634,1.582
2019-01-31,0.058731,-0.04396,1.336
2019-02-28,0.059492,-0.04396,1.353
2019-03-31,0.053691,-0.05412,0.992
