year,ret_year,maxdd_year,trades,hit_rate,profit_factor
2009,0.147351,-0.043635,464,0.706897,1.129
2010,0.164435,-0.04764,325,0.707692,1.22
2011,-0.049245,-0.110236,322,0.664596,0.946
2012,-0.009147,-0.093408,143,0.664336,0.977
2013,-0.028595,-0.045296,106,0.613208,0.908
2014,0.073874,-0.030922,61,0.754098,1.599
2015,0.349439,-0.011908,375,0.72,1.377
2016,0.117672,-0.043634,194,0.726804,1.261
2017,0.074816,-0.008544,78,0.717949,1.515
2018,0.017007,-0.039313,71,0.661972,1.108
2019,0.012183,-0.010627,28,0.714286,1.203
2020,0.051805,-0.015946,123,0.699187,1.192
2021,0.000915,-0.021309,17,0.588235,1.027
2022,-0.001431,-0.05515,231,0.65368,1.003
2023,0.012984,-0.024322,94,0.659574,1.061
2024,0.030922,-0.035748,52,0.692308,1.245
2025,0.073236,0.0,52,0.75,1.724
