year,month,ret_m
2009,1,0.108919
2009,2,-0.038556
2009,3,0.071452
2009,4,-0.013909
2009,5,0.030636
2009,6,-0.030083
2009,7,0.032941
2009,8,-0.043635
2009,9,0.012063
2009,10,0.020545
2009,11,0.008113
2009,12,-0.009408
2010,1,0.029213
2010,2,-0.027195
2010,3,0.011017
2010,4,0.012095
2010,5,0.071982
2010,6,0.016557
2010,7,0.009682
2010,8,-0.026021
2010,9,-0.022193
2010,10,0.020496
2010,11,0.03022
2010,12,0.031554
2011,1,-0.00924
2011,2,0.000991
2011,3,0.028995
2011,4,0.000338
2011,5,-0.040428
2011,6,0.021901
2011,7,0.006302
2011,8,0.006202
2011,9,0.054263
2011,10,-0.052031
2011,11,-0.028886
2011,12,-0.033582
2012,1,0.003636
2012,2,0.035175
2012,3,-0.009498
2012,4,-0.003584
2012,5,0.002624
2012,6,-0.036936
2012,7,-0.048635
2012,8,0.030347
2012,9,0.014661
2012,10,0.008094
2012,11,-0.009026
2012,12,0.007259
2013,1,-0.029834
2013,2,-0.011286
2013,3,0.007902
2013,4,-0.010831
2013,5,-0.016588
2013,6,-0.001478
2013,7,-0.013666
2013,8,0.014048
2013,9,0.014841
2013,10,0.009489
2013,11,-0.005707
2013,12,0.015289
2014,1,0.005455
2014,2,0.022515
2014,3,-0.001009
2014,4,0.0
2014,5,-0.010131
2014,6,0.0158
2014,7,0.0
2014,8,0.0
2014,9,0.002281
2014,10,-0.030876
2014,11,0.030742
2014,12,0.038592
2015,1,-0.009171
2015,2,0.011306
2015,3,0.101718
2015,4,0.035094
2015,5,-0.006453
2015,6,0.039981
2015,7,0.073954
2015,8,0.001828
2015,9,-0.011908
2015,10,0.024031
2015,11,0.027934
2015,12,0.02109
2016,1,0.017097
2016,2,-0.002156
2016,3,0.00579
2016,4,0.025828
2016,5,0.019277
2016,6,0.011719
2016,7,0.018586
2016,8,0.01509
2016,9,0.011295
2016,10,0.02773
2016,11,-0.043618
2016,12,0.006901
2017,1,0.015271
2017,2,0.005538
2017,3,0.01277
2017,4,0.000323
2017,5,0.002885
2017,6,-0.0001
2017,7,-0.00272
2017,8,0.019573
2017,9,0.01937
2017,10,-0.008536
2017,11,0.000373
2017,12,0.008086
2018,1,0.009823
2018,2,0.026293
2018,3,0.005601
2018,4,-0.007156
2018,5,0.015677
2018,6,-0.039274
2018,7,0.007026
2018,8,0.02254
2018,9,-0.002781
2018,10,0.0
2018,11,-0.012193
2018,12,-0.006937
2019,1,-0.012036
2019,2,0.0
2019,3,-0.010632
2019,4,0.002978
2019,5,0.000124
2019,6,0.001612
2019,7,0.010729
2019,8,0.004427
2019,9,0.005699
2019,10,0.00438
2019,11,0.0
2019,12,0.005039
2020,1,0.0
2020,2,-0.000116
2020,3,0.021942
2020,4,-0.005309
2020,5,-0.0048
2020,6,0.013181
2020,7,0.010122
2020,8,0.023514
2020,9,0.005173
2020,10,0.0
2020,11,-0.015949
2020,12,0.003527
2021,1,0.003906
2021,2,0.002736
2021,3,0.007099
2021,4,-0.001245
2021,5,0.007069
2021,6,0.002927
2021,7,0.0
2021,8,0.0
2021,9,0.0
2021,10,-0.015413
2021,11,-0.005949
2021,12,0.0
2022,1,0.0
2022,2,0.013292
2022,3,0.023677
2022,4,-0.005325
2022,5,0.0164
2022,6,-0.018372
2022,7,-0.023581
2022,8,0.008833
2022,9,0.011046
2022,10,0.030841
2022,11,-0.045817
2022,12,-0.009806
2023,1,-0.030875
2023,2,0.037109
2023,3,-0.005717
2023,4,0.011452
2023,5,0.019299
2023,6,-0.010469
2023,7,-0.004533
2023,8,0.003319
2023,9,-0.010305
2023,10,-0.000882
2023,11,-0.001574
2023,12,0.007719
2024,1,0.005557
2024,2,0.015932
2024,3,0.006736
2024,4,-0.006429
2024,5,0.005545
2024,6,0.011132
2024,7,0.005553
2024,8,0.004627
2024,9,0.000864
2024,10,0.010207
2024,11,-0.035703
2024,12,0.007443
2025,1,0.043161
2025,2,0.01357
2025,3,0.002262
2025,4,0.0
2025,5,0.0
2025,6,0.012739
2025,7,0.0
